squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away,minutes_90s,country,squad_size,foreigners,squad_value_avg,squad_value,players_used,pens_made,pens_att,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,own_goals,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_pct_passes_launched,gk_goal_kick_length_avg,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_goals_against,gk_shots_on_target_against,gk_pens_saved,gk_pens_missed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_psxg_net,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,npxg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_xg_assist_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,npxg_per_shot,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance,progressive_passes,passes_progressive_distance,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,sca_per90,gca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,take_ons_won_pct,take_ons_tackled_pct,possession,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,carries,carries_distance,progressive_carries,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,challenge_tackles_pct,aerials_won_pct,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,ball_recoveries,aerials_won,aerials_lost,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,own_goals_per90,points_per90,gk_shots_on_target_against_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,passes_total_distance_per90,progressive_passes_per90,passes_progressive_distance_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,carries_per90,carries_distance_per90,progressive_carries_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90
Aston Villa,2019,2020,35,41,67,24,22,30,11,19,37,38.0,ENG,38,22,6100000.0,231700000.0,28,1,3,70,1,1,451,525,62,1,1.763157894736842,65.9,18.4,51.6,0.25,-0.37894736842105264,36.1,50.1,49.4,3.7,0.74,67,182,1,0,1,9,-14.4,1.05,0.84,1.89,1.03,1.87,1.16,1.1,0.9,2.06,2.0,32.5,11.92,3.87,0.09,0.27,17.5,0.09,74.3,86.1,81.8,49.3,217478,1247,84204,27.7,-2.2,369,908,270,95,13604,2006,562,17,153,798,797,200,109,34,8,21.79,1.89,599,88,42,36,56,7,48,8,5,4,7,0,61.9,38.1,44.1,19977,2658,7038,8203,4969,695,19974,569,10317,61373,639,31557,476,139,546,313,37.4,48.7,523,291,285,174,64,223,597,374,456,184,272,423,946,928,26,1900,705,742,0.02631578947368421,0.07894736842105263,1.8421052631578947,0.02631578947368421,0.02631578947368421,11.868421052631579,13.81578947368421,1.631578947368421,0.02631578947368421,0.9210526315789473,4.7894736842105265,0.02631578947368421,0.0,0.02631578947368421,0.23684210526315788,5723.105263157895,32.81578947368421,2215.8947368421054,0.7289473684210526,-0.05789473684210527,9.710526315789474,23.894736842105264,7.105263157894737,2.5,358.0,52.78947368421053,14.789473684210526,0.4473684210526316,4.026315789473684,21.0,20.973684210526315,5.2631578947368425,2.8684210526315788,0.8947368421052632,0.21052631578947367,15.763157894736842,2.3157894736842106,1.105263157894737,0.9473684210526315,1.4736842105263157,0.18421052631578946,1.263157894736842,0.21052631578947367,0.13157894736842105,0.10526315789473684,0.18421052631578946,0.0,525.7105263157895,69.94736842105263,185.21052631578948,215.8684210526316,130.76315789473685,18.289473684210527,525.6315789473684,14.973684210526315,271.5,1615.078947368421,16.81578947368421,830.4473684210526,12.526315789473685,3.6578947368421053,14.368421052631579,8.236842105263158,13.763157894736842,7.657894736842105,7.5,4.578947368421052,1.6842105263157894,5.868421052631579,15.710526315789474,9.842105263157896,12.0,4.842105263157895,7.157894736842105,11.131578947368421,24.894736842105264,24.42105263157895,0.6842105263157895,50.0,18.55263157894737,19.526315789473685
Sheffield Utd,2019,2020,54,39,39,33,24,15,21,15,24,38.0,ENG,34,16,4080000.0,138600000.0,26,1,1,63,2,1,412,306,78,0,1.0263157894736843,72.7,34.2,43.7,0.32,0.1236842105263158,31.0,74.4,69.1,3.5,0.61,39,139,1,1,0,2,4.7,0.95,0.66,1.61,0.92,1.58,1.13,1.11,0.9,2.03,2.01,31.0,9.26,2.87,0.1,0.32,15.2,0.12,71.9,85.4,79.2,46.4,222335,1352,83887,29.7,-9.0,269,1053,282,97,14962,1818,375,15,206,866,882,212,150,18,18,16.58,1.66,457,62,44,38,23,6,47,3,6,6,1,0,64.7,35.0,43.1,21000,2180,6190,8918,6070,733,20999,535,9508,48303,493,23773,375,116,519,292,40.4,51.6,611,377,304,229,78,261,646,385,336,106,230,420,1031,931,16,2041,946,886,0.02631578947368421,0.02631578947368421,1.6578947368421053,0.05263157894736842,0.02631578947368421,10.842105263157896,8.052631578947368,2.0526315789473686,0.0,1.4210526315789473,3.6578947368421053,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,5850.921052631579,35.578947368421055,2207.5526315789475,0.781578947368421,-0.23684210526315788,7.078947368421052,27.710526315789473,7.421052631578948,2.5526315789473686,393.7368421052632,47.8421052631579,9.868421052631579,0.39473684210526316,5.421052631578948,22.789473684210527,23.210526315789473,5.578947368421052,3.9473684210526314,0.47368421052631576,0.47368421052631576,12.026315789473685,1.631578947368421,1.1578947368421053,1.0,0.6052631578947368,0.15789473684210525,1.236842105263158,0.07894736842105263,0.15789473684210525,0.15789473684210525,0.02631578947368421,0.0,552.6315789473684,57.36842105263158,162.89473684210526,234.68421052631578,159.73684210526315,19.289473684210527,552.6052631578947,14.078947368421053,250.21052631578948,1271.1315789473683,12.973684210526315,625.6052631578947,9.868421052631579,3.0526315789473686,13.657894736842104,7.684210526315789,16.07894736842105,9.921052631578947,8.0,6.026315789473684,2.0526315789473686,6.868421052631579,17.0,10.131578947368421,8.842105263157896,2.789473684210526,6.052631578947368,11.052631578947368,27.13157894736842,24.5,0.42105263157894735,53.71052631578947,24.894736842105264,23.31578947368421
Manchester City,2019,2020,81,102,35,47,57,13,34,45,22,38.0,ENG,34,24,30840000.0,1050000000.0,24,6,11,64,4,2,362,296,68,1,0.9210526315789473,70.9,44.7,34.1,0.29,0.002631578947368421,40.5,16.6,31.6,4.6,1.69,35,110,0,0,1,4,0.1,2.63,1.82,4.45,2.47,4.29,2.42,2.2,1.8,4.22,4.0,34.0,19.34,6.58,0.13,0.38,16.4,0.12,87.1,92.6,90.2,71.6,410039,2460,117432,62.7,0.6,582,1819,553,89,26549,1573,352,85,243,915,684,298,113,54,7,35.68,4.55,1040,72,101,75,53,15,123,6,16,14,12,2,67.5,32.6,66.2,31884,2009,6806,15609,9720,1473,31873,721,23022,118327,1199,66426,964,377,456,341,38.0,50.8,514,301,204,210,100,230,605,375,292,66,226,352,866,495,21,1959,515,498,0.15789473684210525,0.2894736842105263,1.6842105263157894,0.10526315789473684,0.05263157894736842,9.526315789473685,7.7894736842105265,1.7894736842105263,0.02631578947368421,2.1315789473684212,2.8947368421052633,0.0,0.0,0.02631578947368421,0.10526315789473684,10790.5,64.73684210526316,3090.315789473684,1.6500000000000001,0.015789473684210527,15.31578947368421,47.86842105263158,14.552631578947368,2.3421052631578947,698.6578947368421,41.39473684210526,9.263157894736842,2.236842105263158,6.394736842105263,24.07894736842105,18.0,7.842105263157895,2.973684210526316,1.4210526315789473,0.18421052631578946,27.36842105263158,1.894736842105263,2.6578947368421053,1.9736842105263157,1.394736842105263,0.39473684210526316,3.236842105263158,0.15789473684210525,0.42105263157894735,0.3684210526315789,0.3157894736842105,0.05263157894736842,839.0526315789474,52.86842105263158,179.10526315789474,410.7631578947368,255.78947368421052,38.76315789473684,838.7631578947369,18.973684210526315,605.8421052631579,3113.8684210526317,31.55263157894737,1748.0526315789473,25.36842105263158,9.921052631578947,12.0,8.973684210526315,13.526315789473685,7.921052631578948,5.368421052631579,5.526315789473684,2.6315789473684212,6.052631578947368,15.921052631578947,9.868421052631579,7.684210526315789,1.736842105263158,5.947368421052632,9.263157894736842,22.789473684210527,13.026315789473685,0.5526315789473685,51.55263157894737,13.552631578947368,13.105263157894736
Arsenal,2019,2020,56,56,48,36,36,24,20,20,24,38.0,ENG,38,24,15990000.0,607650000.0,29,3,3,88,5,1,421,437,73,0,1.263157894736842,78.8,26.3,51.8,0.23,0.09999999999999999,25.3,24.8,35.5,4.1,1.11,48,193,1,0,0,9,3.8,1.47,0.92,2.39,1.39,2.32,1.24,1.17,0.83,2.06,2.0,36.2,10.61,3.84,0.13,0.36,16.4,0.11,81.5,89.6,87.6,57.6,292657,1641,94450,28.5,3.6,298,1164,311,63,18463,1874,487,67,153,699,756,231,96,71,3,18.66,2.24,501,59,52,48,33,16,57,5,4,9,4,6,59.0,41.0,53.8,24424,2737,8368,10648,5628,821,24421,697,14410,85069,815,46708,534,209,547,370,40.7,46.0,584,336,296,217,71,249,612,363,398,141,257,351,935,754,18,1861,501,589,0.07894736842105263,0.07894736842105263,2.3157894736842106,0.13157894736842105,0.02631578947368421,11.078947368421053,11.5,1.9210526315789473,0.0,1.4736842105263157,5.078947368421052,0.02631578947368421,0.0,0.0,0.23684210526315788,7701.5,43.18421052631579,2485.5263157894738,0.75,0.09473684210526316,7.842105263157895,30.63157894736842,8.18421052631579,1.6578947368421053,485.86842105263156,49.31578947368421,12.81578947368421,1.763157894736842,4.026315789473684,18.394736842105264,19.894736842105264,6.078947368421052,2.526315789473684,1.868421052631579,0.07894736842105263,13.18421052631579,1.5526315789473684,1.368421052631579,1.263157894736842,0.868421052631579,0.42105263157894735,1.5,0.13157894736842105,0.10526315789473684,0.23684210526315788,0.10526315789473684,0.15789473684210525,642.7368421052631,72.02631578947368,220.21052631578948,280.2105263157895,148.10526315789474,21.605263157894736,642.6578947368421,18.342105263157894,379.2105263157895,2238.657894736842,21.44736842105263,1229.157894736842,14.052631578947368,5.5,14.394736842105264,9.736842105263158,15.368421052631579,8.842105263157896,7.7894736842105265,5.7105263157894735,1.868421052631579,6.552631578947368,16.105263157894736,9.552631578947368,10.473684210526315,3.710526315789474,6.7631578947368425,9.236842105263158,24.605263157894736,19.842105263157894,0.47368421052631576,48.973684210526315,13.18421052631579,15.5
Southampton,2019,2020,52,51,60,21,21,35,31,30,25,38.0,ENG,36,20,5850000.0,210750000.0,25,2,5,55,4,1,450,388,58,1,1.5789473684210527,66.1,23.7,54.7,0.31,-0.1131578947368421,32.4,59.8,56.2,5.0,1.03,60,168,1,0,1,5,-4.3,1.34,0.84,2.18,1.29,2.13,1.48,1.37,0.96,2.43,2.33,34.6,13.0,4.5,0.1,0.29,17.8,0.11,71.5,83.4,77.6,42.5,218809,1335,83466,28.7,-4.4,340,1019,282,70,15450,1960,448,27,133,690,950,210,106,87,5,22.18,2.03,560,74,70,53,60,26,41,3,15,8,7,3,62.2,37.8,48.9,22200,2123,6196,10753,5497,811,22196,680,10579,58592,628,29795,459,182,654,362,40.9,48.0,706,416,325,287,94,324,793,469,488,124,364,425,1131,867,21,2150,810,878,0.05263157894736842,0.13157894736842105,1.4473684210526316,0.10526315789473684,0.02631578947368421,11.842105263157896,10.210526315789474,1.5263157894736843,0.02631578947368421,1.368421052631579,4.421052631578948,0.02631578947368421,0.0,0.02631578947368421,0.13157894736842105,5758.131578947368,35.13157894736842,2196.4736842105262,0.7552631578947369,-0.11578947368421054,8.947368421052632,26.81578947368421,7.421052631578948,1.8421052631578947,406.57894736842104,51.578947368421055,11.789473684210526,0.7105263157894737,3.5,18.157894736842106,25.0,5.526315789473684,2.789473684210526,2.289473684210526,0.13157894736842105,14.736842105263158,1.9473684210526316,1.8421052631578947,1.394736842105263,1.5789473684210527,0.6842105263157895,1.0789473684210527,0.07894736842105263,0.39473684210526316,0.21052631578947367,0.18421052631578946,0.07894736842105263,584.2105263157895,55.86842105263158,163.05263157894737,282.9736842105263,144.6578947368421,21.342105263157894,584.1052631578947,17.894736842105264,278.39473684210526,1541.8947368421052,16.526315789473685,784.078947368421,12.078947368421053,4.7894736842105265,17.210526315789473,9.526315789473685,18.57894736842105,10.947368421052632,8.552631578947368,7.552631578947368,2.473684210526316,8.526315789473685,20.86842105263158,12.342105263157896,12.842105263157896,3.263157894736842,9.578947368421053,11.18421052631579,29.763157894736842,22.81578947368421,0.5526315789473685,56.578947368421055,21.31578947368421,23.105263157894736
Tottenham,2019,2020,59,61,47,39,36,17,20,25,30,38.0,ENG,36,22,22410000.0,806800000.0,29,3,4,84,3,1,423,424,66,2,1.236842105263158,76.8,21.1,53.0,0.26,0.21052631578947367,34.5,39.7,41.7,4.0,0.63,47,181,2,0,1,4,8.0,1.47,1.03,2.5,1.39,2.42,1.26,1.18,0.86,2.12,2.03,35.0,11.58,4.05,0.12,0.34,18.4,0.1,79.3,88.5,84.5,50.8,268557,1410,90635,28.2,6.4,339,1077,283,47,18404,1826,464,79,113,641,785,200,116,51,1,20.5,2.47,589,43,54,37,38,18,62,3,13,10,4,2,60.1,39.8,52.0,24729,2568,7603,11826,5549,710,24725,747,15489,76394,768,39387,573,182,577,437,37.2,48.9,665,415,331,281,53,253,681,428,441,148,293,381,1046,894,24,2022,642,671,0.07894736842105263,0.10526315789473684,2.210526315789474,0.07894736842105263,0.02631578947368421,11.131578947368421,11.157894736842104,1.736842105263158,0.05263157894736842,1.5526315789473684,4.7631578947368425,0.05263157894736842,0.0,0.02631578947368421,0.10526315789473684,7067.289473684211,37.10526315789474,2385.1315789473683,0.7421052631578947,0.16842105263157894,8.921052631578947,28.342105263157894,7.447368421052632,1.236842105263158,484.3157894736842,48.05263157894737,12.210526315789474,2.0789473684210527,2.973684210526316,16.86842105263158,20.657894736842106,5.2631578947368425,3.0526315789473686,1.3421052631578947,0.02631578947368421,15.5,1.131578947368421,1.4210526315789473,0.9736842105263158,1.0,0.47368421052631576,1.631578947368421,0.07894736842105263,0.34210526315789475,0.2631578947368421,0.10526315789473684,0.05263157894736842,650.7631578947369,67.57894736842105,200.07894736842104,311.2105263157895,146.02631578947367,18.68421052631579,650.6578947368421,19.657894736842106,407.60526315789474,2010.3684210526317,20.210526315789473,1036.5,15.078947368421053,4.7894736842105265,15.18421052631579,11.5,17.5,10.921052631578947,8.710526315789474,7.394736842105263,1.394736842105263,6.657894736842105,17.92105263157895,11.263157894736842,11.605263157894736,3.8947368421052633,7.7105263157894735,10.026315789473685,27.526315789473685,23.526315789473685,0.631578947368421,53.21052631578947,16.894736842105264,17.657894736842106
Manchester Utd,2019,2020,66,66,36,37,40,17,29,26,19,38.0,ENG,43,25,15590000.0,670450000.0,29,10,14,73,0,0,423,427,56,1,0.9473684210526315,74.8,34.2,34.7,0.25,-0.007894736842105263,31.7,28.4,29.0,2.0,0.58,36,131,0,0,1,8,-0.3,1.71,1.13,2.84,1.45,2.58,1.64,1.35,1.01,2.65,2.36,37.9,13.95,5.29,0.1,0.27,19.1,0.1,81.7,89.2,86.6,58.8,294732,1788,95208,36.2,4.5,402,1350,341,50,19836,1833,466,64,171,635,822,204,86,63,11,25.74,2.95,766,50,62,36,56,8,86,4,7,2,12,1,59.7,40.3,55.8,25838,2167,7222,11840,6993,878,25824,747,14498,83016,926,46282,681,255,559,396,40.1,52.1,579,333,267,231,81,254,634,380,360,99,261,379,958,703,14,2084,557,512,0.2631578947368421,0.3684210526315789,1.9210526315789473,0.0,0.0,11.131578947368421,11.236842105263158,1.4736842105263157,0.02631578947368421,1.736842105263158,3.4473684210526314,0.0,0.0,0.02631578947368421,0.21052631578947367,7756.105263157895,47.05263157894737,2505.4736842105262,0.9526315789473685,0.11842105263157894,10.578947368421053,35.526315789473685,8.973684210526315,1.3157894736842106,522.0,48.23684210526316,12.263157894736842,1.6842105263157894,4.5,16.710526315789473,21.63157894736842,5.368421052631579,2.263157894736842,1.6578947368421053,0.2894736842105263,20.157894736842106,1.3157894736842106,1.631578947368421,0.9473684210526315,1.4736842105263157,0.21052631578947367,2.263157894736842,0.10526315789473684,0.18421052631578946,0.05263157894736842,0.3157894736842105,0.02631578947368421,679.9473684210526,57.026315789473685,190.05263157894737,311.57894736842104,184.02631578947367,23.105263157894736,679.578947368421,19.657894736842106,381.5263157894737,2184.6315789473683,24.36842105263158,1217.9473684210527,17.92105263157895,6.7105263157894735,14.710526315789474,10.421052631578947,15.236842105263158,8.763157894736842,7.026315789473684,6.078947368421052,2.1315789473684212,6.684210526315789,16.68421052631579,10.0,9.473684210526315,2.6052631578947367,6.868421052631579,9.973684210526315,25.210526315789473,18.5,0.3684210526315789,54.8421052631579,14.657894736842104,13.473684210526315
Leicester,2019,2020,62,67,41,37,35,17,25,32,24,38.0,ENG,32,19,12850000.0,411100000.0,24,5,7,43,3,1,418,444,64,2,1.0789473684210527,75.6,34.2,44.3,0.26,0.1394736842105263,45.2,31.5,36.1,2.8,0.89,41,135,2,0,0,5,5.3,1.71,1.26,2.97,1.58,2.84,1.64,1.49,1.18,2.82,2.67,34.3,14.03,4.82,0.11,0.33,17.4,0.11,80.7,88.9,86.2,56.8,304569,1612,102390,35.3,3.1,405,1283,313,72,19817,1919,495,68,126,779,883,221,70,100,7,25.5,3.05,707,73,75,48,56,10,91,3,11,4,5,2,54.8,45.2,57.1,26247,2187,7814,12226,6415,925,26240,688,16018,77180,739,39583,561,223,602,328,41.1,49.4,742,432,347,320,75,298,725,427,420,92,328,423,1165,767,16,2104,659,674,0.13157894736842105,0.18421052631578946,1.131578947368421,0.07894736842105263,0.02631578947368421,11.0,11.68421052631579,1.6842105263157894,0.05263157894736842,1.631578947368421,3.5526315789473686,0.05263157894736842,0.0,0.0,0.13157894736842105,8014.973684210527,42.421052631578945,2694.4736842105262,0.9289473684210525,0.08157894736842106,10.657894736842104,33.76315789473684,8.236842105263158,1.894736842105263,521.5,50.5,13.026315789473685,1.7894736842105263,3.3157894736842106,20.5,23.236842105263158,5.815789473684211,1.8421052631578947,2.6315789473684212,0.18421052631578946,18.605263157894736,1.9210526315789473,1.9736842105263157,1.263157894736842,1.4736842105263157,0.2631578947368421,2.3947368421052633,0.07894736842105263,0.2894736842105263,0.10526315789473684,0.13157894736842105,0.05263157894736842,690.7105263157895,57.55263157894737,205.6315789473684,321.7368421052632,168.81578947368422,24.342105263157894,690.5263157894736,18.105263157894736,421.5263157894737,2031.0526315789473,19.44736842105263,1041.657894736842,14.763157894736842,5.868421052631579,15.842105263157896,8.631578947368421,19.526315789473685,11.368421052631579,9.131578947368421,8.421052631578947,1.9736842105263157,7.842105263157895,19.07894736842105,11.236842105263158,11.052631578947368,2.4210526315789473,8.631578947368421,11.131578947368421,30.657894736842106,20.18421052631579,0.42105263157894735,55.36842105263158,17.342105263157894,17.736842105263158
Brighton,2019,2020,41,39,54,22,20,27,19,19,27,38.0,ENG,45,29,4460000.0,200780000.0,25,1,2,59,2,1,386,325,71,2,1.4210526315789473,69.0,23.7,50.2,0.29,-0.04736842105263158,50.2,25.3,33.4,3.8,0.68,54,168,0,0,0,7,-1.8,0.92,0.63,1.55,0.89,1.53,1.2,1.15,0.83,2.03,1.99,30.2,12.11,3.66,0.07,0.24,17.6,0.1,79.2,86.6,86.4,56.6,290667,1675,102483,27.3,-7.6,343,1124,294,62,18194,1791,394,34,200,689,853,178,78,78,0,21.16,1.71,599,73,39,48,40,5,44,9,5,2,5,0,57.4,42.6,52.2,24387,2721,8174,10724,5693,770,24385,584,13074,73950,669,37898,502,165,626,399,38.2,54.5,641,379,295,269,77,245,642,397,437,137,300,419,1060,750,15,2065,690,577,0.02631578947368421,0.05263157894736842,1.5526315789473684,0.05263157894736842,0.02631578947368421,10.157894736842104,8.552631578947368,1.868421052631579,0.05263157894736842,1.0789473684210527,4.421052631578948,0.0,0.0,0.0,0.18421052631578946,7649.131578947368,44.078947368421055,2696.9210526315787,0.718421052631579,-0.19999999999999998,9.026315789473685,29.57894736842105,7.7368421052631575,1.631578947368421,478.7894736842105,47.13157894736842,10.368421052631579,0.8947368421052632,5.2631578947368425,18.13157894736842,22.44736842105263,4.684210526315789,2.0526315789473686,2.0526315789473686,0.0,15.763157894736842,1.9210526315789473,1.0263157894736843,1.263157894736842,1.0526315789473684,0.13157894736842105,1.1578947368421053,0.23684210526315788,0.13157894736842105,0.05263157894736842,0.13157894736842105,0.0,641.7631578947369,71.60526315789474,215.10526315789474,282.2105263157895,149.81578947368422,20.263157894736842,641.7105263157895,15.368421052631579,344.05263157894734,1946.0526315789473,17.605263157894736,997.3157894736842,13.210526315789474,4.342105263157895,16.473684210526315,10.5,16.86842105263158,9.973684210526315,7.7631578947368425,7.078947368421052,2.026315789473684,6.447368421052632,16.894736842105264,10.447368421052632,11.5,3.6052631578947367,7.894736842105263,11.026315789473685,27.894736842105264,19.736842105263158,0.39473684210526316,54.3421052631579,18.157894736842106,15.18421052631579
West Ham,2019,2020,39,49,62,22,30,33,17,19,29,38.0,ENG,38,26,7990000.0,303600000.0,29,4,4,64,1,1,387,345,66,3,1.631578947368421,69.5,18.4,60.5,0.3,0.039473684210526314,38.8,62.7,58.9,2.0,0.58,62,187,1,0,2,6,1.5,1.29,0.95,2.24,1.18,2.13,1.28,1.2,0.97,2.24,2.16,37.8,10.87,4.11,0.11,0.29,16.4,0.11,73.8,84.9,79.9,50.6,221660,1377,89417,33.4,-0.7,328,1083,244,80,14967,1828,432,38,156,737,815,190,111,54,6,19.34,2.34,514,78,42,42,47,12,62,7,5,7,8,0,59.9,39.8,44.1,20992,2159,6259,9681,5265,746,20988,663,11154,62359,666,30132,485,168,496,322,40.3,51.6,696,417,374,263,59,300,745,445,383,117,266,421,1117,789,16,2052,855,801,0.10526315789473684,0.10526315789473684,1.6842105263157894,0.02631578947368421,0.02631578947368421,10.18421052631579,9.078947368421053,1.736842105263158,0.07894736842105263,1.0263157894736843,4.921052631578948,0.02631578947368421,0.0,0.05263157894736842,0.15789473684210525,5833.1578947368425,36.23684210526316,2353.0789473684213,0.8789473684210526,-0.018421052631578946,8.631578947368421,28.5,6.421052631578948,2.1052631578947367,393.86842105263156,48.10526315789474,11.368421052631579,1.0,4.105263157894737,19.394736842105264,21.44736842105263,5.0,2.9210526315789473,1.4210526315789473,0.15789473684210525,13.526315789473685,2.0526315789473686,1.105263157894737,1.105263157894737,1.236842105263158,0.3157894736842105,1.631578947368421,0.18421052631578946,0.13157894736842105,0.18421052631578946,0.21052631578947367,0.0,552.421052631579,56.81578947368421,164.71052631578948,254.76315789473685,138.55263157894737,19.63157894736842,552.3157894736842,17.44736842105263,293.5263157894737,1641.0263157894738,17.526315789473685,792.9473684210526,12.763157894736842,4.421052631578948,13.052631578947368,8.473684210526315,18.31578947368421,10.973684210526315,9.842105263157896,6.921052631578948,1.5526315789473684,7.894736842105263,19.605263157894736,11.710526315789474,10.078947368421053,3.0789473684210527,7.0,11.078947368421053,29.394736842105264,20.763157894736842,0.42105263157894735,54.0,22.5,21.07894736842105
