time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2023-08-12 03:00:00,Nice,1,Lille,1,2023,2024,2023
2023-08-12 23:00:00,Marseille,2,Reims,1,2023,2024,2023
2023-08-13 03:00:00,PSG,0,Lorient,0,2023,2024,2023
2023-08-13 19:00:00,Brest,3,Lens,2,2023,2024,2023
2023-08-13 21:00:00,Montpellier,2,Le Havre,2,2023,2024,2023
2023-08-13 21:00:00,Nantes,1,Toulouse,2,2023,2024,2023
2023-08-13 21:00:00,Clermont,2,Monaco,4,2023,2024,2023
2023-08-13 23:05:00,Rennes,5,Metz,1,2023,2024,2023
2023-08-14 02:45:00,Strasbourg,2,Lyon,1,2023,2024,2023
2023-08-19 03:00:00,Metz,2,Marseille,2,2023,2024,2023
2023-08-20 01:00:00,Lyon,1,Montpellier,4,2023,2024,2023
2023-08-20 03:00:00,Toulouse,1,PSG,1,2023,2024,2023
2023-08-20 19:00:00,Lille,2,Nantes,0,2023,2024,2023
2023-08-20 21:00:00,Reims,2,Clermont,0,2023,2024,2023
2023-08-20 21:00:00,Lorient,1,Nice,1,2023,2024,2023
2023-08-20 21:00:00,Le Havre,1,Brest,2,2023,2024,2023
2023-08-21 01:00:00,Monaco,3,Strasbourg,0,2023,2024,2023
2023-08-21 02:45:00,Lens,1,Rennes,1,2023,2024,2023
2023-08-26 03:00:00,Nantes,3,Monaco,3,2023,2024,2023
2023-08-27 01:00:00,Marseille,2,Brest,0,2023,2024,2023
2023-08-27 03:00:00,PSG,3,Lens,1,2023,2024,2023
2023-08-27 19:00:00,Rennes,2,Le Havre,2,2023,2024,2023
2023-08-27 21:00:00,Strasbourg,2,Toulouse,0,2023,2024,2023
2023-08-27 21:00:00,Montpellier,1,Reims,3,2023,2024,2023
2023-08-27 21:00:00,Clermont,0,Metz,1,2023,2024,2023
2023-08-27 23:05:00,Lorient,4,Lille,1,2023,2024,2023
2023-08-28 02:45:00,Nice,0,Lyon,0,2023,2024,2023
2023-09-02 03:00:00,Nantes,1,Marseille,1,2023,2024,2023
2023-09-02 23:00:00,Brest,0,Rennes,0,2023,2024,2023
2023-09-03 03:00:00,Monaco,3,Lens,0,2023,2024,2023
2023-09-03 19:00:00,Toulouse,2,Clermont,2,2023,2024,2023
2023-09-03 21:00:00,Lille,1,Montpellier,0,2023,2024,2023
2023-09-03 21:00:00,Metz,2,Reims,2,2023,2024,2023
2023-09-03 21:00:00,Le Havre,3,Lorient,0,2023,2024,2023
2023-09-03 23:05:00,Nice,2,Strasbourg,0,2023,2024,2023
2023-09-04 02:45:00,Lyon,1,PSG,4,2023,2024,2023
2023-09-16 03:00:00,PSG,2,Nice,3,2023,2024,2023
2023-09-16 23:00:00,Rennes,2,Lille,2,2023,2024,2023
2023-09-17 03:00:00,Lens,0,Metz,1,2023,2024,2023
2023-09-17 19:00:00,Lorient,2,Monaco,2,2023,2024,2023
2023-09-17 21:00:00,Strasbourg,2,Montpellier,2,2023,2024,2023
2023-09-17 21:00:00,Reims,1,Brest,2,2023,2024,2023
2023-09-17 21:00:00,Clermont,0,Nantes,1,2023,2024,2023
2023-09-17 23:05:00,Marseille,0,Toulouse,0,2023,2024,2023
2023-09-18 02:45:00,Lyon,0,Le Havre,0,2023,2024,2023
2023-09-23 03:00:00,Monaco,0,Nice,1,2023,2024,2023
2023-09-23 23:00:00,Nantes,5,Lorient,3,2023,2024,2023
2023-09-24 03:00:00,Brest,1,Lyon,0,2023,2024,2023
2023-09-24 19:00:00,Metz,0,Strasbourg,1,2023,2024,2023
2023-09-24 21:00:00,Lens,2,Toulouse,1,2023,2024,2023
