time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2019-06-01 00:00:00,Paderborn,1,Dortmund,6,2019,2020,2019
2019-06-02 02:30:00,FC Koln,2,RB Leipzig,4,2019,2020,2019
2019-06-04 02:30:00,Werder Bremen,0,Eintracht Frankfurt,3,2019,2020,2019
2019-06-06 02:30:00,Freiburg,1,B. Monchengladbach,0,2019,2020,2019
2019-06-06 21:30:00,RB Leipzig,1,Paderborn,1,2019,2020,2019
2019-06-06 21:30:00,Eintracht Frankfurt,0,Mainz,2,2019,2020,2019
2019-06-06 21:30:00,Dusseldorf,2,Hoffenheim,2,2019,2020,2019
2019-06-06 21:30:00,Bayer Leverkusen,2,Bayern Munich,4,2019,2020,2019
2019-06-07 00:30:00,Dortmund,1,Hertha Berlin,0,2019,2020,2019
2019-06-07 19:30:00,Werder Bremen,0,Wolfsburg,1,2019,2020,2019
2019-06-07 21:30:00,Union Berlin,1,Schalke,1,2019,2020,2019
2019-06-08 00:00:00,Augsburg,1,FC Koln,1,2019,2020,2019
2019-06-13 02:30:00,Hoffenheim,0,RB Leipzig,2,2019,2020,2019
2019-06-13 21:30:00,Dusseldorf,0,Dortmund,1,2019,2020,2019
2019-06-13 21:30:00,FC Koln,1,Union Berlin,2,2019,2020,2019
2019-06-13 21:30:00,Paderborn,1,Werder Bremen,5,2019,2020,2019
2019-06-13 21:30:00,Hertha Berlin,1,Eintracht Frankfurt,4,2019,2020,2019
2019-06-13 21:30:00,Wolfsburg,2,Freiburg,2,2019,2020,2019
2019-06-14 00:30:00,Bayern Munich,2,B. Monchengladbach,1,2019,2020,2019
2019-06-14 21:30:00,Mainz,0,Augsburg,1,2019,2020,2019
2019-06-15 00:00:00,Schalke,1,Bayer Leverkusen,1,2019,2020,2019
2019-06-17 00:30:00,B. Monchengladbach,3,Wolfsburg,0,2019,2020,2019
2019-06-17 02:30:00,Freiburg,2,Hertha Berlin,1,2019,2020,2019
2019-06-17 02:30:00,Werder Bremen,0,Bayern Munich,1,2019,2020,2019
2019-06-17 02:30:00,Union Berlin,1,Paderborn,0,2019,2020,2019
2019-06-18 00:30:00,Eintracht Frankfurt,2,Schalke,1,2019,2020,2019
2019-06-18 02:30:00,Dortmund,0,Mainz,2,2019,2020,2019
2019-06-18 02:30:00,Bayer Leverkusen,3,FC Koln,1,2019,2020,2019
2019-06-18 02:30:00,Augsburg,1,Hoffenheim,3,2019,2020,2019
2019-06-18 02:30:00,RB Leipzig,2,Dusseldorf,2,2019,2020,2019
2019-06-20 21:30:00,Dusseldorf,1,Augsburg,1,2019,2020,2019
2019-06-20 21:30:00,FC Koln,1,Eintracht Frankfurt,1,2019,2020,2019
