time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2012-08-18 22:00:00,West Ham,1,Aston Villa,0,2012,2013,2012
2012-08-18 22:00:00,Arsenal,0,Sunderland,0,2012,2013,2012
2012-08-18 22:00:00,Fulham,5,Norwich,0,2012,2013,2012
2012-08-18 22:00:00,West Brom,3,Liverpool,0,2012,2013,2012
2012-08-18 22:00:00,Reading,1,Stoke,1,2012,2013,2012
2012-08-18 22:00:00,QPR,0,Swansea,5,2012,2013,2012
2012-08-19 00:30:00,Newcastle,2,Tottenham,1,2012,2013,2012
2012-08-19 20:30:00,Wigan,0,Chelsea,2,2012,2013,2012
2012-08-19 23:00:00,Manchester City,3,Southampton,2,2012,2013,2012
2012-08-21 03:00:00,Everton,1,Manchester Utd,0,2012,2013,2012
2012-08-23 02:45:00,Chelsea,4,Reading,2,2012,2013,2012
2012-08-25 19:45:00,Swansea,3,West Ham,0,2012,2013,2012
2012-08-25 22:00:00,Tottenham,1,West Brom,1,2012,2013,2012
2012-08-25 22:00:00,Southampton,0,Wigan,2,2012,2013,2012
2012-08-25 22:00:00,Norwich,1,QPR,1,2012,2013,2012
2012-08-25 22:00:00,Manchester Utd,3,Fulham,2,2012,2013,2012
2012-08-25 22:00:00,Aston Villa,1,Everton,3,2012,2013,2012
2012-08-26 00:30:00,Chelsea,2,Newcastle,0,2012,2013,2012
2012-08-26 20:30:00,Stoke,0,Arsenal,0,2012,2013,2012
2012-08-26 23:00:00,Liverpool,2,Manchester City,2,2012,2013,2012
2012-09-01 19:45:00,West Ham,3,Fulham,0,2012,2013,2012
2012-09-01 22:00:00,Wigan,2,Stoke,2,2012,2013,2012
2012-09-01 22:00:00,West Brom,2,Everton,0,2012,2013,2012
2012-09-01 22:00:00,Tottenham,1,Norwich,1,2012,2013,2012
2012-09-01 22:00:00,Swansea,2,Sunderland,2,2012,2013,2012
2012-09-02 00:30:00,Manchester City,3,QPR,1,2012,2013,2012
2012-09-02 20:30:00,Liverpool,0,Arsenal,2,2012,2013,2012
2012-09-02 23:00:00,Southampton,2,Manchester Utd,3,2012,2013,2012
2012-09-02 23:00:00,Newcastle,1,Aston Villa,1,2012,2013,2012
2012-09-15 19:45:00,Norwich,0,West Ham,0,2012,2013,2012
2012-09-15 22:00:00,QPR,0,Chelsea,0,2012,2013,2012
2012-09-15 22:00:00,Manchester Utd,4,Wigan,0,2012,2013,2012
2012-09-15 22:00:00,Fulham,3,West Brom,0,2012,2013,2012
2012-09-15 22:00:00,Aston Villa,2,Swansea,0,2012,2013,2012
2012-09-15 22:00:00,Arsenal,6,Southampton,1,2012,2013,2012
2012-09-15 22:00:00,Stoke,1,Manchester City,1,2012,2013,2012
2012-09-16 00:30:00,Sunderland,1,Liverpool,1,2012,2013,2012
2012-09-16 23:00:00,Reading,1,Tottenham,3,2012,2013,2012
2012-09-18 03:00:00,Everton,2,Newcastle,2,2012,2013,2012
2012-09-22 19:45:00,Swansea,0,Everton,3,2012,2013,2012
2012-09-22 22:00:00,Chelsea,1,Stoke,0,2012,2013,2012
2012-09-22 22:00:00,Southampton,4,Aston Villa,1,2012,2013,2012
2012-09-22 22:00:00,West Ham,1,Sunderland,1,2012,2013,2012
2012-09-22 22:00:00,Wigan,1,Fulham,2,2012,2013,2012
2012-09-22 22:00:00,West Brom,1,Reading,0,2012,2013,2012
2012-09-23 20:30:00,Liverpool,1,Manchester Utd,2,2012,2013,2012
2012-09-23 22:00:00,Newcastle,1,Norwich,0,2012,2013,2012
2012-09-23 23:00:00,Tottenham,2,QPR,1,2012,2013,2012
2012-09-23 23:00:00,Manchester City,1,Arsenal,1,2012,2013,2012
2012-09-29 19:45:00,Arsenal,1,Chelsea,2,2012,2013,2012
2012-09-29 22:00:00,Everton,3,Southampton,1,2012,2013,2012
2012-09-29 22:00:00,Fulham,1,Manchester City,2,2012,2013,2012
2012-09-29 22:00:00,Stoke,2,Swansea,0,2012,2013,2012
2012-09-29 22:00:00,Reading,2,Newcastle,2,2012,2013,2012
2012-09-29 22:00:00,Norwich,2,Liverpool,5,2012,2013,2012
2012-09-29 22:00:00,Sunderland,1,Wigan,0,2012,2013,2012
2012-09-30 00:30:00,Manchester Utd,2,Tottenham,3,2012,2013,2012
2012-09-30 23:00:00,Aston Villa,1,West Brom,1,2012,2013,2012
2012-10-02 03:00:00,QPR,1,West Ham,2,2012,2013,2012
2012-10-06 19:45:00,Manchester City,3,Sunderland,0,2012,2013,2012
2012-10-06 22:00:00,Wigan,2,Everton,2,2012,2013,2012
2012-10-06 22:00:00,West Brom,3,QPR,2,2012,2013,2012
2012-10-06 22:00:00,Swansea,2,Reading,2,2012,2013,2012
2012-10-06 22:00:00,Chelsea,4,Norwich,1,2012,2013,2012
2012-10-07 00:30:00,West Ham,1,Arsenal,3,2012,2013,2012
2012-10-07 20:30:00,Southampton,2,Fulham,2,2012,2013,2012
2012-10-07 22:00:00,Tottenham,2,Aston Villa,0,2012,2013,2012
2012-10-07 22:00:00,Liverpool,0,Stoke,0,2012,2013,2012
2012-10-07 23:00:00,Newcastle,0,Manchester Utd,3,2012,2013,2012
2012-10-20 19:45:00,Tottenham,2,Chelsea,4,2012,2013,2012
2012-10-20 22:00:00,Fulham,1,Aston Villa,0,2012,2013,2012
2012-10-20 22:00:00,Manchester Utd,4,Stoke,2,2012,2013,2012
2012-10-20 22:00:00,Liverpool,1,Reading,0,2012,2013,2012
2012-10-20 22:00:00,West Brom,1,Manchester City,2,2012,2013,2012
2012-10-20 22:00:00,West Ham,4,Southampton,1,2012,2013,2012
2012-10-20 22:00:00,Swansea,2,Wigan,1,2012,2013,2012
2012-10-21 00:30:00,Norwich,1,Arsenal,0,2012,2013,2012
2012-10-21 20:30:00,Sunderland,1,Newcastle,1,2012,2013,2012
2012-10-21 23:00:00,QPR,1,Everton,1,2012,2013,2012
2012-10-27 19:45:00,Aston Villa,1,Norwich,1,2012,2013,2012
2012-10-27 22:00:00,Wigan,2,West Ham,1,2012,2013,2012
2012-10-27 22:00:00,Stoke,0,Sunderland,0,2012,2013,2012
2012-10-27 22:00:00,Reading,3,Fulham,3,2012,2013,2012
2012-10-27 22:00:00,Arsenal,1,QPR,0,2012,2013,2012
2012-10-28 00:30:00,Manchester City,1,Swansea,0,2012,2013,2012
2012-10-28 21:30:00,Everton,2,Liverpool,2,2012,2013,2012
2012-10-28 23:00:00,Southampton,1,Tottenham,2,2012,2013,2012
2012-10-28 23:00:00,Newcastle,2,West Brom,1,2012,2013,2012
2012-10-29 00:00:00,Chelsea,2,Manchester Utd,3,2012,2013,2012
2012-11-03 20:45:00,Manchester Utd,2,Arsenal,1,2012,2013,2012
2012-11-03 23:00:00,Tottenham,0,Wigan,1,2012,2013,2012
2012-11-03 23:00:00,Swansea,1,Chelsea,1,2012,2013,2012
2012-11-03 23:00:00,Sunderland,0,Aston Villa,1,2012,2013,2012
2012-11-03 23:00:00,Norwich,1,Stoke,0,2012,2013,2012
2012-11-03 23:00:00,Fulham,2,Everton,2,2012,2013,2012
2012-11-04 01:30:00,West Ham,0,Manchester City,0,2012,2013,2012
