time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2023-08-12 01:30:00,Almeria,0,Rayo Vallecano,2,2023,2024,2023
2023-08-12 04:00:00,Sevilla,1,Valencia,2,2023,2024,2023
2023-08-12 23:00:00,Real Sociedad,1,Girona,1,2023,2024,2023
2023-08-13 01:30:00,Las Palmas,1,Mallorca,1,2023,2024,2023
2023-08-13 03:30:00,Ath Bilbao,0,Real Madrid,2,2023,2024,2023
2023-08-13 23:00:00,Celta Vigo,0,Osasuna,2,2023,2024,2023
2023-08-14 01:30:00,Villarreal,1,Betis,2,2023,2024,2023
2023-08-14 03:30:00,Getafe,0,Barcelona,0,2023,2024,2023
2023-08-15 01:30:00,Cadiz CF,1,Alaves,0,2023,2024,2023
2023-08-15 03:30:00,Atl. Madrid,3,Granada CF,1,2023,2024,2023
2023-08-19 01:30:00,Mallorca,0,Villarreal,1,2023,2024,2023
2023-08-19 03:30:00,Valencia,1,Las Palmas,0,2023,2024,2023
2023-08-19 23:00:00,Real Sociedad,1,Celta Vigo,1,2023,2024,2023
2023-08-20 01:30:00,Almeria,1,Real Madrid,3,2023,2024,2023
2023-08-20 03:30:00,Osasuna,0,Ath Bilbao,2,2023,2024,2023
2023-08-21 01:00:00,Girona,3,Getafe,0,2023,2024,2023
2023-08-21 01:30:00,Barcelona,2,Cadiz CF,0,2023,2024,2023
2023-08-21 03:30:00,Betis,0,Atl. Madrid,0,2023,2024,2023
2023-08-22 01:00:00,Alaves,4,Sevilla,3,2023,2024,2023
2023-08-22 03:30:00,Granada CF,0,Rayo Vallecano,2,2023,2024,2023
2023-08-26 01:30:00,Las Palmas,0,Real Sociedad,0,2023,2024,2023
2023-08-26 03:30:00,Celta Vigo,0,Real Madrid,1,2023,2024,2023
2023-08-27 01:00:00,Cadiz CF,1,Almeria,1,2023,2024,2023
2023-08-27 01:30:00,Granada CF,3,Mallorca,2,2023,2024,2023
2023-08-27 03:30:00,Sevilla,1,Girona,2,2023,2024,2023
2023-08-27 23:30:00,Villarreal,3,Barcelona,4,2023,2024,2023
2023-08-28 01:30:00,Valencia,1,Osasuna,2,2023,2024,2023
2023-08-28 03:30:00,Ath Bilbao,4,Betis,2,2023,2024,2023
2023-08-29 01:30:00,Getafe,1,Alaves,0,2023,2024,2023
2023-08-29 03:30:00,Rayo Vallecano,0,Atl. Madrid,7,2023,2024,2023
2023-09-02 01:30:00,Cadiz CF,3,Villarreal,1,2023,2024,2023
2023-09-02 04:00:00,Almeria,2,Celta Vigo,3,2023,2024,2023
2023-09-02 20:00:00,Real Sociedad,5,Granada CF,3,2023,2024,2023
2023-09-02 22:15:00,Real Madrid,2,Getafe,1,2023,2024,2023
2023-09-03 00:30:00,Alaves,1,Valencia,0,2023,2024,2023
2023-09-03 03:00:00,Betis,1,Rayo Vallecano,0,2023,2024,2023
2023-09-03 20:00:00,Girona,1,Las Palmas,0,2023,2024,2023
2023-09-03 22:15:00,Mallorca,0,Ath Bilbao,0,2023,2024,2023
2023-09-04 03:00:00,Osasuna,1,Barcelona,2,2023,2024,2023
2023-09-16 03:00:00,Rayo Vallecano,2,Alaves,0,2023,2024,2023
2023-09-16 20:00:00,Ath Bilbao,3,Cadiz CF,0,2023,2024,2023
2023-09-16 22:15:00,Valencia,3,Atl. Madrid,0,2023,2024,2023
2023-09-17 00:30:00,Celta Vigo,0,Mallorca,1,2023,2024,2023
2023-09-17 03:00:00,Barcelona,5,Betis,0,2023,2024,2023
2023-09-17 20:00:00,Getafe,3,Osasuna,2,2023,2024,2023
2023-09-17 22:15:00,Villarreal,2,Almeria,1,2023,2024,2023
2023-09-18 00:30:00,Sevilla,1,Las Palmas,0,2023,2024,2023
2023-09-18 03:00:00,Real Madrid,2,Real Sociedad,1,2023,2024,2023
2023-09-19 03:00:00,Granada CF,2,Girona,4,2023,2024,2023
2023-09-23 03:00:00,Alaves,0,Ath Bilbao,2,2023,2024,2023
2023-09-23 20:00:00,Girona,5,Mallorca,3,2023,2024,2023
2023-09-23 22:15:00,Osasuna,0,Sevilla,0,2023,2024,2023
2023-09-24 00:30:00,Barcelona,3,Celta Vigo,2,2023,2024,2023
2023-09-24 03:00:00,Almeria,2,Valencia,2,2023,2024,2023
2023-09-24 20:00:00,Real Sociedad,4,Getafe,3,2023,2024,2023
2023-09-24 22:15:00,Rayo Vallecano,1,Villarreal,1,2023,2024,2023
2023-09-25 00:30:00,Betis,1,Cadiz CF,1,2023,2024,2023
2023-09-25 00:30:00,Las Palmas,1,Granada CF,0,2023,2024,2023
2023-09-25 03:00:00,Atl. Madrid,3,Real Madrid,1,2023,2024,2023
2023-09-27 01:00:00,Sevilla,5,Almeria,1,2023,2024,2023
