time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,weekday,month,day,hour,minute
2020-09-12 19:30:00,Fulham,0,Arsenal,3,2020,2021,2020,5,9,12,19,30
2020-09-12 22:00:00,Crystal Palace,1,Southampton,0,2020,2021,2020,5,9,12,22,0
2020-09-13 00:30:00,Liverpool,4,Leeds,3,2020,2021,2020,6,9,13,0,30
2020-09-13 03:00:00,West Ham,0,Newcastle,2,2020,2021,2020,6,9,13,3,0
2020-09-13 21:00:00,West Brom,0,Leicester,3,2020,2021,2020,6,9,13,21,0
2020-09-13 23:30:00,Tottenham,0,Everton,1,2020,2021,2020,6,9,13,23,30
2020-09-15 01:00:00,Sheffield Utd,0,Wolves,2,2020,2021,2020,1,9,15,1,0
2020-09-15 03:15:00,Brighton,1,Chelsea,3,2020,2021,2020,1,9,15,3,15
2020-09-19 19:30:00,Everton,5,West Brom,2,2020,2021,2020,5,9,19,19,30
2020-09-19 22:00:00,Leeds,4,Fulham,3,2020,2021,2020,5,9,19,22,0
2020-09-20 00:30:00,Manchester Utd,1,Crystal Palace,3,2020,2021,2020,6,9,20,0,30
2020-09-20 03:00:00,Arsenal,2,West Ham,1,2020,2021,2020,6,9,20,3,0
2020-09-20 19:00:00,Southampton,2,Tottenham,5,2020,2021,2020,6,9,20,19,0
2020-09-20 21:00:00,Newcastle,0,Brighton,3,2020,2021,2020,6,9,20,21,0
2020-09-20 23:30:00,Chelsea,0,Liverpool,2,2020,2021,2020,6,9,20,23,30
2020-09-21 02:00:00,Leicester,4,Burnley,2,2020,2021,2020,0,9,21,2,0
2020-09-22 01:00:00,Aston Villa,1,Sheffield Utd,0,2020,2021,2020,1,9,22,1,0
2020-09-22 03:15:00,Wolves,1,Manchester City,3,2020,2021,2020,1,9,22,3,15
2020-09-26 19:30:00,Brighton,2,Manchester Utd,3,2020,2021,2020,5,9,26,19,30
2020-09-26 22:00:00,Crystal Palace,1,Everton,2,2020,2021,2020,5,9,26,22,0
2020-09-27 00:30:00,West Brom,3,Chelsea,3,2020,2021,2020,6,9,27,0,30
2020-09-27 03:00:00,Burnley,0,Southampton,1,2020,2021,2020,6,9,27,3,0
2020-09-27 19:00:00,Sheffield Utd,0,Leeds,1,2020,2021,2020,6,9,27,19,0
2020-09-27 21:00:00,Tottenham,1,Newcastle,1,2020,2021,2020,6,9,27,21,0
2020-09-27 23:30:00,Manchester City,2,Leicester,5,2020,2021,2020,6,9,27,23,30
2020-09-28 02:00:00,West Ham,4,Wolves,0,2020,2021,2020,0,9,28,2,0
2020-09-29 00:45:00,Fulham,0,Aston Villa,3,2020,2021,2020,1,9,29,0,45
2020-09-29 03:00:00,Liverpool,3,Arsenal,1,2020,2021,2020,1,9,29,3,0
2020-10-03 19:30:00,Chelsea,4,Crystal Palace,0,2020,2021,2020,5,10,3,19,30
2020-10-03 22:00:00,Everton,4,Brighton,2,2020,2021,2020,5,10,3,22,0
2020-10-04 00:30:00,Leeds,1,Manchester City,1,2020,2021,2020,6,10,4,0,30
2020-10-04 03:00:00,Newcastle,3,Burnley,1,2020,2021,2020,6,10,4,3,0
2020-10-04 19:00:00,Southampton,2,West Brom,0,2020,2021,2020,6,10,4,19,0
2020-10-04 19:00:00,Leicester,0,West Ham,3,2020,2021,2020,6,10,4,19,0
2020-10-04 21:00:00,Wolves,1,Fulham,0,2020,2021,2020,6,10,4,21,0
2020-10-04 21:00:00,Arsenal,2,Sheffield Utd,1,2020,2021,2020,6,10,4,21,0
2020-10-04 23:30:00,Manchester Utd,1,Tottenham,6,2020,2021,2020,6,10,4,23,30
2020-10-05 02:15:00,Aston Villa,7,Liverpool,2,2020,2021,2020,0,10,5,2,15
2020-10-17 19:30:00,Everton,2,Liverpool,2,2020,2021,2020,5,10,17,19,30
2020-10-17 22:00:00,Chelsea,3,Southampton,3,2020,2021,2020,5,10,17,22,0
2020-10-18 00:30:00,Manchester City,1,Arsenal,0,2020,2021,2020,6,10,18,0,30
2020-10-18 03:00:00,Newcastle,1,Manchester Utd,4,2020,2021,2020,6,10,18,3,0
2020-10-18 19:00:00,Sheffield Utd,1,Fulham,1,2020,2021,2020,6,10,18,19,0
2020-10-18 21:00:00,Crystal Palace,1,Brighton,1,2020,2021,2020,6,10,18,21,0
2020-10-18 23:30:00,Tottenham,3,West Ham,3,2020,2021,2020,6,10,18,23,30
2020-10-19 02:15:00,Leicester,0,Aston Villa,1,2020,2021,2020,0,10,19,2,15
2020-10-20 00:30:00,West Brom,0,Burnley,0,2020,2021,2020,1,10,20,0,30
2020-10-20 03:00:00,Leeds,0,Wolves,1,2020,2021,2020,1,10,20,3,0
2020-10-24 03:00:00,Aston Villa,0,Leeds,3,2020,2021,2020,5,10,24,3,0
2020-10-24 19:30:00,West Ham,1,Manchester City,1,2020,2021,2020,5,10,24,19,30
2020-10-24 22:00:00,Fulham,1,Crystal Palace,2,2020,2021,2020,5,10,24,22,0
2020-10-25 00:30:00,Manchester Utd,0,Chelsea,0,2020,2021,2020,6,10,25,0,30
2020-10-25 03:00:00,Liverpool,2,Sheffield Utd,1,2020,2021,2020,6,10,25,3,0
2020-10-25 22:00:00,Southampton,2,Everton,0,2020,2021,2020,6,10,25,22,0
2020-10-26 00:30:00,Wolves,1,Newcastle,1,2020,2021,2020,0,10,26,0,30
2020-10-26 03:15:00,Arsenal,0,Leicester,1,2020,2021,2020,0,10,26,3,15
2020-10-27 01:30:00,Brighton,1,West Brom,1,2020,2021,2020,1,10,27,1,30
2020-10-27 04:00:00,Burnley,0,Tottenham,1,2020,2021,2020,1,10,27,4,0
2020-10-31 04:00:00,Wolves,2,Crystal Palace,0,2020,2021,2020,5,10,31,4,0
2020-10-31 20:30:00,Sheffield Utd,0,Manchester City,1,2020,2021,2020,5,10,31,20,30
2020-10-31 23:00:00,Burnley,0,Chelsea,3,2020,2021,2020,5,10,31,23,0
2020-11-01 01:30:00,Liverpool,2,West Ham,1,2020,2021,2020,6,11,1,1,30
2020-11-01 20:00:00,Aston Villa,3,Southampton,4,2020,2021,2020,6,11,1,20,0
2020-11-01 22:00:00,Newcastle,2,Everton,1,2020,2021,2020,6,11,1,22,0
2020-11-02 00:30:00,Manchester Utd,0,Arsenal,1,2020,2021,2020,0,11,2,0,30
2020-11-02 03:15:00,Tottenham,2,Brighton,1,2020,2021,2020,0,11,2,3,15
2020-11-03 01:30:00,Fulham,2,West Brom,0,2020,2021,2020,1,11,3,1,30
2020-11-03 04:00:00,Leeds,1,Leicester,4,2020,2021,2020,1,11,3,4,0
2020-11-07 01:30:00,Brighton,0,Burnley,0,2020,2021,2020,5,11,7,1,30
2020-11-07 04:00:00,Southampton,2,Newcastle,0,2020,2021,2020,5,11,7,4,0
2020-11-07 20:30:00,Everton,1,Manchester Utd,3,2020,2021,2020,5,11,7,20,30
2020-11-07 23:00:00,Crystal Palace,4,Leeds,1,2020,2021,2020,5,11,7,23,0
2020-11-08 01:30:00,Chelsea,4,Sheffield Utd,1,2020,2021,2020,6,11,8,1,30
2020-11-08 04:00:00,West Ham,1,Fulham,0,2020,2021,2020,6,11,8,4,0
2020-11-08 20:00:00,West Brom,0,Tottenham,1,2020,2021,2020,6,11,8,20,0
2020-11-08 22:00:00,Leicester,1,Wolves,0,2020,2021,2020,6,11,8,22,0
2020-11-09 00:30:00,Manchester City,1,Liverpool,1,2020,2021,2020,0,11,9,0,30
2020-11-09 03:15:00,Arsenal,0,Aston Villa,3,2020,2021,2020,0,11,9,3,15
2020-11-21 20:30:00,Newcastle,0,Chelsea,2,2020,2021,2020,5,11,21,20,30
2020-11-21 23:00:00,Aston Villa,1,Brighton,2,2020,2021,2020,5,11,21,23,0
2020-11-22 01:30:00,Tottenham,2,Manchester City,0,2020,2021,2020,6,11,22,1,30
2020-11-22 04:00:00,Manchester Utd,1,West Brom,0,2020,2021,2020,6,11,22,4,0
2020-11-22 20:00:00,Fulham,2,Everton,3,2020,2021,2020,6,11,22,20,0
2020-11-22 22:00:00,Sheffield Utd,0,West Ham,1,2020,2021,2020,6,11,22,22,0
2020-11-23 00:30:00,Leeds,0,Arsenal,0,2020,2021,2020,0,11,23,0,30
2020-11-23 03:15:00,Liverpool,3,Leicester,0,2020,2021,2020,0,11,23,3,15
2020-11-24 01:30:00,Burnley,1,Crystal Palace,0,2020,2021,2020,1,11,24,1,30
2020-11-24 04:00:00,Wolves,1,Southampton,1,2020,2021,2020,1,11,24,4,0
2020-11-28 04:00:00,Crystal Palace,0,Newcastle,2,2020,2021,2020,5,11,28,4,0
2020-11-28 20:30:00,Brighton,1,Liverpool,1,2020,2021,2020,5,11,28,20,30
2020-11-28 23:00:00,Manchester City,5,Burnley,0,2020,2021,2020,5,11,28,23,0
2020-11-29 01:30:00,Everton,0,Leeds,1,2020,2021,2020,6,11,29,1,30
2020-11-29 04:00:00,West Brom,1,Sheffield Utd,0,2020,2021,2020,6,11,29,4,0
2020-11-29 22:00:00,Southampton,2,Manchester Utd,3,2020,2021,2020,6,11,29,22,0
2020-11-30 00:30:00,Chelsea,0,Tottenham,0,2020,2021,2020,0,11,30,0,30
2020-11-30 03:15:00,Arsenal,1,Wolves,2,2020,2021,2020,0,11,30,3,15
2020-12-01 01:30:00,Leicester,1,Fulham,2,2020,2021,2020,1,12,1,1,30
2020-12-01 04:00:00,West Ham,2,Aston Villa,1,2020,2021,2020,1,12,1,4,0
2020-12-05 20:30:00,Burnley,1,Everton,1,2020,2021,2020,5,12,5,20,30
2020-12-05 23:00:00,Manchester City,2,Fulham,0,2020,2021,2020,5,12,5,23,0
2020-12-06 01:30:00,West Ham,1,Manchester Utd,3,2020,2021,2020,6,12,6,1,30
2020-12-06 04:00:00,Chelsea,3,Leeds,1,2020,2021,2020,6,12,6,4,0
2020-12-06 20:00:00,West Brom,1,Crystal Palace,5,2020,2021,2020,6,12,6,20,0
2020-12-06 22:15:00,Sheffield Utd,1,Leicester,2,2020,2021,2020,6,12,6,22,15
2020-12-07 00:30:00,Tottenham,2,Arsenal,0,2020,2021,2020,0,12,7,0,30
2020-12-07 03:15:00,Liverpool,4,Wolves,0,2020,2021,2020,0,12,7,3,15
2020-12-08 04:00:00,Brighton,1,Southampton,2,2020,2021,2020,1,12,8,4,0
2020-12-12 04:00:00,Leeds,1,West Ham,2,2020,2021,2020,5,12,12,4,0
2020-12-12 20:30:00,Wolves,0,Aston Villa,1,2020,2021,2020,5,12,12,20,30
2020-12-12 23:00:00,Newcastle,2,West Brom,1,2020,2021,2020,5,12,12,23,0
2020-12-13 01:30:00,Manchester Utd,0,Manchester City,0,2020,2021,2020,6,12,13,1,30
2020-12-13 04:00:00,Everton,1,Chelsea,0,2020,2021,2020,6,12,13,4,0
2020-12-13 20:00:00,Southampton,3,Sheffield Utd,0,2020,2021,2020,6,12,13,20,0
2020-12-13 22:15:00,Crystal Palace,1,Tottenham,1,2020,2021,2020,6,12,13,22,15
2020-12-14 00:30:00,Fulham,1,Liverpool,1,2020,2021,2020,0,12,14,0,30
2020-12-14 03:15:00,Leicester,3,Brighton,0,2020,2021,2020,0,12,14,3,15
2020-12-14 03:15:00,Arsenal,0,Burnley,1,2020,2021,2020,0,12,14,3,15
2020-12-16 02:00:00,Wolves,2,Chelsea,1,2020,2021,2020,2,12,16,2,0
2020-12-16 04:00:00,Manchester City,1,West Brom,1,2020,2021,2020,2,12,16,4,0
2020-12-17 02:00:00,Arsenal,1,Southampton,1,2020,2021,2020,3,12,17,2,0
2020-12-17 02:00:00,Leicester,0,Everton,2,2020,2021,2020,3,12,17,2,0
2020-12-17 02:00:00,Leeds,5,Newcastle,2,2020,2021,2020,3,12,17,2,0
2020-12-17 04:00:00,West Ham,1,Crystal Palace,1,2020,2021,2020,3,12,17,4,0
2020-12-17 04:00:00,Liverpool,2,Tottenham,1,2020,2021,2020,3,12,17,4,0
2020-12-17 04:00:00,Fulham,0,Brighton,0,2020,2021,2020,3,12,17,4,0
2020-12-18 02:00:00,Aston Villa,0,Burnley,0,2020,2021,2020,4,12,18,2,0
2020-12-18 04:00:00,Sheffield Utd,2,Manchester Utd,3,2020,2021,2020,4,12,18,4,0
2020-12-19 20:30:00,Crystal Palace,0,Liverpool,7,2020,2021,2020,5,12,19,20,30
2020-12-19 23:00:00,Southampton,0,Manchester City,1,2020,2021,2020,5,12,19,23,0
2020-12-20 01:30:00,Everton,2,Arsenal,1,2020,2021,2020,6,12,20,1,30
2020-12-20 04:00:00,Newcastle,1,Fulham,1,2020,2021,2020,6,12,20,4,0
2020-12-20 20:00:00,Brighton,1,Sheffield Utd,1,2020,2021,2020,6,12,20,20,0
2020-12-20 22:15:00,Tottenham,0,Leicester,2,2020,2021,2020,6,12,20,22,15
2020-12-21 00:30:00,Manchester Utd,6,Leeds,2,2020,2021,2020,0,12,21,0,30
2020-12-21 03:15:00,West Brom,0,Aston Villa,3,2020,2021,2020,0,12,21,3,15
2020-12-22 01:30:00,Burnley,2,Wolves,1,2020,2021,2020,1,12,22,1,30
2020-12-22 04:00:00,Chelsea,3,West Ham,0,2020,2021,2020,1,12,22,4,0
2020-12-26 20:30:00,Leicester,2,Manchester Utd,2,2020,2021,2020,5,12,26,20,30
2020-12-26 23:00:00,Fulham,0,Southampton,0,2020,2021,2020,5,12,26,23,0
2020-12-26 23:00:00,Aston Villa,3,Crystal Palace,0,2020,2021,2020,5,12,26,23,0
2020-12-27 01:30:00,Arsenal,3,Chelsea,1,2020,2021,2020,6,12,27,1,30
2020-12-27 04:00:00,Sheffield Utd,0,Everton,1,2020,2021,2020,6,12,27,4,0
2020-12-27 04:00:00,Manchester City,2,Newcastle,0,2020,2021,2020,6,12,27,4,0
2020-12-27 20:00:00,Leeds,1,Burnley,0,2020,2021,2020,6,12,27,20,0
2020-12-27 22:15:00,West Ham,2,Brighton,2,2020,2021,2020,6,12,27,22,15
2020-12-28 00:30:00,Liverpool,1,West Brom,1,2020,2021,2020,0,12,28,0,30
2020-12-28 03:15:00,Wolves,1,Tottenham,1,2020,2021,2020,0,12,28,3,15
2020-12-28 23:00:00,Crystal Palace,1,Leicester,1,2020,2021,2020,0,12,28,23,0
2020-12-29 01:30:00,Chelsea,1,Aston Villa,1,2020,2021,2020,1,12,29,1,30
2020-12-30 02:00:00,West Brom,0,Leeds,5,2020,2021,2020,2,12,30,2,0
2020-12-30 02:00:00,Southampton,0,West Ham,0,2020,2021,2020,2,12,30,2,0
2020-12-30 02:00:00,Burnley,1,Sheffield Utd,0,2020,2021,2020,2,12,30,2,0
2020-12-30 02:00:00,Brighton,0,Arsenal,1,2020,2021,2020,2,12,30,2,0
2020-12-30 04:00:00,Manchester Utd,1,Wolves,0,2020,2021,2020,2,12,30,4,0
2020-12-31 04:00:00,Newcastle,0,Liverpool,0,2020,2021,2020,3,12,31,4,0
2021-01-02 01:30:00,Everton,0,West Ham,1,2020,2021,2021,5,1,2,1,30
2021-01-02 04:00:00,Manchester Utd,2,Aston Villa,1,2020,2021,2021,5,1,2,4,0
2021-01-02 20:30:00,Tottenham,3,Leeds,0,2020,2021,2021,5,1,2,20,30
2021-01-02 23:00:00,Crystal Palace,2,Sheffield Utd,0,2020,2021,2021,5,1,2,23,0
2021-01-03 01:30:00,Brighton,3,Wolves,3,2020,2021,2021,6,1,3,1,30
2021-01-03 04:00:00,West Brom,0,Arsenal,4,2020,2021,2021,6,1,3,4,0
2021-01-03 22:15:00,Newcastle,1,Leicester,2,2020,2021,2021,6,1,3,22,15
2021-01-04 00:30:00,Chelsea,1,Manchester City,3,2020,2021,2021,0,1,4,0,30
2021-01-05 04:00:00,Southampton,1,Liverpool,0,2020,2021,2021,1,1,5,4,0
2021-01-13 02:00:00,Sheffield Utd,1,Newcastle,0,2020,2021,2021,2,1,13,2,0
2021-01-13 04:15:00,Wolves,1,Everton,2,2020,2021,2021,2,1,13,4,15
2021-01-13 04:15:00,Burnley,0,Manchester Utd,1,2020,2021,2021,2,1,13,4,15
2021-01-14 02:00:00,Manchester City,1,Brighton,0,2020,2021,2021,3,1,14,2,0
2021-01-14 04:15:00,Tottenham,1,Fulham,1,2020,2021,2021,3,1,14,4,15
