time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2021-08-14 03:00:00,Brentford,2,Arsenal,0,2021,2022,2021,ENG,5,8,14,3,0
2021-08-14 19:30:00,Manchester Utd,5,Leeds,1,2021,2022,2021,ENG,5,8,14,19,30
2021-08-14 22:00:00,Leicester,1,Wolves,0,2021,2022,2021,ENG,5,8,14,22,0
2021-08-14 22:00:00,Burnley,1,Brighton,2,2021,2022,2021,ENG,5,8,14,22,0
2021-08-14 22:00:00,Watford,3,Aston Villa,2,2021,2022,2021,ENG,5,8,14,22,0
2021-08-14 22:00:00,Everton,3,Southampton,1,2021,2022,2021,ENG,5,8,14,22,0
2021-08-14 22:00:00,Chelsea,3,Crystal Palace,0,2021,2022,2021,ENG,5,8,14,22,0
2021-08-15 00:30:00,Norwich,0,Liverpool,3,2021,2022,2021,ENG,6,8,15,0,30
2021-08-15 21:00:00,Newcastle,2,West Ham,4,2021,2022,2021,ENG,6,8,15,21,0
2021-08-15 23:30:00,Tottenham,1,Manchester City,0,2021,2022,2021,ENG,6,8,15,23,30
2021-08-21 19:30:00,Liverpool,2,Burnley,0,2021,2022,2021,ENG,5,8,21,19,30
2021-08-21 22:00:00,Crystal Palace,0,Brentford,0,2021,2022,2021,ENG,5,8,21,22,0
2021-08-21 22:00:00,Aston Villa,2,Newcastle,0,2021,2022,2021,ENG,5,8,21,22,0
2021-08-21 22:00:00,Manchester City,5,Norwich,0,2021,2022,2021,ENG,5,8,21,22,0
2021-08-21 22:00:00,Leeds,2,Everton,2,2021,2022,2021,ENG,5,8,21,22,0
2021-08-22 00:30:00,Brighton,2,Watford,0,2021,2022,2021,ENG,6,8,22,0,30
2021-08-22 21:00:00,Wolves,0,Tottenham,1,2021,2022,2021,ENG,6,8,22,21,0
2021-08-22 21:00:00,Southampton,1,Manchester Utd,1,2021,2022,2021,ENG,6,8,22,21,0
2021-08-22 23:30:00,Arsenal,0,Chelsea,2,2021,2022,2021,ENG,6,8,22,23,30
2021-08-24 03:00:00,West Ham,4,Leicester,1,2021,2022,2021,ENG,1,8,24,3,0
2021-08-28 19:30:00,Manchester City,5,Arsenal,0,2021,2022,2021,ENG,5,8,28,19,30
2021-08-28 22:00:00,Brighton,0,Everton,2,2021,2022,2021,ENG,5,8,28,22,0
2021-08-28 22:00:00,Aston Villa,1,Brentford,1,2021,2022,2021,ENG,5,8,28,22,0
2021-08-28 22:00:00,Norwich,1,Leicester,2,2021,2022,2021,ENG,5,8,28,22,0
2021-08-28 22:00:00,Newcastle,2,Southampton,2,2021,2022,2021,ENG,5,8,28,22,0
2021-08-28 22:00:00,West Ham,2,Crystal Palace,2,2021,2022,2021,ENG,5,8,28,22,0
2021-08-29 00:30:00,Liverpool,1,Chelsea,1,2021,2022,2021,ENG,6,8,29,0,30
2021-08-29 21:00:00,Burnley,1,Leeds,1,2021,2022,2021,ENG,6,8,29,21,0
