time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2022-08-06 03:00:00,Crystal Palace,0,Arsenal,2,2022,2023,2022
2022-08-06 19:30:00,Fulham,2,Liverpool,2,2022,2023,2022
2022-08-06 22:00:00,Newcastle,2,Nottingham,0,2022,2023,2022
2022-08-06 22:00:00,Bournemouth,2,Aston Villa,0,2022,2023,2022
2022-08-06 22:00:00,Tottenham,4,Southampton,1,2022,2023,2022
2022-08-06 22:00:00,Leeds,2,Wolves,1,2022,2023,2022
2022-08-07 00:30:00,Everton,0,Chelsea,1,2022,2023,2022
2022-08-07 21:00:00,Leicester,2,Brentford,2,2022,2023,2022
2022-08-07 21:00:00,Manchester Utd,1,Brighton,2,2022,2023,2022
2022-08-07 23:30:00,West Ham,0,Manchester City,2,2022,2023,2022
2022-08-13 19:30:00,Aston Villa,2,Everton,1,2022,2023,2022
2022-08-13 22:00:00,Brighton,0,Newcastle,0,2022,2023,2022
2022-08-13 22:00:00,Arsenal,4,Leicester,2,2022,2023,2022
2022-08-13 22:00:00,Southampton,2,Leeds,2,2022,2023,2022
2022-08-13 22:00:00,Wolves,0,Fulham,0,2022,2023,2022
2022-08-13 22:00:00,Manchester City,4,Bournemouth,0,2022,2023,2022
2022-08-14 00:30:00,Brentford,4,Manchester Utd,0,2022,2023,2022
2022-08-14 21:00:00,Nottingham,1,West Ham,0,2022,2023,2022
2022-08-14 23:30:00,Chelsea,2,Tottenham,2,2022,2023,2022
2022-08-16 03:00:00,Liverpool,1,Crystal Palace,1,2022,2023,2022
2022-08-20 19:30:00,Tottenham,1,Wolves,0,2022,2023,2022
2022-08-20 22:00:00,Crystal Palace,3,Aston Villa,1,2022,2023,2022
2022-08-20 22:00:00,Leicester,1,Southampton,2,2022,2023,2022
2022-08-20 22:00:00,Fulham,3,Brentford,2,2022,2023,2022
2022-08-20 22:00:00,Everton,1,Nottingham,1,2022,2023,2022
2022-08-21 00:30:00,Bournemouth,0,Arsenal,3,2022,2023,2022
2022-08-21 21:00:00,Leeds,3,Chelsea,0,2022,2023,2022
2022-08-21 21:00:00,West Ham,0,Brighton,2,2022,2023,2022
2022-08-21 23:30:00,Newcastle,3,Manchester City,3,2022,2023,2022
2022-08-23 03:00:00,Manchester Utd,2,Liverpool,1,2022,2023,2022
2022-08-27 19:30:00,Southampton,0,Manchester Utd,1,2022,2023,2022
2022-08-27 22:00:00,Manchester City,4,Crystal Palace,2,2022,2023,2022
2022-08-27 22:00:00,Liverpool,9,Bournemouth,0,2022,2023,2022
2022-08-27 22:00:00,Chelsea,2,Leicester,1,2022,2023,2022
2022-08-27 22:00:00,Brighton,1,Leeds,0,2022,2023,2022
2022-08-27 22:00:00,Brentford,1,Everton,1,2022,2023,2022
2022-08-28 00:30:00,Arsenal,2,Fulham,1,2022,2023,2022
2022-08-28 21:00:00,Wolves,1,Newcastle,1,2022,2023,2022
2022-08-28 21:00:00,Aston Villa,0,West Ham,1,2022,2023,2022
2022-08-28 23:30:00,Nottingham,0,Tottenham,2,2022,2023,2022
2022-08-31 02:30:00,Fulham,2,Brighton,1,2022,2023,2022
