time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,weekday,month,day,hour,minute
2021-08-07 03:00:00,Monaco,1,Nantes,1,2021,2022,2021,5,8,7,3,0
2021-08-07 23:00:00,Lyon,1,Brest,1,2021,2022,2021,5,8,7,23,0
2021-08-08 03:00:00,Troyes,1,PSG,2,2021,2022,2021,6,8,8,3,0
2021-08-08 19:00:00,Rennes,1,Lens,1,2021,2022,2021,6,8,8,19,0
2021-08-08 21:00:00,St Etienne,1,Lorient,1,2021,2022,2021,6,8,8,21,0
2021-08-08 21:00:00,Bordeaux,0,Clermont,2,2021,2022,2021,6,8,8,21,0
2021-08-08 21:00:00,Strasbourg,0,Angers,2,2021,2022,2021,6,8,8,21,0
2021-08-08 21:00:00,Nice,0,Reims,0,2021,2022,2021,6,8,8,21,0
2021-08-08 23:00:00,Metz,3,Lille,3,2021,2022,2021,6,8,8,23,0
2021-08-09 02:45:00,Montpellier,2,Marseille,3,2021,2022,2021,0,8,9,2,45
2021-08-14 03:00:00,Lorient,1,Monaco,0,2021,2022,2021,5,8,14,3,0
2021-08-14 23:00:00,Lille,0,Nice,4,2021,2022,2021,5,8,14,23,0
2021-08-15 03:00:00,PSG,4,Strasbourg,2,2021,2022,2021,6,8,15,3,0
2021-08-15 19:00:00,Angers,3,Lyon,0,2021,2022,2021,6,8,15,19,0
2021-08-15 21:00:00,Brest,1,Rennes,1,2021,2022,2021,6,8,15,21,0
2021-08-15 21:00:00,Clermont,2,Troyes,0,2021,2022,2021,6,8,15,21,0
2021-08-15 21:00:00,Reims,3,Montpellier,3,2021,2022,2021,6,8,15,21,0
2021-08-15 21:00:00,Nantes,2,Metz,0,2021,2022,2021,6,8,15,21,0
2021-08-15 23:00:00,Lens,2,St Etienne,2,2021,2022,2021,6,8,15,23,0
2021-08-16 02:45:00,Marseille,2,Bordeaux,2,2021,2022,2021,0,8,16,2,45
2021-08-21 03:00:00,Brest,2,PSG,4,2021,2022,2021,5,8,21,3,0
2021-08-21 23:00:00,Monaco,0,Lens,2,2021,2022,2021,5,8,21,23,0
2021-08-22 03:00:00,St Etienne,1,Lille,1,2021,2022,2021,6,8,22,3,0
2021-08-22 19:00:00,Lyon,3,Clermont,3,2021,2022,2021,6,8,22,19,0
2021-08-22 21:00:00,Bordeaux,1,Angers,1,2021,2022,2021,6,8,22,21,0
2021-08-22 21:00:00,Metz,1,Reims,1,2021,2022,2021,6,8,22,21,0
2021-08-22 21:00:00,Strasbourg,1,Troyes,1,2021,2022,2021,6,8,22,21,0
2021-08-22 21:00:00,Montpellier,3,Lorient,1,2021,2022,2021,6,8,22,21,0
2021-08-22 23:00:00,Rennes,1,Nantes,0,2021,2022,2021,6,8,22,23,0
2021-08-28 03:00:00,Nantes,0,Lyon,1,2021,2022,2021,5,8,28,3,0
2021-08-28 23:00:00,Nice,4,Bordeaux,0,2021,2022,2021,5,8,28,23,0
2021-08-29 03:00:00,Marseille,3,St Etienne,1,2021,2022,2021,6,8,29,3,0
2021-08-29 19:00:00,Troyes,1,Monaco,2,2021,2022,2021,6,8,29,19,0
2021-08-29 21:00:00,Strasbourg,3,Brest,1,2021,2022,2021,6,8,29,21,0
2021-08-29 21:00:00,Lens,2,Lorient,2,2021,2022,2021,6,8,29,21,0
2021-08-29 21:00:00,Clermont,2,Metz,2,2021,2022,2021,6,8,29,21,0
2021-08-29 21:00:00,Angers,2,Rennes,0,2021,2022,2021,6,8,29,21,0
2021-08-29 23:00:00,Lille,2,Montpellier,1,2021,2022,2021,6,8,29,23,0
2021-08-30 02:45:00,Reims,0,PSG,2,2021,2022,2021,0,8,30,2,45
2021-09-11 03:00:00,Lorient,2,Lille,1,2021,2022,2021,5,9,11,3,0
2021-09-11 23:00:00,PSG,4,Clermont,0,2021,2022,2021,5,9,11,23,0
2021-09-12 03:00:00,Monaco,0,Marseille,2,2021,2022,2021,6,9,12,3,0
