time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2023-08-12 03:00:00,Nice,1,Lille,1,2023,2024,2023,FRA,5,8,12,3,0
2023-08-12 23:00:00,Marseille,2,Reims,1,2023,2024,2023,FRA,5,8,12,23,0
2023-08-13 03:00:00,PSG,0,Lorient,0,2023,2024,2023,FRA,6,8,13,3,0
2023-08-13 19:00:00,Brest,3,Lens,2,2023,2024,2023,FRA,6,8,13,19,0
2023-08-13 21:00:00,Montpellier,2,Le Havre,2,2023,2024,2023,FRA,6,8,13,21,0
2023-08-13 21:00:00,Nantes,1,Toulouse,2,2023,2024,2023,FRA,6,8,13,21,0
2023-08-13 21:00:00,Clermont,2,Monaco,4,2023,2024,2023,FRA,6,8,13,21,0
2023-08-13 23:05:00,Rennes,5,Metz,1,2023,2024,2023,FRA,6,8,13,23,5
2023-08-14 02:45:00,Strasbourg,2,Lyon,1,2023,2024,2023,FRA,0,8,14,2,45
2023-08-19 03:00:00,Metz,2,Marseille,2,2023,2024,2023,FRA,5,8,19,3,0
2023-08-20 01:00:00,Lyon,1,Montpellier,4,2023,2024,2023,FRA,6,8,20,1,0
2023-08-20 03:00:00,Toulouse,1,PSG,1,2023,2024,2023,FRA,6,8,20,3,0
2023-08-20 19:00:00,Lille,2,Nantes,0,2023,2024,2023,FRA,6,8,20,19,0
2023-08-20 21:00:00,Reims,2,Clermont,0,2023,2024,2023,FRA,6,8,20,21,0
2023-08-20 21:00:00,Lorient,1,Nice,1,2023,2024,2023,FRA,6,8,20,21,0
2023-08-20 21:00:00,Le Havre,1,Brest,2,2023,2024,2023,FRA,6,8,20,21,0
2023-08-21 01:00:00,Monaco,3,Strasbourg,0,2023,2024,2023,FRA,0,8,21,1,0
2023-08-21 02:45:00,Lens,1,Rennes,1,2023,2024,2023,FRA,0,8,21,2,45
2023-08-26 03:00:00,Nantes,3,Monaco,3,2023,2024,2023,FRA,5,8,26,3,0
2023-08-27 01:00:00,Marseille,2,Brest,0,2023,2024,2023,FRA,6,8,27,1,0
2023-08-27 03:00:00,PSG,3,Lens,1,2023,2024,2023,FRA,6,8,27,3,0
2023-08-27 19:00:00,Rennes,2,Le Havre,2,2023,2024,2023,FRA,6,8,27,19,0
2023-08-27 21:00:00,Strasbourg,2,Toulouse,0,2023,2024,2023,FRA,6,8,27,21,0
2023-08-27 21:00:00,Montpellier,1,Reims,3,2023,2024,2023,FRA,6,8,27,21,0
2023-08-27 21:00:00,Clermont,0,Metz,1,2023,2024,2023,FRA,6,8,27,21,0
2023-08-27 23:05:00,Lorient,4,Lille,1,2023,2024,2023,FRA,6,8,27,23,5
2023-08-28 02:45:00,Nice,0,Lyon,0,2023,2024,2023,FRA,0,8,28,2,45
2023-09-02 03:00:00,Nantes,1,Marseille,1,2023,2024,2023,FRA,5,9,2,3,0
2023-09-02 23:00:00,Brest,0,Rennes,0,2023,2024,2023,FRA,5,9,2,23,0
2023-09-03 03:00:00,Monaco,3,Lens,0,2023,2024,2023,FRA,6,9,3,3,0
2023-09-03 19:00:00,Toulouse,2,Clermont,2,2023,2024,2023,FRA,6,9,3,19,0
2023-09-03 21:00:00,Le Havre,3,Lorient,0,2023,2024,2023,FRA,6,9,3,21,0
2023-09-03 21:00:00,Lille,1,Montpellier,0,2023,2024,2023,FRA,6,9,3,21,0
2023-09-03 21:00:00,Metz,2,Reims,2,2023,2024,2023,FRA,6,9,3,21,0
2023-09-03 23:05:00,Nice,2,Strasbourg,0,2023,2024,2023,FRA,6,9,3,23,5
2023-09-04 02:45:00,Lyon,1,PSG,4,2023,2024,2023,FRA,0,9,4,2,45
2023-09-16 03:00:00,PSG,2,Nice,3,2023,2024,2023,FRA,5,9,16,3,0
2023-09-16 23:00:00,Rennes,2,Lille,2,2023,2024,2023,FRA,5,9,16,23,0
2023-09-17 03:00:00,Lens,0,Metz,1,2023,2024,2023,FRA,6,9,17,3,0
2023-09-17 19:00:00,Lorient,2,Monaco,2,2023,2024,2023,FRA,6,9,17,19,0
2023-09-17 21:00:00,Strasbourg,2,Montpellier,2,2023,2024,2023,FRA,6,9,17,21,0
2023-09-17 21:00:00,Reims,1,Brest,2,2023,2024,2023,FRA,6,9,17,21,0
2023-09-17 21:00:00,Clermont,0,Nantes,1,2023,2024,2023,FRA,6,9,17,21,0
2023-09-17 23:05:00,Marseille,0,Toulouse,0,2023,2024,2023,FRA,6,9,17,23,5
2023-09-18 02:45:00,Lyon,0,Le Havre,0,2023,2024,2023,FRA,0,9,18,2,45
2023-09-23 03:00:00,Monaco,0,Nice,1,2023,2024,2023,FRA,5,9,23,3,0
2023-09-23 23:00:00,Nantes,5,Lorient,3,2023,2024,2023,FRA,5,9,23,23,0
2023-09-24 03:00:00,Brest,1,Lyon,0,2023,2024,2023,FRA,6,9,24,3,0
2023-09-24 19:00:00,Metz,0,Strasbourg,1,2023,2024,2023,FRA,6,9,24,19,0
2023-09-24 21:00:00,Lens,2,Toulouse,1,2023,2024,2023,FRA,6,9,24,21,0
2023-09-24 21:00:00,Le Havre,2,Clermont,1,2023,2024,2023,FRA,6,9,24,21,0
2023-09-24 23:05:00,Montpellier,0,Rennes,0,2023,2024,2023,FRA,6,9,24,23,5
2023-09-25 02:45:00,PSG,4,Marseille,0,2023,2024,2023,FRA,0,9,25,2,45
2023-09-27 03:00:00,Lille,1,Reims,2,2023,2024,2023,FRA,2,9,27,3,0
2023-09-30 03:00:00,Strasbourg,0,Lens,1,2023,2024,2023,FRA,5,9,30,3,0
2023-09-30 23:00:00,Clermont,0,PSG,0,2023,2024,2023,FRA,5,9,30,23,0
2023-10-01 03:00:00,Monaco,3,Marseille,2,2023,2024,2023,FRA,6,10,1,3,0
2023-10-01 19:00:00,Reims,2,Lyon,0,2023,2024,2023,FRA,6,10,1,19,0
2023-10-01 21:00:00,Le Havre,0,Lille,2,2023,2024,2023,FRA,6,10,1,21,0
2023-10-01 21:00:00,Toulouse,3,Metz,0,2023,2024,2023,FRA,6,10,1,21,0
2023-10-01 21:00:00,Nice,0,Brest,0,2023,2024,2023,FRA,6,10,1,21,0
2023-10-01 23:05:00,Lorient,0,Montpellier,3,2023,2024,2023,FRA,6,10,1,23,5
2023-10-02 02:45:00,Rennes,3,Nantes,1,2023,2024,2023,FRA,0,10,2,2,45
2023-10-07 03:00:00,Strasbourg,1,Nantes,2,2023,2024,2023,FRA,5,10,7,3,0
2023-10-07 23:00:00,Metz,0,Nice,1,2023,2024,2023,FRA,5,10,7,23,0
2023-10-08 03:00:00,Reims,1,Monaco,3,2023,2024,2023,FRA,6,10,8,3,0
