time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2020-09-19 02:30:00,Bayern Munich,8,Schalke,0,2020,2021,2020
2020-09-19 21:30:00,Eintracht Frankfurt,1,Arminia Bielefeld,1,2020,2021,2020
2020-09-19 21:30:00,FC Koln,2,Hoffenheim,3,2020,2021,2020
2020-09-19 21:30:00,Werder Bremen,1,Hertha Berlin,4,2020,2021,2020
2020-09-19 21:30:00,Union Berlin,1,Augsburg,3,2020,2021,2020
2020-09-19 21:30:00,Stuttgart,2,Freiburg,3,2020,2021,2020
2020-09-20 00:30:00,Dortmund,3,B. Monchengladbach,0,2020,2021,2020
2020-09-20 21:30:00,RB Leipzig,3,Mainz,1,2020,2021,2020
2020-09-21 00:00:00,Wolfsburg,0,Bayer Leverkusen,0,2020,2021,2020
2020-09-26 02:30:00,Hertha Berlin,1,Eintracht Frankfurt,3,2020,2021,2020
2020-09-26 21:30:00,Mainz,1,Stuttgart,4,2020,2021,2020
2020-09-26 21:30:00,Bayer Leverkusen,1,RB Leipzig,1,2020,2021,2020
2020-09-26 21:30:00,B. Monchengladbach,1,Union Berlin,1,2020,2021,2020
2020-09-26 21:30:00,Augsburg,2,Dortmund,0,2020,2021,2020
2020-09-26 21:30:00,Arminia Bielefeld,1,FC Koln,0,2020,2021,2020
2020-09-27 00:30:00,Schalke,1,Werder Bremen,3,2020,2021,2020
2020-09-27 21:30:00,Hoffenheim,4,Bayern Munich,1,2020,2021,2020
2020-09-28 00:00:00,Freiburg,1,Wolfsburg,1,2020,2021,2020
2020-10-03 02:30:00,Union Berlin,4,Mainz,0,2020,2021,2020
2020-10-03 21:30:00,Dortmund,4,Freiburg,0,2020,2021,2020
2020-10-03 21:30:00,Eintracht Frankfurt,2,Hoffenheim,1,2020,2021,2020
2020-10-03 21:30:00,Stuttgart,1,Bayer Leverkusen,1,2020,2021,2020
2020-10-03 21:30:00,FC Koln,1,B. Monchengladbach,3,2020,2021,2020
2020-10-03 21:30:00,Werder Bremen,1,Arminia Bielefeld,0,2020,2021,2020
2020-10-04 00:30:00,RB Leipzig,4,Schalke,0,2020,2021,2020
2020-10-04 21:30:00,Wolfsburg,0,Augsburg,0,2020,2021,2020
2020-10-05 00:00:00,Bayern Munich,4,Hertha Berlin,3,2020,2021,2020
2020-10-17 21:30:00,Mainz,0,Bayer Leverkusen,1,2020,2021,2020
2020-10-17 21:30:00,Hoffenheim,0,Dortmund,1,2020,2021,2020
2020-10-17 21:30:00,Hertha Berlin,0,Stuttgart,2,2020,2021,2020
2020-10-17 21:30:00,Augsburg,0,RB Leipzig,2,2020,2021,2020
2020-10-17 21:30:00,Freiburg,1,Werder Bremen,1,2020,2021,2020
2020-10-18 00:30:00,Arminia Bielefeld,1,Bayern Munich,4,2020,2021,2020
2020-10-18 02:30:00,B. Monchengladbach,1,Wolfsburg,1,2020,2021,2020
2020-10-18 21:30:00,FC Koln,1,Eintracht Frankfurt,1,2020,2021,2020
2020-10-19 00:00:00,Schalke,1,Union Berlin,1,2020,2021,2020
2020-10-24 02:30:00,Stuttgart,1,FC Koln,1,2020,2021,2020
2020-10-24 21:30:00,Bayern Munich,5,Eintracht Frankfurt,0,2020,2021,2020
2020-10-24 21:30:00,Mainz,2,B. Monchengladbach,3,2020,2021,2020
2020-10-24 21:30:00,Union Berlin,1,Freiburg,1,2020,2021,2020
2020-10-24 21:30:00,RB Leipzig,2,Hertha Berlin,1,2020,2021,2020
2020-10-25 00:30:00,Dortmund,3,Schalke,0,2020,2021,2020
2020-10-25 22:30:00,Wolfsburg,2,Arminia Bielefeld,1,2020,2021,2020
2020-10-26 01:00:00,Werder Bremen,1,Hoffenheim,1,2020,2021,2020
2020-10-27 03:30:00,Bayer Leverkusen,3,Augsburg,1,2020,2021,2020
2020-10-31 03:30:00,Schalke,1,Stuttgart,1,2020,2021,2020
2020-10-31 22:30:00,FC Koln,1,Bayern Munich,2,2020,2021,2020
2020-10-31 22:30:00,Eintracht Frankfurt,1,Werder Bremen,1,2020,2021,2020
2020-10-31 22:30:00,Arminia Bielefeld,0,Dortmund,2,2020,2021,2020
2020-10-31 22:30:00,Augsburg,3,Mainz,1,2020,2021,2020
2020-11-01 01:30:00,B. Monchengladbach,1,RB Leipzig,0,2020,2021,2020
2020-11-01 22:30:00,Freiburg,2,Bayer Leverkusen,4,2020,2021,2020
2020-11-02 01:00:00,Hertha Berlin,1,Wolfsburg,1,2020,2021,2020
2020-11-03 03:30:00,Hoffenheim,1,Union Berlin,3,2020,2021,2020
2020-11-07 03:30:00,Werder Bremen,1,FC Koln,1,2020,2021,2020
2020-11-07 22:30:00,Mainz,2,Schalke,2,2020,2021,2020
2020-11-07 22:30:00,Augsburg,0,Hertha Berlin,3,2020,2021,2020
2020-11-07 22:30:00,RB Leipzig,3,Freiburg,0,2020,2021,2020
2020-11-07 22:30:00,Union Berlin,5,Arminia Bielefeld,0,2020,2021,2020
2020-11-07 22:30:00,Stuttgart,2,Eintracht Frankfurt,2,2020,2021,2020
2020-11-08 01:30:00,Dortmund,2,Bayern Munich,3,2020,2021,2020
2020-11-08 22:30:00,Wolfsburg,2,Hoffenheim,1,2020,2021,2020
2020-11-09 01:00:00,Bayer Leverkusen,4,B. Monchengladbach,3,2020,2021,2020
2020-11-21 22:30:00,Schalke,0,Wolfsburg,2,2020,2021,2020
2020-11-21 22:30:00,Hoffenheim,3,Stuttgart,3,2020,2021,2020
2020-11-21 22:30:00,Bayern Munich,1,Werder Bremen,1,2020,2021,2020
2020-11-21 22:30:00,B. Monchengladbach,1,Augsburg,1,2020,2021,2020
2020-11-21 22:30:00,Arminia Bielefeld,1,Bayer Leverkusen,2,2020,2021,2020
2020-11-22 01:30:00,Eintracht Frankfurt,1,RB Leipzig,1,2020,2021,2020
2020-11-22 03:30:00,Hertha Berlin,2,Dortmund,5,2020,2021,2020
2020-11-22 22:30:00,Freiburg,1,Mainz,3,2020,2021,2020
2020-11-23 01:00:00,FC Koln,1,Union Berlin,2,2020,2021,2020
2020-11-28 03:30:00,Wolfsburg,5,Werder Bremen,3,2020,2021,2020
2020-11-28 22:30:00,Dortmund,1,FC Koln,2,2020,2021,2020
2020-11-28 22:30:00,Augsburg,1,Freiburg,1,2020,2021,2020
2020-11-28 22:30:00,Stuttgart,1,Bayern Munich,3,2020,2021,2020
2020-11-28 22:30:00,RB Leipzig,2,Arminia Bielefeld,1,2020,2021,2020
2020-11-28 22:30:00,Union Berlin,3,Eintracht Frankfurt,3,2020,2021,2020
2020-11-29 01:30:00,B. Monchengladbach,4,Schalke,1,2020,2021,2020
2020-11-29 22:30:00,Bayer Leverkusen,0,Hertha Berlin,0,2020,2021,2020
2020-11-30 01:00:00,Mainz,1,Hoffenheim,1,2020,2021,2020
2020-12-05 03:30:00,Hertha Berlin,3,Union Berlin,1,2020,2021,2020
2020-12-05 22:30:00,FC Koln,2,Wolfsburg,2,2020,2021,2020
2020-12-05 22:30:00,Eintracht Frankfurt,1,Dortmund,1,2020,2021,2020
2020-12-05 22:30:00,Arminia Bielefeld,2,Mainz,1,2020,2021,2020
2020-12-05 22:30:00,Freiburg,2,B. Monchengladbach,2,2020,2021,2020
2020-12-06 01:30:00,Bayern Munich,3,RB Leipzig,3,2020,2021,2020
