time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2023-08-19 02:30:00,Werder Bremen,0,Bayern Munich,4,2023,2024,2023,GER,5,8,19,2,30
2023-08-19 21:30:00,Wolfsburg,2,Heidenheim,0,2023,2024,2023,GER,5,8,19,21,30
2023-08-19 21:30:00,Augsburg,4,B. Monchengladbach,4,2023,2024,2023,GER,5,8,19,21,30
2023-08-19 21:30:00,Stuttgart,5,Bochum,0,2023,2024,2023,GER,5,8,19,21,30
2023-08-19 21:30:00,Bayer Leverkusen,3,RB Leipzig,2,2023,2024,2023,GER,5,8,19,21,30
2023-08-19 21:30:00,Hoffenheim,1,Freiburg,2,2023,2024,2023,GER,5,8,19,21,30
2023-08-20 00:30:00,Dortmund,1,FC Koln,0,2023,2024,2023,GER,6,8,20,0,30
2023-08-20 21:30:00,Union Berlin,4,Mainz,1,2023,2024,2023,GER,6,8,20,21,30
2023-08-20 23:30:00,Eintracht Frankfurt,1,Darmstadt,0,2023,2024,2023,GER,6,8,20,23,30
2023-08-26 02:30:00,RB Leipzig,5,Stuttgart,1,2023,2024,2023,GER,5,8,26,2,30
2023-08-26 21:30:00,Heidenheim,2,Hoffenheim,3,2023,2024,2023,GER,5,8,26,21,30
2023-08-26 21:30:00,Freiburg,1,Werder Bremen,0,2023,2024,2023,GER,5,8,26,21,30
2023-08-26 21:30:00,FC Koln,1,Wolfsburg,2,2023,2024,2023,GER,5,8,26,21,30
2023-08-26 21:30:00,Darmstadt,1,Union Berlin,4,2023,2024,2023,GER,5,8,26,21,30
2023-08-26 21:30:00,Bochum,1,Dortmund,1,2023,2024,2023,GER,5,8,26,21,30
2023-08-27 00:30:00,B. Monchengladbach,0,Bayer Leverkusen,3,2023,2024,2023,GER,6,8,27,0,30
2023-08-27 21:30:00,Mainz,1,Eintracht Frankfurt,1,2023,2024,2023,GER,6,8,27,21,30
2023-08-27 23:30:00,Bayern Munich,3,Augsburg,1,2023,2024,2023,GER,6,8,27,23,30
2023-09-02 02:30:00,Dortmund,2,Heidenheim,2,2023,2024,2023,GER,5,9,2,2,30
2023-09-02 21:30:00,Augsburg,2,Bochum,2,2023,2024,2023,GER,5,9,2,21,30
2023-09-02 21:30:00,Werder Bremen,4,Mainz,0,2023,2024,2023,GER,5,9,2,21,30
2023-09-02 21:30:00,Hoffenheim,3,Wolfsburg,1,2023,2024,2023,GER,5,9,2,21,30
2023-09-02 21:30:00,Stuttgart,5,Freiburg,0,2023,2024,2023,GER,5,9,2,21,30
2023-09-02 21:30:00,Bayer Leverkusen,5,Darmstadt,1,2023,2024,2023,GER,5,9,2,21,30
2023-09-03 00:30:00,B. Monchengladbach,1,Bayern Munich,2,2023,2024,2023,GER,6,9,3,0,30
2023-09-03 21:30:00,Eintracht Frankfurt,1,FC Koln,1,2023,2024,2023,GER,6,9,3,21,30
2023-09-03 23:30:00,Union Berlin,0,RB Leipzig,3,2023,2024,2023,GER,6,9,3,23,30
2023-09-16 02:30:00,Bayern Munich,2,Bayer Leverkusen,2,2023,2024,2023,GER,5,9,16,2,30
2023-09-16 21:30:00,FC Koln,1,Hoffenheim,3,2023,2024,2023,GER,5,9,16,21,30
2023-09-16 21:30:00,Freiburg,2,Dortmund,4,2023,2024,2023,GER,5,9,16,21,30
2023-09-16 21:30:00,Mainz,1,Stuttgart,3,2023,2024,2023,GER,5,9,16,21,30
2023-09-16 21:30:00,RB Leipzig,3,Augsburg,0,2023,2024,2023,GER,5,9,16,21,30
2023-09-16 21:30:00,Wolfsburg,2,Union Berlin,1,2023,2024,2023,GER,5,9,16,21,30
2023-09-17 00:30:00,Bochum,1,Eintracht Frankfurt,1,2023,2024,2023,GER,6,9,17,0,30
2023-09-17 21:30:00,Heidenheim,4,Werder Bremen,2,2023,2024,2023,GER,6,9,17,21,30
2023-09-17 23:30:00,Darmstadt,3,B. Monchengladbach,3,2023,2024,2023,GER,6,9,17,23,30
2023-09-23 02:30:00,Stuttgart,3,Darmstadt,1,2023,2024,2023,GER,5,9,23,2,30
2023-09-23 21:30:00,Union Berlin,0,Hoffenheim,2,2023,2024,2023,GER,5,9,23,21,30
2023-09-23 21:30:00,Dortmund,1,Wolfsburg,0,2023,2024,2023,GER,5,9,23,21,30
2023-09-23 21:30:00,Bayern Munich,7,Bochum,0,2023,2024,2023,GER,5,9,23,21,30
2023-09-23 21:30:00,B. Monchengladbach,0,RB Leipzig,1,2023,2024,2023,GER,5,9,23,21,30
2023-09-23 21:30:00,Augsburg,2,Mainz,1,2023,2024,2023,GER,5,9,23,21,30
2023-09-24 00:30:00,Werder Bremen,2,FC Koln,1,2023,2024,2023,GER,6,9,24,0,30
2023-09-24 21:30:00,Bayer Leverkusen,4,Heidenheim,1,2023,2024,2023,GER,6,9,24,21,30
2023-09-24 23:30:00,Eintracht Frankfurt,0,Freiburg,0,2023,2024,2023,GER,6,9,24,23,30
2023-09-30 02:30:00,Hoffenheim,1,Dortmund,3,2023,2024,2023,GER,5,9,30,2,30
2023-09-30 21:30:00,Mainz,0,Bayer Leverkusen,3,2023,2024,2023,GER,5,9,30,21,30
2023-09-30 21:30:00,Heidenheim,1,Union Berlin,0,2023,2024,2023,GER,5,9,30,21,30
2023-09-30 21:30:00,FC Koln,0,Stuttgart,2,2023,2024,2023,GER,5,9,30,21,30
2023-09-30 21:30:00,Bochum,1,B. Monchengladbach,3,2023,2024,2023,GER,5,9,30,21,30
2023-09-30 21:30:00,Wolfsburg,2,Eintracht Frankfurt,0,2023,2024,2023,GER,5,9,30,21,30
2023-10-01 00:30:00,RB Leipzig,2,Bayern Munich,2,2023,2024,2023,GER,6,10,1,0,30
