time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2022-06-03 02:30:00,Sassuolo,1,Fiorentina,3,2022,2023,2022
2022-06-04 00:30:00,Torino,0,Inter,1,2022,2023,2022
2022-06-04 03:00:00,Cremonese,2,Salernitana,0,2022,2023,2022
2022-06-04 03:00:00,Empoli,0,Lazio,2,2022,2023,2022
2022-06-05 00:30:00,Napoli,2,Sampdoria,0,2022,2023,2022
2022-06-05 03:00:00,AC Milan,3,Verona,1,2022,2023,2022
2022-06-05 03:00:00,AS Roma,2,Spezia,1,2022,2023,2022
2022-06-05 03:00:00,Atalanta,5,Monza,2,2022,2023,2022
2022-06-05 03:00:00,Lecce,2,Bologna,3,2022,2023,2022
2022-06-05 03:00:00,Udinese,0,Juventus,1,2022,2023,2022
2022-06-12 02:45:00,Spezia,1,Verona,3,2022,2023,2022
2022-08-14 00:30:00,AC Milan,4,Udinese,2,2022,2023,2022
2022-08-14 00:30:00,Sampdoria,0,Atalanta,2,2022,2023,2022
2022-08-14 02:45:00,Monza,1,Torino,2,2022,2023,2022
2022-08-14 02:45:00,Lecce,1,Inter,2,2022,2023,2022
2022-08-15 00:30:00,Lazio,2,Bologna,1,2022,2023,2022
2022-08-15 00:30:00,Fiorentina,3,Cremonese,2,2022,2023,2022
2022-08-15 02:45:00,Spezia,1,Empoli,0,2022,2023,2022
2022-08-15 02:45:00,Salernitana,0,AS Roma,1,2022,2023,2022
2022-08-16 00:30:00,Verona,2,Napoli,5,2022,2023,2022
2022-08-16 02:45:00,Juventus,3,Sassuolo,0,2022,2023,2022
2022-08-21 00:30:00,Torino,0,Lazio,0,2022,2023,2022
2022-08-21 00:30:00,Udinese,0,Salernitana,0,2022,2023,2022
2022-08-21 02:45:00,Sassuolo,1,Lecce,0,2022,2023,2022
2022-08-21 02:45:00,Inter,3,Spezia,0,2022,2023,2022
2022-08-22 00:30:00,Napoli,4,Monza,0,2022,2023,2022
2022-08-22 00:30:00,Empoli,0,Fiorentina,0,2022,2023,2022
2022-08-22 02:45:00,Bologna,1,Verona,1,2022,2023,2022
2022-08-22 02:45:00,Atalanta,1,AC Milan,1,2022,2023,2022
2022-08-23 00:30:00,AS Roma,1,Cremonese,0,2022,2023,2022
2022-08-23 02:45:00,Sampdoria,0,Juventus,0,2022,2023,2022
2022-08-27 00:30:00,Monza,1,Udinese,2,2022,2023,2022
2022-08-27 02:45:00,Lazio,3,Inter,1,2022,2023,2022
2022-08-28 00:30:00,Juventus,1,AS Roma,1,2022,2023,2022
2022-08-28 00:30:00,Cremonese,1,Torino,2,2022,2023,2022
2022-08-28 02:45:00,Spezia,2,Sassuolo,2,2022,2023,2022
2022-08-28 02:45:00,AC Milan,2,Bologna,0,2022,2023,2022
2022-08-29 00:30:00,Verona,0,Atalanta,1,2022,2023,2022
2022-08-29 00:30:00,Salernitana,4,Sampdoria,0,2022,2023,2022
2022-08-29 02:45:00,Lecce,1,Empoli,1,2022,2023,2022
2022-08-29 02:45:00,Fiorentina,0,Napoli,0,2022,2023,2022
2022-08-31 00:30:00,Sassuolo,0,AC Milan,0,2022,2023,2022
2022-08-31 02:45:00,AS Roma,3,Monza,0,2022,2023,2022
2022-08-31 02:45:00,Inter,3,Cremonese,1,2022,2023,2022
2022-09-01 00:30:00,Udinese,1,Fiorentina,0,2022,2023,2022
2022-09-01 00:30:00,Sampdoria,1,Lazio,1,2022,2023,2022
2022-09-01 00:30:00,Empoli,1,Verona,1,2022,2023,2022
2022-09-01 02:45:00,Napoli,1,Lecce,1,2022,2023,2022
2022-09-01 02:45:00,Juventus,2,Spezia,0,2022,2023,2022
2022-09-02 02:45:00,Bologna,1,Salernitana,1,2022,2023,2022
2022-09-02 02:45:00,Atalanta,3,Torino,1,2022,2023,2022
2022-09-03 21:00:00,Fiorentina,1,Juventus,1,2022,2023,2022
2022-09-04 00:00:00,AC Milan,3,Inter,2,2022,2023,2022
2022-09-04 02:45:00,Lazio,1,Napoli,2,2022,2023,2022
2022-09-04 18:30:00,Cremonese,0,Sassuolo,0,2022,2023,2022
2022-09-04 21:00:00,Spezia,2,Bologna,2,2022,2023,2022
2022-09-05 00:00:00,Verona,2,Sampdoria,1,2022,2023,2022
2022-09-05 02:45:00,Udinese,4,AS Roma,0,2022,2023,2022
2022-09-06 00:30:00,Monza,0,Atalanta,2,2022,2023,2022
2022-09-06 00:30:00,Salernitana,2,Empoli,2,2022,2023,2022
2022-09-06 02:45:00,Torino,1,Lecce,0,2022,2023,2022
2022-09-10 21:00:00,Napoli,1,Spezia,0,2022,2023,2022
2022-09-11 00:00:00,Inter,1,Torino,0,2022,2023,2022
2022-09-11 02:45:00,Sampdoria,1,AC Milan,2,2022,2023,2022
2022-09-11 18:30:00,Atalanta,1,Cremonese,1,2022,2023,2022
2022-09-11 21:00:00,Bologna,2,Fiorentina,1,2022,2023,2022
2022-09-11 21:00:00,Sassuolo,1,Udinese,3,2022,2023,2022
2022-09-11 21:00:00,Lecce,1,Monza,1,2022,2023,2022
2022-09-12 00:00:00,Lazio,2,Verona,0,2022,2023,2022
2022-09-12 02:45:00,Juventus,2,Salernitana,2,2022,2023,2022
2022-09-13 02:45:00,Empoli,1,AS Roma,2,2022,2023,2022
2022-09-17 02:45:00,Salernitana,1,Lecce,2,2022,2023,2022
2022-09-17 21:00:00,Bologna,0,Empoli,1,2022,2023,2022
2022-09-18 00:00:00,Spezia,2,Sampdoria,1,2022,2023,2022
2022-09-18 02:45:00,Torino,0,Sassuolo,1,2022,2023,2022
