time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,weekday,month,day,hour,minute
2020-09-12 22:00:00,Eibar,0,Celta Vigo,0,2020,2021,2020,5,9,12,22,0
2020-09-13 00:30:00,Granada CF,2,Ath Bilbao,0,2020,2021,2020,6,9,13,0,30
2020-09-13 03:00:00,Cadiz CF,0,Osasuna,2,2020,2021,2020,6,9,13,3,0
2020-09-13 20:00:00,Alaves,0,Betis,1,2020,2021,2020,6,9,13,20,0
2020-09-13 22:00:00,Valladolid,1,Real Sociedad,1,2020,2021,2020,6,9,13,22,0
2020-09-14 00:30:00,Villarreal,1,Huesca,1,2020,2021,2020,0,9,14,0,30
2020-09-14 03:00:00,Valencia,4,Levante,2,2020,2021,2020,0,9,14,3,0
2020-09-19 22:00:00,Villarreal,2,Eibar,1,2020,2021,2020,5,9,19,22,0
2020-09-20 00:30:00,Getafe,1,Osasuna,0,2020,2021,2020,6,9,20,0,30
2020-09-20 03:00:00,Celta Vigo,2,Valencia,1,2020,2021,2020,6,9,20,3,0
2020-09-20 22:00:00,Huesca,0,Cadiz CF,2,2020,2021,2020,6,9,20,22,0
2020-09-21 00:30:00,Granada CF,2,Alaves,1,2020,2021,2020,0,9,21,0,30
2020-09-21 00:30:00,Betis,2,Valladolid,0,2020,2021,2020,0,9,21,0,30
2020-09-21 03:00:00,Real Sociedad,0,Real Madrid,0,2020,2021,2020,0,9,21,3,0
2020-09-26 19:00:00,Alaves,0,Getafe,0,2020,2021,2020,5,9,26,19,0
2020-09-26 22:00:00,Valencia,1,Huesca,1,2020,2021,2020,5,9,26,22,0
2020-09-27 00:30:00,Elche,0,Real Sociedad,3,2020,2021,2020,6,9,27,0,30
2020-09-27 03:00:00,Betis,2,Real Madrid,3,2020,2021,2020,6,9,27,3,0
2020-09-27 18:00:00,Osasuna,1,Levante,3,2020,2021,2020,6,9,27,18,0
2020-09-27 20:00:00,Eibar,1,Ath Bilbao,2,2020,2021,2020,6,9,27,20,0
2020-09-27 22:00:00,Atl. Madrid,6,Granada CF,1,2020,2021,2020,6,9,27,22,0
2020-09-28 00:30:00,Valladolid,1,Celta Vigo,1,2020,2021,2020,0,9,28,0,30
2020-09-28 00:30:00,Cadiz CF,1,Sevilla,3,2020,2021,2020,0,9,28,0,30
2020-09-28 03:00:00,Barcelona,4,Villarreal,0,2020,2021,2020,0,9,28,3,0
2020-09-30 01:00:00,Real Sociedad,0,Valencia,1,2020,2021,2020,2,9,30,1,0
2020-09-30 03:30:00,Getafe,3,Betis,0,2020,2021,2020,2,9,30,3,30
2020-10-01 01:00:00,Huesca,0,Atl. Madrid,0,2020,2021,2020,3,10,1,1,0
2020-10-01 01:00:00,Villarreal,3,Alaves,1,2020,2021,2020,3,10,1,1,0
2020-10-01 03:30:00,Real Madrid,1,Valladolid,0,2020,2021,2020,3,10,1,3,30
2020-10-01 03:30:00,Eibar,0,Elche,1,2020,2021,2020,3,10,1,3,30
2020-10-02 01:00:00,Sevilla,1,Levante,0,2020,2021,2020,4,10,2,1,0
2020-10-02 01:00:00,Ath Bilbao,0,Cadiz CF,1,2020,2021,2020,4,10,2,1,0
