time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2021-08-14 03:00:00,Valencia,1,Getafe,0,2021,2022,2021,SPA,5,8,14,3,0
2021-08-15 01:30:00,Mallorca,1,Betis,1,2021,2022,2021,SPA,6,8,15,1,30
2021-08-15 01:30:00,Cadiz CF,1,Levante,1,2021,2022,2021,SPA,6,8,15,1,30
2021-08-15 04:00:00,Osasuna,0,Espanyol,0,2021,2022,2021,SPA,6,8,15,4,0
2021-08-15 04:00:00,Alaves,1,Real Madrid,4,2021,2022,2021,SPA,6,8,15,4,0
2021-08-15 23:30:00,Celta Vigo,1,Atl. Madrid,2,2021,2022,2021,SPA,6,8,15,23,30
2021-08-16 02:00:00,Barcelona,4,Real Sociedad,2,2021,2022,2021,SPA,0,8,16,2,0
2021-08-16 04:15:00,Sevilla,3,Rayo Vallecano,0,2021,2022,2021,SPA,0,8,16,4,15
2021-08-17 02:00:00,Villarreal,0,Granada CF,0,2021,2022,2021,SPA,1,8,17,2,0
2021-08-17 04:00:00,Elche,0,Ath Bilbao,0,2021,2022,2021,SPA,1,8,17,4,0
2021-08-21 03:00:00,Betis,1,Cadiz CF,1,2021,2022,2021,SPA,5,8,21,3,0
2021-08-21 23:00:00,Alaves,0,Mallorca,1,2021,2022,2021,SPA,5,8,21,23,0
2021-08-22 01:30:00,Granada CF,1,Valencia,1,2021,2022,2021,SPA,6,8,22,1,30
2021-08-22 01:30:00,Espanyol,0,Villarreal,0,2021,2022,2021,SPA,6,8,22,1,30
2021-08-22 04:00:00,Ath Bilbao,1,Barcelona,1,2021,2022,2021,SPA,6,8,22,4,0
2021-08-22 23:00:00,Real Sociedad,1,Rayo Vallecano,0,2021,2022,2021,SPA,6,8,22,23,0
2021-08-23 01:30:00,Atl. Madrid,1,Elche,0,2021,2022,2021,SPA,0,8,23,1,30
2021-08-23 04:00:00,Levante,3,Real Madrid,3,2021,2022,2021,SPA,0,8,23,4,0
2021-08-24 02:00:00,Getafe,0,Sevilla,1,2021,2022,2021,SPA,1,8,24,2,0
2021-08-24 04:00:00,Osasuna,0,Celta Vigo,0,2021,2022,2021,SPA,1,8,24,4,0
2021-08-28 02:00:00,Mallorca,1,Espanyol,0,2021,2022,2021,SPA,5,8,28,2,0
2021-08-28 04:15:00,Valencia,3,Alaves,0,2021,2022,2021,SPA,5,8,28,4,15
2021-08-28 23:00:00,Celta Vigo,0,Ath Bilbao,1,2021,2022,2021,SPA,5,8,28,23,0
2021-08-29 01:30:00,Real Sociedad,1,Levante,0,2021,2022,2021,SPA,6,8,29,1,30
2021-08-29 01:30:00,Elche,1,Sevilla,1,2021,2022,2021,SPA,6,8,29,1,30
2021-08-29 04:00:00,Betis,0,Real Madrid,1,2021,2022,2021,SPA,6,8,29,4,0
2021-08-29 23:00:00,Barcelona,2,Getafe,1,2021,2022,2021,SPA,6,8,29,23,0
2021-08-30 01:30:00,Cadiz CF,2,Osasuna,3,2021,2022,2021,SPA,0,8,30,1,30
2021-08-30 01:30:00,Rayo Vallecano,4,Granada CF,0,2021,2022,2021,SPA,0,8,30,1,30
