time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,correct_year
2022-06-05 00:30:00,Mallorca,3,Rayo Vallecano,0,2022,2023,2022
2022-06-05 00:30:00,Osasuna,2,Girona,1,2022,2023,2022
2022-06-05 00:30:00,Real Madrid,1,Ath Bilbao,1,2022,2023,2022
2022-06-05 00:30:00,Real Sociedad,2,Sevilla,1,2022,2023,2022
2022-06-05 00:30:00,Villarreal,2,Atl. Madrid,2,2022,2023,2022
2022-06-05 03:00:00,Betis,1,Valencia,1,2022,2023,2022
2022-06-05 03:00:00,Celta Vigo,2,Barcelona,1,2022,2023,2022
2022-06-05 03:00:00,Elche,1,Cadiz CF,1,2022,2023,2022
2022-06-05 03:00:00,Espanyol,3,Almeria,3,2022,2023,2022
2022-06-05 03:00:00,Valladolid,0,Getafe,0,2022,2023,2022
2022-08-13 03:00:00,Osasuna,2,Sevilla,1,2022,2023,2022
2022-08-13 23:00:00,Celta Vigo,2,Espanyol,2,2022,2023,2022
2022-08-14 01:00:00,Valladolid,0,Villarreal,3,2022,2023,2022
2022-08-14 03:00:00,Barcelona,0,Rayo Vallecano,0,2022,2023,2022
2022-08-14 23:30:00,Cadiz CF,0,Real Sociedad,1,2022,2023,2022
2022-08-15 01:30:00,Valencia,1,Girona,0,2022,2023,2022
2022-08-15 04:00:00,Almeria,1,Real Madrid,2,2022,2023,2022
2022-08-15 23:30:00,Ath Bilbao,0,Mallorca,0,2022,2023,2022
2022-08-16 01:30:00,Getafe,0,Atl. Madrid,3,2022,2023,2022
2022-08-16 03:30:00,Betis,3,Elche,0,2022,2023,2022
2022-08-20 02:00:00,Espanyol,0,Rayo Vallecano,2,2022,2023,2022
2022-08-20 04:00:00,Sevilla,1,Valladolid,1,2022,2023,2022
2022-08-20 23:30:00,Osasuna,2,Cadiz CF,0,2022,2023,2022
2022-08-21 01:30:00,Mallorca,1,Betis,2,2022,2023,2022
2022-08-21 04:00:00,Celta Vigo,1,Real Madrid,4,2022,2023,2022
2022-08-21 23:30:00,Ath Bilbao,1,Valencia,0,2022,2023,2022
2022-08-22 01:30:00,Atl. Madrid,0,Villarreal,2,2022,2023,2022
2022-08-22 04:00:00,Real Sociedad,1,Barcelona,4,2022,2023,2022
2022-08-23 02:00:00,Elche,1,Almeria,1,2022,2023,2022
2022-08-23 04:00:00,Girona,3,Getafe,1,2022,2023,2022
2022-08-27 02:00:00,Girona,0,Celta Vigo,1,2022,2023,2022
2022-08-27 04:00:00,Betis,1,Osasuna,0,2022,2023,2022
2022-08-27 23:30:00,Elche,0,Real Sociedad,1,2022,2023,2022
2022-08-28 01:30:00,Rayo Vallecano,0,Mallorca,2,2022,2023,2022
2022-08-28 04:00:00,Almeria,2,Sevilla,1,2022,2023,2022
2022-08-28 23:30:00,Getafe,0,Villarreal,0,2022,2023,2022
2022-08-29 01:30:00,Barcelona,4,Valladolid,0,2022,2023,2022
2022-08-29 04:00:00,Espanyol,1,Real Madrid,3,2022,2023,2022
2022-08-30 02:00:00,Cadiz CF,0,Ath Bilbao,4,2022,2023,2022
2022-08-30 04:00:00,Valencia,0,Atl. Madrid,1,2022,2023,2022
2022-09-03 03:00:00,Celta Vigo,3,Cadiz CF,0,2022,2023,2022
2022-09-03 20:00:00,Mallorca,1,Girona,1,2022,2023,2022
2022-09-03 22:15:00,Real Madrid,2,Betis,1,2022,2023,2022
2022-09-04 00:30:00,Real Sociedad,1,Atl. Madrid,1,2022,2023,2022
2022-09-04 03:00:00,Sevilla,0,Barcelona,3,2022,2023,2022
2022-09-04 20:00:00,Osasuna,2,Rayo Vallecano,1,2022,2023,2022
