squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
Brighton,2019,2020,41,39.0,54.0,22,20.0,27.0,19,19.0,27.0
Manchester Utd,2019,2020,66,66.0,36.0,37,40.0,17.0,29,26.0,19.0
Arsenal,2019,2020,56,56.0,48.0,36,36.0,24.0,20,20.0,24.0
Norwich,2019,2020,21,26.0,75.0,15,19.0,37.0,6,7.0,38.0
Everton,2019,2020,49,44.0,56.0,31,24.0,21.0,18,20.0,35.0
Leicester,2019,2020,62,67.0,41.0,37,35.0,17.0,25,32.0,24.0
Bournemouth,2019,2020,34,40.0,65.0,21,22.0,30.0,13,18.0,35.0
Newcastle,2019,2020,44,38.0,58.0,26,20.0,21.0,18,18.0,37.0
West Ham,2019,2020,39,49.0,62.0,22,30.0,33.0,17,19.0,29.0
Chelsea,2019,2020,66,69.0,54.0,36,30.0,16.0,30,39.0,38.0
Sheffield Utd,2019,2020,54,39.0,39.0,33,24.0,15.0,21,15.0,24.0
Tottenham,2019,2020,59,61.0,47.0,39,36.0,17.0,20,25.0,30.0
Manchester City,2019,2020,81,102.0,35.0,47,57.0,13.0,34,45.0,22.0
Liverpool,2019,2020,99,85.0,33.0,55,52.0,16.0,44,33.0,17.0
Crystal Palace,2019,2020,43,31.0,50.0,23,15.0,20.0,20,16.0,30.0
Wolves,2019,2020,59,51.0,40.0,31,27.0,19.0,28,24.0,21.0
Watford,2019,2020,34,36.0,64.0,24,22.0,27.0,10,14.0,37.0
Burnley,2019,2020,54,43.0,50.0,28,24.0,23.0,26,19.0,27.0
Aston Villa,2019,2020,35,41.0,67.0,24,22.0,30.0,11,19.0,37.0
Southampton,2019,2020,52,51.0,60.0,21,21.0,35.0,31,30.0,25.0
Fulham,2020,2021,28,27.0,53.0,10,9.0,28.0,18,18.0,25.0
Arsenal,2020,2021,61,55.0,39.0,28,24.0,21.0,33,31.0,18.0
Crystal Palace,2020,2021,44,41.0,66.0,23,20.0,32.0,21,21.0,34.0
Southampton,2020,2021,43,47.0,68.0,27,28.0,25.0,16,19.0,43.0
Liverpool,2020,2021,69,68.0,42.0,33,29.0,20.0,36,39.0,22.0
Leeds,2020,2021,59,62.0,54.0,29,28.0,21.0,30,34.0,33.0
West Ham,2020,2021,65,62.0,47.0,34,32.0,22.0,31,30.0,25.0
Newcastle,2020,2021,45,46.0,62.0,23,26.0,33.0,22,20.0,29.0
