squad,squad_size,foreigners,squad_value_avg,squad_value
Manchester City,34,21,33700000.0,1150000000.0
Arsenal FC,42,25,23830000.0,1000000000.0
Chelsea FC,43,28,23140000.0,994950000.0
Manchester United,48,28,17670000.0,848000000.0
Liverpool FC,39,24,20820000.0,811850000.0
Tottenham Hotspur,34,21,19090000.0,649100000.0
Newcastle United,38,21,14250000.0,541600000.0
Brighton & Hove Albion,42,28,12610000.0,529799999.99999994
Aston Villa,43,24,11850000.0,509550000.0
Wolverhampton Wanderers,43,34,11570000.0,497650000.0
Leicester City,38,22,12920000.0,490800000.0
West Ham United,44,24,10590000.0,465750000.0
Southampton FC,46,25,9130000.0,419950000.0
Everton FC,40,20,10330000.0,413150000.0
Nottingham Forest,50,29,7530000.0,376250000.0
Brentford FC,36,26,10310000.0,371200000.0
Leeds United,47,31,7340000.0,345150000.0
Crystal Palace,39,19,8279999.999999999,323050000.0
Fulham FC,47,34,6280000.0,295250000.0
AFC Bournemouth,47,23,6110000.0,287200000.0
