squad,squad_size,foreigners,squad_value_avg,squad_value
Paris Saint-Germain,41,28,21350000.0,875150000.0
Olympique Lyon,40,21,9940000.0,397700000.0
AS Monaco,41,23,9660000.0,396000000.0
LOSC Lille,41,29,7480000.0,306880000.0
Stade Rennais FC,36,11,8480000.0,305350000.0
Olympique Marseille,38,22,7490000.0,284700000.0
OGC Nice,34,23,7830000.0,266050000.0
RC Lens,35,20,4400000.0,154050000.0
Stade Reims,40,28,3740000.0,149400000.0
Montpellier HSC,36,17,4019999.9999999995,144600000.0
RC Strasbourg Alsace,33,18,3640000.0,120050000.0
FC Girondins Bordeaux,54,32,2160000.0,116850000.0
FC Nantes,31,16,3630000.0,112650000.0
AS Saint-Étienne,44,21,2400000.0,105650000.0
Stade Brestois 29,30,10,3440000.0,103150000.0
FC Metz,41,28,2220000.0,91050000.0
Angers SCO,38,19,2360000.0,89500000.0
ESTAC Troyes,50,26,1460000.0,73200000.0
FC Lorient,35,15,1750000.0,61300000.0
Clermont Foot 63,39,23,1410000.0,55100000.0
