squad,squad_size,foreigners,squad_value_avg,squad_value
Bayern Munich,27,16,34420000.0,929450000.0
Bayer 04 Leverkusen,27,22,22020000.0,594550000.0
RB Leipzig,24,16,20700000.0,496900000.0
Borussia Dortmund,28,13,16559999.999999998,463700000.0
VfB Stuttgart,28,11,9930000.0,277900000.0
Eintracht Frankfurt,34,20,7080000.0,240850000.0
VfL Wolfsburg,28,18,8080000.0,226200000.0
SC Freiburg,27,11,6970000.0,188200000.0
Borussia Mönchengladbach,31,16,5980000.0,185230000.0
1.FC Union Berlin,25,15,5790000.0,144650000.0
TSG 1899 Hoffenheim,28,12,5160000.0,144350000.0
FC Augsburg,27,16,4530000.0,122350000.0
1.FSV Mainz 05,27,11,3810000.0,102850000.0
SV Werder Bremen,25,12,3900000.0,97600000.0
1.FC Köln,29,8,3230000.0,93550000.0
VfL Bochum,29,13,2180000.0,63100000.0
1.FC Heidenheim 1846,28,5,2180000.0,61050000.0
SV Darmstadt 98,31,11,1320000.0,40850000.0
