squad,squad_size,foreigners,squad_value_avg,squad_value
Juventus FC,43,24,14940000.0,642500000.0
Inter Milan,36,20,15520000.0,558550000.0
AC Milan,37,22,14780000.0,546950000.0
SSC Napoli,37,20,12900000.0,477230000.0
Atalanta BC,44,24,9060000.0,398750000.0
AS Roma,39,25,9780000.0,381250000.0
ACF Fiorentina,38,22,8570000.0,325800000.0
SS Lazio,34,24,7780000.0,264480000.00000003
US Sassuolo,43,22,5840000.0,251000000.0
Torino FC,41,25,5450000.0,223400000.0
Bologna FC 1909,45,28,4139999.9999999995,186200000.0
Hellas Verona,43,19,3790000.0,162980000.0
Udinese Calcio,44,26,3230000.0,142300000.0
Cagliari Calcio,46,23,2920000.0,134530000.0
UC Sampdoria,46,19,2790000.0,128550000.00000001
FC Empoli,40,12,3160000.0,126500000.0
Genoa CFC,47,24,2580000.0,121280000.0
Venezia FC,51,35,1590000.0,80980000.0
Spezia Calcio,34,23,2310000.0,78500000.0
US Salernitana 1919,51,26,1380000.0,70560000.0
