squad,squad_size,foreigners,squad_value_avg,squad_value
Granada CF,38,9,1460000.0,55400000.0
Levante UD,35,6,1280000.0,44780000.0
Deportivo Alavés,36,15,1000000.0,36080000.0
CD Leganés,40,12,800000.0,32000000.0
Real Oviedo,41,7,771000.0,31600000.0
Real Zaragoza,36,11,869000.0,31280000.0
UD Las Palmas,36,7,840000.0,30230000.0
Sporting Gijón,42,12,715000.0,30050000.0
SD Eibar,31,5,852000.0,26400000.0
Villarreal CF B,35,8,729000.0,25500000.0
CD Mirandés,34,5,729000.0,24800000.0
SD Huesca,35,8,656000.0,22980000.0
FC Cartagena,41,13,470000.0,19250000.0
Málaga CF,42,11,458000.0,19250000.0
FC Andorra,31,5,613000.0,19000000.0
CD Tenerife,35,7,519000.0,18150000.0
Albacete Balompié,38,8,474000.0,18030000.0
Burgos CF,32,2,534000.0,17100000.0
UD Ibiza,39,12,422000.0,16480000.0
Racing Santander,35,6,444000.0,15550000.0
SD Ponferradina,35,15,436000.0,15250000.0
CD Lugo,42,12,277000.0,11650000.0
