squad,squad_size,foreigners,squad_value_avg,squad_value,season_start_year,season_end_year
Manchester City,46,35,26160000.0,1200000000.0,2018,2019
Liverpool,39,25,30060000.0,1170000000.0,2018,2019
Chelsea,54,40,21600000.0,1170000000.0,2018,2019
Tottenham,34,20,26430000.0,898600000.0,2018,2019
Manchester Utd,36,22,22160000.0,797600000.0,2018,2019
Arsenal,42,28,15690000.0,659050000.0,2018,2019
Everton,40,28,13230000.0,529100000.0,2018,2019
Leicester,37,27,11730000.0,434100000.0,2018,2019
West Ham,37,24,9700000.0,359000000.0,2018,2019
Bournemouth,37,17,8380000.000000001,310000000.0,2018,2019
Southampton,40,19,7640000.0,305400000.0,2018,2019
Wolves,40,26,7570000.0,302900000.0,2018,2019
Crystal Palace,36,21,8029999.999999999,289000000.0,2018,2019
Fulham,33,26,7700000.0,254250000.0,2018,2019
Newcastle,37,23,6610000.0,244650000.0,2018,2019
Watford,39,32,6130000.0,239100000.0,2018,2019
Burnley,33,14,5980000.0,197250000.0,2018,2019
Brighton,41,29,4740000.0,194350000.0,2018,2019
Huddersfield Town,33,21,4170000.0,137450000.0,2018,2019
Cardiff City,35,21,3230000.0,113000000.0,2018,2019
Manchester City,34,24,30840000.0,1050000000.0,2019,2020
Liverpool,56,32,17900000.0,1000000000.0,2019,2020
Tottenham,36,22,22410000.0,806800000.0,2019,2020
Chelsea,36,23,19610000.0,705850000.0,2019,2020
Manchester Utd,43,25,15590000.0,670450000.0,2019,2020
Arsenal,38,24,15990000.0,607650000.0,2019,2020
Everton,35,21,12020000.0,420550000.0,2019,2020
Leicester,32,19,12850000.0,411100000.0,2019,2020
Wolves,44,30,7280000.0,320330000.0,2019,2020
West Ham,38,26,7990000.0,303600000.0,2019,2020
Bournemouth,39,17,6980000.0,272180000.0,2019,2020
Newcastle,41,23,6160000.0,252480000.0,2019,2020
Aston Villa,38,22,6100000.0,231700000.0,2019,2020
Southampton,36,20,5850000.0,210750000.0,2019,2020
Brighton,45,29,4460000.0,200780000.0,2019,2020
Watford,43,28,4640000.0,199600000.0,2019,2020
Crystal Palace,33,18,5740000.0,189330000.0,2019,2020
Burnley,35,12,4680000.0,163880000.0,2019,2020
Norwich,38,25,3820000.0,145330000.0,2019,2020
Sheffield Utd,34,16,4080000.0,138600000.0,2019,2020
Manchester City,36,23,29010000.0,1040000000.0,2020,2021
Liverpool,43,28,22550000.0,969650000.0,2020,2021
Chelsea,39,23,22800000.0,889200000.0,2020,2021
Manchester Utd,39,24,19740000.0,770050000.0,2020,2021
Tottenham,41,23,17160000.0,703500000.0,2020,2021
Arsenal,42,27,14740000.0,619250000.0,2020,2021
Everton,44,26,11620000.0,511200000.0,2020,2021
Leicester,40,26,12770000.0,510600000.0,2020,2021
Wolves,38,32,11850000.0,450300000.0,2020,2021
Aston Villa,53,24,8130000.000000001,430750000.0,2020,2021
West Ham,39,23,8590000.0,334900000.0,2020,2021
Brighton,46,30,6310000.0,290400000.0,2020,2021
Southampton,39,22,7250000.0,282800000.0,2020,2021
Newcastle,33,18,7740000.0,255350000.0,2020,2021
Fulham,38,30,6310000.0,239750000.0,2020,2021
Leeds,39,24,6110000.0,238100000.0,2020,2021
Crystal Palace,36,18,5380000.0,193850000.0,2020,2021
Sheffield Utd,40,16,3750000.0,149850000.0,2020,2021
West Brom,43,18,3280000.0,141150000.0,2020,2021
Burnley,32,11,4130000.0,132300000.0,2020,2021
Manchester City,39,23,25740000.0,1000000000.0,2021,2022
Liverpool,49,29,18750000.0,918900000.0,2021,2022
Chelsea,44,25,20780000.0,914500000.0,2021,2022
Manchester Utd,43,28,17890000.0,769150000.0,2021,2022
Tottenham,45,26,15320000.0,689350000.0,2021,2022
Arsenal,41,25,14950000.0,613050000.0,2021,2022
Leicester,40,24,13160000.0,526550000.0,2021,2022
Aston Villa,44,21,11090000.0,487750000.0,2021,2022
Everton,42,23,11410000.0,479050000.0,2021,2022
Wolves,38,30,9920000.0,376950000.0,2021,2022
West Ham,36,20,9860000.0,354900000.0,2021,2022
Brighton,43,31,7400000.0,318000000.0,2021,2022
Newcastle,34,18,9230000.0,313900000.0,2021,2022
Leeds,35,20,8560000.0,299450000.0,2021,2022
Southampton,33,19,8310000.000000001,274300000.0,2021,2022
Brentford,38,27,7190000.0,273300000.0,2021,2022
Crystal Palace,33,16,8210000.000000001,271050000.0,2021,2022
Norwich,45,29,3630000.0,163200000.0,2021,2022
Watford,47,36,3320000.0,156200000.0,2021,2022
Burnley,35,16,3940000.0,137850000.0,2021,2022
Manchester City,34,21,33700000.0,1150000000.0,2022,2023
Arsenal,42,25,23830000.0,1000000000.0,2022,2023
Chelsea,43,28,23140000.0,994950000.0,2022,2023
Manchester Utd,48,28,17670000.0,848000000.0,2022,2023
Liverpool,39,24,20820000.0,811850000.0,2022,2023
Tottenham,34,21,19090000.0,649100000.0,2022,2023
Newcastle,38,21,14250000.0,541600000.0,2022,2023
Brighton,42,28,12610000.0,529800000.0,2022,2023
Aston Villa,43,24,11850000.0,509550000.0,2022,2023
Wolves,43,34,11570000.0,497650000.0,2022,2023
Leicester,38,22,12920000.0,490800000.0,2022,2023
West Ham,44,24,10590000.0,465750000.0,2022,2023
Southampton,46,25,9130000.0,419950000.0,2022,2023
Everton,40,20,10330000.0,413150000.0,2022,2023
Nottingham,50,29,7530000.0,376250000.0,2022,2023
Brentford,36,26,10310000.0,371200000.0,2022,2023
Leeds,47,31,7340000.0,345150000.0,2022,2023
Crystal Palace,39,19,8279999.999999999,323050000.0,2022,2023
Fulham,47,34,6280000.0,295250000.0,2022,2023
Bournemouth,47,23,6110000.0,287200000.0,2022,2023
Manchester City,22,16,57740000.0,1270000000.0,2023,2024
Arsenal,25,18,44740000.0,1120000000.0,2023,2024
Chelsea,30,19,30940000.0,928300000.0,2023,2024
Liverpool,28,21,32910000.0,921400000.0,2023,2024
Tottenham,26,20,29900000.0,777300000.0,2023,2024
Manchester Utd,27,19,27190000.0,734250000.0,2023,2024
Aston Villa,27,18,23930000.0,646200000.0,2023,2024
Newcastle,28,13,22780000.0,637700000.0,2023,2024
Brighton,27,19,18710000.0,505100000.0,2023,2024
West Ham,22,14,20300000.0,446600000.0,2023,2024
Brentford,30,23,14200000.0,426080000.0,2023,2024
Crystal Palace,28,13,14450000.0,404700000.0,2023,2024
Nottingham,28,24,13200000.0,369650000.0,2023,2024
Bournemouth,26,17,13570000.0,352800000.0,2023,2024
Everton,25,11,13820000.0,345400000.0,2023,2024
Wolves,23,19,14770000.0,339700000.0,2023,2024
Fulham,24,22,14080000.0,338000000.0,2023,2024
Burnley,29,22,8830000.0,256100000.00000003,2023,2024
Sheffield Utd,29,17,4960000.0,143750000.0,2023,2024
Luton,28,16,4470000.0,125100000.0,2023,2024
Barcelona,39,20,29720000.0,1160000000.0,2018,2019
Atl. Madrid,37,17,26210000.0,969700000.0,2018,2019
Real Madrid,36,16,24890000.0,896100000.0,2018,2019
Valencia,33,17,15140000.0,499650000.0,2018,2019
Sevilla,38,21,8060000.000000001,306300000.0,2018,2019
