squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Arsenal,29,25.9,53.5,38,418,"3,420",38.0,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.00,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,38,38,"3,417",39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,33.3,0,3,4,36.0,0.26,+1.0,+0.03,81,303,26.7,1021,206,16.7,28.2,238,55.5,42.3,518,24,4.6,37,0.97,,453,140,30.9,11.92,3.68,0.10,0.34,17.7,23,0.11,+1.2,0.0,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,35.3,+2.9,332,1377,325,67,20122,1624,440,34,133,751,663,207,86,64,12,61,311,813,21.39,623,44,49,45,46,6,95,2.50,69,2,8,6,8,2,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15543,83237,45097,499,195,511,260,17924,1748,1,346,400,61,5,3,4,1838,504,594,45.9,2020,2021
Aston Villa,24,25.2,48.5,38,418,"3,420",38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.00,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,38,38,"3,420",46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7,2,4,1,49.2,0.24,+4.2,+0.11,247,639,38.7,1056,177,45.0,37.1,255,64.3,47.0,613,42,6.9,34,0.89,14.2,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,0.10,-0.5,-0.9,12938,16996,76.1,235927,93009,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,31.4,+0.6,403,1086,323,76,15003,1922,590,12,127,779,780,213,106,39,15,71,275,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,463,226,579,337,12832,1403,4,439,553,71,6,6,1,1906,728,665,52.3,2020,2021
Brighton,27,25.8,51.1,38,418,"3,420",38.0,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.50,1.34,0.87,2.21,1.15,2.03,38,38,"3,420",46,1.21,125,81,68.0,9,14,15,12,31.6,7,6,0,1,0.0,0,8,2,35.9,0.24,-8.1,-0.21,193,522,37.0,1280,179,32.1,28.8,233,47.6,39.1,476,28,5.9,33,0.87,10.6,478,134,28.0,12.58,3.53,0.07,0.25,17.4,15,0.09,-11.9,-10.8,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,34.9,-9.2,358,1132,358,80,18111,1708,404,17,164,686,769,219,71,107,2,52,313,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,468,131,549,306,15634,1495,2,428,357,52,7,7,2,2040,531,574,48.1,2020,2021
Burnley,25,28.3,42.1,38,418,"3,420",38.0,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.70,38,38,"3,420",55,1.45,179,125,70.9,10,9,19,11,28.9,3,3,0,0,0.0,0,8,1,49.1,0.26,-4.9,-0.13,317,841,37.7,846,143,69.1,54.5,298,85.9,59.7,600,34,5.7,78,2.05,10.0,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,0.10,-7.3,-7.9,10825,15562,69.6,196816,82192,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,26.9,-7.7,267,923,292,80,13737,1745,461,10,110,772,721,172,154,5,1,80,263,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,340,75,503,278,10755,1002,0,384,389,80,3,3,1,2000,874,854,50.6,2020,2021
Chelsea,27,26.0,60.9,38,418,"3,420",38.0,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.00,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,38,38,"3,420",36,0.95,107,71,69.2,19,10,9,18,47.4,4,3,1,0,25.0,1,5,1,31.4,0.26,-3.6,-0.10,93,253,36.8,1066,169,17.7,25.4,231,27.7,26.6,412,20,4.9,31,0.82,15.2,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,0.10,-6.4,-6.5,21969,25799,85.2,360450,112392,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,37.1,-3.5,448,1441,377,70,24055,1665,402,29,154,749,732,226,77,113,2,79,362,1018,26.79,790,81,42,55,43,7,95,2.50,69,6,4,6,10,0,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,663,243,585,286,21851,1787,1,433,364,79,10,4,1,1999,569,515,52.5,2020,2021
Crystal Palace,24,29.1,40.6,38,418,"3,420",38.0,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.90,0.62,1.52,0.82,1.44,38,38,"3,420",66,1.74,174,107,63.8,12,8,18,8,21.1,4,3,1,0,25.0,1,9,0,51.2,0.28,-14.8,-0.39,226,669,33.8,775,158,51.0,48.9,323,84.8,56.3,622,20,3.2,26,0.68,23.3,345,127,36.8,9.08,3.34,0.10,0.28,17.6,18,0.09,+4.9,+5.0,11627,15597,74.5,193706,81274,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,23.4,+5.4,264,838,232,54,13707,1823,473,8,47,533,772,151,67,29,27,67,351,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,388,151,596,402,11524,1113,1,409,436,67,2,4,0,1923,685,658,51.0,2020,2021
Everton,29,26.3,46.4,38,418,"3,420",38.0,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.20,0.81,2.01,1.10,1.91,38,38,"3,420",48,1.26,161,114,72.0,17,8,13,12,31.6,4,3,0,1,0.0,1,5,1,47.8,0.28,+0.8,+0.02,268,692,38.7,1092,177,47.6,35.6,271,63.5,47.7,560,25,4.5,35,0.92,12.3,395,143,36.2,10.39,3.76,0.10,0.29,17.2,15,0.11,-0.7,-0.9,14792,18696,79.1,263227,93921,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,28.7,+1.3,300,944,257,60,17021,1610,426,28,121,662,660,167,93,53,3,65,362,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,443,105,552,344,14706,1177,0,386,392,65,4,4,1,2030,665,486,57.8,2020,2021
Leeds United,23,26.1,57.3,38,418,"3,420",38.0,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,1.58,1.18,2.76,1.47,2.66,1.46,1.10,2.57,1.38,2.48,38,38,"3,420",54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1,1,11,2,49.9,0.21,-2.1,-0.06,105,319,32.9,1166,306,19.1,27.4,298,32.2,28.9,477,28,5.9,20,0.53,11.9,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,0.10,+4.4,+3.5,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,34.4,+3.1,394,1110,349,68,18658,1895,467,27,205,786,809,229,115,78,1,76,364,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,491,158,667,319,16154,1625,0,432,410,76,3,9,2,2160,538,605,47.1,2020,2021
Leicester City,27,26.5,54.3,38,418,"3,420",38.0,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11,38,38,"3,420",50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,0,9,2,42.2,0.29,-5.8,-0.15,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.50,13.6,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,0.10,+8.2,+7.7,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,30.1,+11.3,360,1209,283,57,19423,1722,474,35,92,649,738,212,61,85,5,71,376,863,22.71,635,49,56,46,54,23,114,3.00,85,3,8,4,10,4,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,481,142,549,322,16883,1455,0,413,421,71,11,4,2,2111,600,590,50.4,2020,2021
Liverpool,28,26.8,62.1,38,418,"3,420",38.0,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.2,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.66,2.93,38,38,"3,420",42,1.11,140,97,72.9,20,9,9,12,31.6,8,4,1,3,20.0,1,6,0,43.9,0.29,+1.9,+0.05,87,237,36.7,1107,196,16.4,31.3,209,26.8,29.5,403,21,5.2,95,2.50,17.0,602,204,33.9,15.84,5.37,0.10,0.29,17.1,22,0.11,-2.5,-3.9,21929,26226,83.6,360990,115400,10789,11862,91.0,8747,9940,88.0,1715,2969,57.8,45.6,-5.3,455,1608,524,82,24396,1765,409,44,156,862,811,257,51,147,2,65,357,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,754,249,592,387,21796,2041,0,396,316,65,4,8,0,2202,537,572,48.4,2020,2021
