squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Amiens,26,26.5,46.5,38,418,"3,420",38.0,30,22,52,28,2,3,59,6,35.4,33.0,23.4,56.4,518,1274,0.79,0.58,1.37,0.74,1.32,0.93,0.62,1.55,0.87,1.48,38,38,"3,420",52,1.37,166,114,72.3,9,11,18,11,28.9,9,6,2,1,25.0,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,329,86.9,56.7,571,14,2.5,18,0.47,13.7,385,112,29.1,10.13,2.95,0.07,0.25,20.0,19,0.09,-5.4,-5.0,11932,16189,73.7,216240,89501,5395,6368,84.7,4838,6050,80.0,1371,2841,48.3,23.6,-1.4,283,973,197,53,14079,2045,576,30,88,586,916,137,51,66,1,65,324,665,17.50,465,66,33,36,53,12,54,1.42,39,4,4,2,3,2,629,384,313,244,72,256,611,41.9,355,389,141,248,396,1025,876,16,20420,2115,6267,10079,4295,507,20417,485,257,53.0,227,46.8,10378,57014,28955,388,85,645,402,11837,1256,3,521,519,65,1,9,2,1918,722,705,50.6,2018,2019
Angers,24,28.0,43.3,38,418,"3,420",38.0,42,27,69,37,5,10,49,4,50.7,42.8,33.5,76.3,700,1320,1.11,0.71,1.82,0.97,1.68,1.33,0.88,2.22,1.13,2.01,38,38,"3,419",49,1.29,165,116,72.1,10,16,12,13,34.2,5,3,2,0,40.0,0,3,2,48.3,0.27,+1.3,+0.03,250,608,41.1,743,191,49.7,39.4,307,77.9,51.2,565,21,3.7,35,0.92,17.8,442,144,32.6,11.63,3.79,0.08,0.26,18.8,19,0.10,-8.7,-5.8,12957,16772,77.3,225763,92189,6004,6910,86.9,4953,6020,82.3,1458,2709,53.8,30.9,-6.5,328,885,231,51,14829,1892,510,37,93,628,823,166,84,72,1,51,325,781,20.55,531,77,56,44,59,14,68,1.79,46,6,4,7,5,0,673,399,351,254,68,259,623,41.6,364,396,109,287,420,1093,889,8,21133,1925,6496,10339,4544,649,21123,561,316,56.3,245,43.7,10395,59303,31790,537,134,611,446,12834,1304,0,449,445,51,10,5,2,1946,616,565,52.2,2018,2019
Bordeaux,33,25.3,50.1,38,418,"3,420",38.0,34,26,60,29,5,6,74,5,39.7,35.0,29.5,64.5,742,1374,0.89,0.68,1.58,0.76,1.45,1.05,0.78,1.82,0.92,1.70,38,38,"3,420",42,1.11,153,110,76.5,10,11,17,10,26.3,7,6,1,0,14.3,1,11,0,46.7,0.27,+4.7,+0.12,262,601,43.6,855,126,43.7,38.4,338,67.2,48.9,598,13,2.2,22,0.58,14.0,421,131,31.1,11.08,3.45,0.07,0.22,20.2,22,0.09,-5.7,-6.0,14526,18571,78.2,254178,98055,6864,7865,87.3,5564,6644,83.7,1602,2899,55.3,29.5,-3.5,330,1004,207,66,16552,1959,539,47,154,658,834,168,99,52,2,60,382,750,19.74,564,57,44,29,42,14,59,1.55,44,3,5,4,2,1,720,447,359,303,58,296,666,44.4,370,394,114,280,391,1111,966,20,22991,2210,7383,11299,4566,556,22985,657,345,52.5,312,47.5,12741,69799,37229,532,140,606,427,14411,1364,0,545,497,60,3,7,0,2158,660,721,47.8,2018,2019
Dijon,26,27.1,47.9,38,418,"3,420",38.0,29,21,50,26,3,4,75,7,39.8,36.6,28.1,64.8,677,1334,0.76,0.55,1.32,0.68,1.24,1.05,0.74,1.79,0.96,1.70,38,38,"3,420",60,1.58,171,112,66.7,9,7,22,6,15.8,3,3,0,0,0.0,2,7,1,50.9,0.28,-8.1,-0.21,298,671,44.4,987,194,42.2,33.7,339,74.9,52.3,556,34,6.1,63,1.66,18.6,451,138,30.6,11.87,3.63,0.06,0.19,19.9,25,0.08,-10.8,-10.6,13027,17019,76.5,247662,95270,5326,6175,86.3,5597,6662,84.0,1745,3214,54.3,26.8,-7.1,330,1023,250,75,15043,1917,487,33,171,606,828,167,70,63,2,59,327,805,21.18,551,85,59,48,48,14,50,1.32,31,3,8,6,1,1,674,408,339,254,81,261,645,40.5,384,417,119,298,482,1156,826,14,21354,2162,6625,10126,4857,598,21350,602,350,58.1,252,41.9,11125,67253,35482,515,115,603,383,12929,1328,4,573,443,59,1,3,1,1963,694,800,46.5,2018,2019
Lille,25,24.1,51.4,38,418,"3,420",38.0,66,49,115,55,11,13,70,4,59.5,49.3,38.7,87.9,757,1461,1.74,1.29,3.03,1.45,2.74,1.56,1.02,2.58,1.30,2.31,38,38,"3,420",33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25.0,1,4,0,39.0,0.25,+6.0,+0.16,177,557,31.8,838,189,41.9,36.2,275,74.9,53.5,497,29,5.8,44,1.16,16.5,485,180,37.1,12.76,4.74,0.11,0.31,19.5,26,0.10,+6.5,+5.7,14521,18325,79.2,253873,91809,6312,7195,87.7,6011,7044,85.3,1520,2790,54.5,31.2,+10.3,384,1114,240,68,16325,1961,579,76,118,575,872,164,57,90,2,39,329,895,23.55,655,75,58,36,56,15,124,3.26,80,8,16,5,13,2,628,378,295,272,61,263,583,45.1,320,377,106,271,387,1015,764,15,22423,1942,6276,11493,4899,672,22410,632,365,57.8,267,42.2,12898,73225,39974,648,172,550,461,14412,1448,1,479,510,39,10,10,0,2018,564,575,49.5,2018,2019
Lyon,25,24.4,60.4,38,418,"3,420",38.0,70,54,124,65,5,10,55,3,73.7,66.1,49.0,115.0,977,2093,1.84,1.42,3.26,1.71,3.13,1.94,1.29,3.23,1.74,3.03,38,38,"3,420",47,1.24,149,105,71.8,21,9,8,10,26.3,5,5,0,0,0.0,2,4,3,39.6,0.24,-4.4,-0.12,138,327,42.2,903,193,25.6,24.2,279,34.4,37.8,441,13,2.9,39,1.03,16.7,663,241,36.3,17.45,6.34,0.10,0.27,18.1,48,0.10,-3.7,-1.1,19007,22585,84.2,326907,111141,8826,9819,89.9,7788,8746,89.0,1794,2745,65.4,44.8,+5.0,493,1482,341,89,20651,1840,482,92,136,684,767,227,113,62,4,94,351,1215,31.97,890,86,79,77,74,9,129,3.39,98,1,9,11,8,2,637,384,285,266,86,231,492,47.0,261,406,136,270,363,1000,680,19,26905,1993,6483,14139,6516,1008,26895,764,463,60.6,301,39.4,17306,95052,52811,708,255,601,454,18891,2073,2,443,469,94,9,5,3,2028,612,513,54.4,2018,2019
Marseille,24,26.9,55.2,38,418,"3,420",38.0,59,45,104,55,4,5,82,8,52.7,48.9,38.5,87.4,809,1474,1.55,1.18,2.74,1.45,2.63,1.39,1.01,2.40,1.29,2.30,38,38,"3,416",52,1.37,138,84,69.6,18,7,13,12,31.6,12,10,2,0,16.7,1,2,0,46.0,0.25,-6.0,-0.16,196,493,39.8,974,171,37.6,35.7,249,51.0,42.2,414,21,5.1,36,0.95,14.6,525,164,31.2,13.82,4.32,0.10,0.34,18.0,21,0.09,+6.3,+6.1,15952,19944,80.0,262210,95452,8017,8977,89.3,5431,6468,84.0,1644,2937,56.0,35.2,+6.5,405,1021,269,108,17923,1975,516,69,127,827,897,225,97,92,3,46,334,925,24.34,647,113,36,62,54,13,101,2.66,69,10,4,15,3,0,781,489,349,332,100,318,698,45.6,380,346,98,248,401,1182,690,18,24294,1972,6839,12198,5526,787,24289,655,355,54.2,299,45.6,14818,78072,41164,639,159,570,366,15837,1461,1,501,455,46,2,12,0,1949,695,622,52.8,2018,2019
Monaco,42,25.6,49.8,38,418,"3,420",38.0,38,25,63,34,4,5,91,6,47.4,43.5,31.4,74.9,773,1624,1.00,0.66,1.66,0.89,1.55,1.25,0.83,2.07,1.14,1.97,38,38,"3,420",57,1.50,147,89,64.6,8,12,18,8,21.1,8,5,3,0,37.5,0,6,2,50.4,0.30,-4.6,-0.12,149,395,37.7,741,176,32.7,30.3,282,54.3,43.3,496,14,2.8,22,0.58,12.6,462,149,32.3,12.16,3.92,0.07,0.23,18.4,25,0.10,-9.4,-9.5,14098,18035,78.2,252139,93176,6145,7094,86.6,6061,7206,84.1,1498,2705,55.4,29.7,-6.4,322,1075,258,84,15923,2057,570,50,153,748,916,195,90,73,1,55,371,818,21.53,571,80,54,51,44,18,64,1.68,44,3,4,5,6,2,686,422,322,271,93,301,660,45.6,359,334,86,248,386,1072,841,15,22263,1881,6325,10873,5284,694,22258,574,292,50.9,282,49.1,12649,70228,39454,547,134,640,350,14006,1612,1,528,505,55,5,8,2,1941,611,594,50.7,2018,2019
Montpellier,25,28.0,48.0,38,418,"3,420",38.0,50,28,78,47,3,3,60,4,50.1,47.7,35.1,82.8,601,1497,1.32,0.74,2.05,1.24,1.97,1.32,0.92,2.24,1.26,2.18,38,38,"3,420",42,1.11,144,103,72.9,15,14,9,12,31.6,5,3,1,1,25.0,1,8,2,41.5,0.26,+1.5,+0.04,319,712,44.8,1026,183,51.2,39.9,290,64.5,48.0,508,25,4.9,39,1.03,13.7,507,163,32.1,13.34,4.29,0.09,0.29,19.6,29,0.10,-0.1,-0.7,13573,17733,76.5,258702,105789,5776,6744,85.6,5467,6615,82.6,1997,3384,59.0,31.1,-7.1,369,1127,258,93,15701,1974,525,23,208,749,908,171,70,82,1,58,373,889,23.39,633,91,60,41,53,11,84,2.21,55,6,7,9,5,2,759,431,364,305,90,304,676,45.0,372,411,105,306,484,1243,751,11,22177,2056,6793,10466,5110,659,22174,563,303,53.8,260,46.2,10848,60471,30342,426,127,600,387,13466,1485,1,537,478,58,2,5,2,2061,729,741,49.6,2018,2019
Nantes,33,25.9,50.1,38,418,"3,420",38.0,46,28,74,40,6,8,72,6,49.1,42.8,30.6,73.3,656,1472,1.21,0.74,1.95,1.05,1.79,1.29,0.80,2.10,1.13,1.93,38,38,"3,420",48,1.26,130,78,66.2,13,9,16,8,21.1,8,4,4,0,50.0,2,7,0,45.5,0.29,-2.5,-0.07,247,568,43.5,839,157,39.3,33.5,314,75.8,51.7,508,25,4.9,47,1.24,15.2,509,143,28.1,13.39,3.76,0.08,0.28,20.3,23,0.09,-3.1,-2.8,13321,17765,75.0,229094,96362,6332,7461,84.9,4909,6109,80.4,1471,2845,51.7,27.7,-2.6,380,1049,255,83,15636,2052,540,26,151,725,931,182,89,61,1,77,381,905,23.82,630,101,32,47,76,19,72,1.89,46,5,5,9,7,0,767,478,360,315,92,321,690,46.5,369,382,106,276,435,1202,831,6,22164,2063,6408,10385,5599,691,22156,507,280,55.2,227,44.8,11768,58910,31689,509,131,645,396,13223,1464,3,493,496,77,7,8,0,2173,767,685,52.8,2018,2019
Nice,30,24.2,54.8,38,418,"3,420",38.0,28,18,46,23,5,9,72,5,46.3,39.2,30.8,70.1,740,1537,0.74,0.47,1.21,0.61,1.08,1.22,0.81,2.03,1.03,1.84,38,38,"3,420",35,0.92,155,118,79.4,15,11,12,16,42.1,6,3,3,0,50.0,0,5,1,44.1,0.25,+10.1,+0.27,127,345,36.8,905,225,20.6,21.3,325,48.9,40.3,590,17,2.9,19,0.50,19.4,432,121,28.0,11.37,3.18,0.05,0.19,19.5,31,0.09,-18.3,-16.2,18039,21274,84.8,320065,111064,7977,8773,90.9,8026,8870,90.5,1708,2766,61.7,27.2,-12.8,329,1072,169,43,19383,1851,590,30,173,495,692,172,61,83,1,40,312,792,20.84,513,77,82,44,61,15,47,1.24,30,3,4,3,7,0,662,420,331,264,67,287,617,46.5,330,410,108,302,450,1112,777,11,25818,2474,8543,12993,4533,667,25809,927,506,54.6,421,45.4,13450,70876,39675,517,242,653,409,17947,1523,1,425,518,40,7,6,1,1957,516,502,50.7,2018,2019
Nîmes,23,24.1,45.7,38,418,"3,420",38.0,55,37,92,51,4,6,69,5,50.0,45.3,34.1,79.4,717,1229,1.45,0.97,2.42,1.34,2.32,1.32,0.90,2.21,1.19,2.09,38,38,"3,420",58,1.53,180,122,70.0,15,8,15,10,26.3,5,4,1,0,20.0,0,4,1,60.4,0.31,+3.4,+0.09,234,690,33.9,824,160,54.2,40.0,291,83.5,55.2,491,28,5.7,33,0.87,14.5,514,175,34.0,13.53,4.61,0.10,0.29,19.3,26,0.09,+5.0,+5.7,11364,15574,73.0,201850,84311,5502,6481,84.9,4036,5079,79.5,1399,2975,47.0,27.5,+2.9,365,946,199,64,13382,2152,555,33,145,736,1009,202,78,105,7,40,343,886,23.32,594,95,66,57,61,13,89,2.34,46,12,11,9,10,1,733,442,373,282,78,325,757,42.9,432,378,119,259,443,1176,832,8,20197,1847,6344,9054,5034,663,20191,681,362,53.2,319,46.8,10101,58854,31970,482,185,645,405,11265,1216,2,487,494,40,3,5,1,2030,693,828,45.6,2018,2019
Paris S-G,30,26.2,63.7,38,418,"3,420",38.0,103,72,175,93,10,12,64,4,88.9,79.5,63.1,142.6,993,2207,2.71,1.89,4.61,2.45,4.34,2.34,1.66,4.00,2.09,3.75,38,38,"3,420",35,0.92,131,99,77.1,29,4,5,17,44.7,6,5,1,0,16.7,1,3,4,36.2,0.23,+5.2,+0.14,61,147,41.5,678,179,12.8,25.3,247,24.3,31.7,429,9,2.1,29,0.76,13.7,549,206,37.5,14.45,5.42,0.17,0.45,16.8,29,0.15,+14.1,+13.5,21887,25100,87.2,339439,113934,11267,12199,92.4,7815,8653,90.3,1542,2281,67.6,67.1,+8.9,421,1601,461,53,23350,1658,469,186,151,588,633,237,112,42,11,92,300,997,26.24,753,68,66,43,50,17,181,4.76,134,7,14,12,11,3,701,434,286,315,100,282,625,45.1,343,335,93,242,342,1043,535,20,28901,1840,6504,15314,7323,1110,28888,748,453,60.6,293,39.2,17807,95583,54256,746,253,501,454,21754,2190,0,474,444,92,10,6,4,2060,402,336,54.5,2018,2019
Reims,27,26.2,43.6,38,418,"3,420",38.0,39,27,66,37,2,2,67,2,38.1,36.5,27.7,64.1,593,1262,1.03,0.71,1.74,0.97,1.68,1.00,0.73,1.73,0.96,1.69,38,38,"3,420",42,1.11,150,110,76.7,13,16,9,14,36.8,7,7,0,0,0.0,1,3,2,44.9,0.26,+4.9,+0.13,257,654,39.3,861,136,49.8,40.7,291,77.3,53.8,667,28,4.2,27,0.71,13.2,404,132,32.7,10.63,3.47,0.09,0.28,18.5,14,0.09,+0.9,+0.5,11567,15680,73.8,221473,88002,4875,5802,84.0,4835,6014,80.4,1593,2993,53.2,24.2,-0.7,299,841,220,65,13708,1893,510,48,178,633,848,164,93,47,6,79,327,689,18.13,487,68,50,41,33,10,70,1.84,49,4,8,4,4,1,760,454,423,257,80,291,647,45.0,356,364,111,253,486,1246,886,18,20060,2151,7361,8846,4127,608,20058,588,319,54.3,269,45.7,10123,61064,32182,398,123,603,338,11495,1253,0,532,467,79,2,7,2,2029,647,718,47.4,2018,2019
Rennes,28,25.7,50.6,38,418,"3,420",38.0,52,34,86,45,7,10,68,3,55.6,47.8,34.4,82.1,884,1522,1.37,0.89,2.26,1.18,2.08,1.46,0.90,2.37,1.26,2.16,38,38,"3,420",52,1.37,158,106,69.6,13,13,12,11,28.9,5,4,1,0,20.0,0,9,1,44.1,0.26,-6.9,-0.18,195,499,39.1,759,157,39.9,33.1,290,67.6,49.6,548,22,4.0,52,1.37,12.7,461,147,31.9,12.13,3.87,0.10,0.31,19.0,48,0.11,-3.6,-2.8,14148,17863,79.2,255409,93209,6365,7254,87.7,5693,6667,85.4,1674,2912,57.5,31.9,-0.4,324,1013,252,66,15889,1913,482,44,179,663,861,191,114,42,2,61,341,837,22.03,566,61,63,42,86,19,90,2.37,55,8,8,9,10,0,652,395,307,271,74,292,650,44.9,358,405,119,286,389,1041,779,10,22207,1905,6565,10831,5086,673,22197,768,390,50.8,378,49.2,12496,73573,39806,602,180,611,373,14057,1514,2,490,486,61,9,5,1,2032,625,560,52.7,2018,2019
Saint-Étienne,29,27.8,52.5,38,418,"3,420",38.0,56,40,96,51,5,5,63,7,56.7,52.7,39.2,91.9,753,1543,1.47,1.05,2.53,1.34,2.39,1.49,1.03,2.52,1.39,2.42,38,38,"3,420",41,1.08,153,112,77.8,19,9,10,13,34.2,9,7,1,1,12.5,0,7,1,49.0,0.27,+9.0,+0.24,171,571,29.9,901,171,41.8,36.4,323,60.1,44.0,488,11,2.3,18,0.47,12.8,493,166,33.7,12.97,4.37,0.10,0.31,18.2,18,0.12,-0.7,-1.7,15063,19107,78.8,273799,99072,6606,7526,87.8,6141,7203,85.3,1836,3273,56.1,33.6,+0.8,368,1022,259,81,17040,2007,524,44,178,770,857,224,72,108,4,60,342,837,22.03,577,89,49,64,46,12,95,2.50,59,13,3,9,10,1,672,406,307,272,93,278,633,43.9,355,357,97,260,441,1113,774,24,23365,2117,7530,10996,5066,769,23360,568,314,55.3,254,44.7,11619,64037,34370,492,177,518,408,14976,1530,4,454,456,60,4,9,1,1948,609,643,48.6,2018,2019
Strasbourg,26,26.2,50.1,38,418,"3,420",38.0,57,43,100,52,5,7,70,4,41.3,35.8,28.1,63.9,683,1460,1.50,1.13,2.63,1.37,2.50,1.09,0.74,1.83,0.94,1.68,38,38,"3,420",48,1.26,149,100,72.5,11,16,11,9,23.7,9,7,2,0,22.2,3,4,1,45.1,0.25,-1.9,-0.05,269,676,39.8,840,193,48.3,39.3,342,78.9,55.6,583,27,4.6,30,0.79,12.3,396,144,36.4,10.42,3.79,0.13,0.36,19.2,11,0.09,+15.7,+16.2,14722,18749,78.5,276937,98131,6264,7206,86.9,5781,6831,84.6,2129,3501,60.8,26.3,+14.9,310,1056,236,94,16765,1941,458,31,332,719,898,157,71,59,2,43,381,717,18.87,519,78,46,34,31,9,100,2.63,73,8,4,8,6,1,649,405,320,256,73,257,570,45.1,313,373,127,246,428,1077,751,12,22722,2144,7076,10905,4953,565,22716,515,286,55.5,229,44.5,13141,68647,37582,549,109,591,399,14623,1449,1,512,404,43,5,9,1,1940,631,615,50.6,2018,2019
Toulouse,29,25.5,48.2,38,418,"3,420",38.0,35,16,51,28,7,11,75,5,45.7,37.1,29.3,66.4,684,1465,0.92,0.42,1.34,0.74,1.16,1.20,0.77,1.97,0.98,1.75,38,38,"3,416",57,1.50,178,121,70.8,8,14,16,9,23.7,6,5,1,0,16.7,2,5,1,51.6,0.26,-4.4,-0.12,259,683,37.9,969,174,44.8,37.8,384,64.8,48.0,619,21,3.4,42,1.11,15.4,422,119,28.2,11.11,3.13,0.07,0.24,18.8,19,0.09,-10.7,-9.1,12893,16989,75.9,227561,94710,6070,7039,86.2,4882,6027,81.0,1518,2911,52.1,29.4,-13.3,310,991,220,63,14931,1989,531,43,110,629,822,158,61,79,4,69,333,750,19.74,493,79,60,56,52,10,55,1.45,30,4,3,10,8,0,669,418,362,243,64,265,582,45.5,317,433,126,307,384,1053,947,17,21560,2377,6780,10135,4892,662,21549,695,366,52.7,328,47.2,11336,63368,34445,513,159,696,447,12795,1446,2,558,468,69,8,6,1,2024,712,653,52.2,2018,2019
Brest,26,26.9,52.3,38,418,"3,420",38.0,62,44,106,56,6,7,68,2,50.9,45.3,35.9,81.2,601,1623,1.63,1.16,2.79,1.47,2.63,1.34,0.94,2.28,1.19,2.14,38,38,"3,420",35,0.92,138,104,76.8,21,11,6,13,34.2,4,3,1,0,25.0,0,1,2,39.4,0.26,+6.4,+0.17,168,565,29.7,801,171,46.2,37.4,300,65.0,49.8,532,20,3.8,19,0.50,30.3,434,154,35.5,11.42,4.05,0.13,0.36,18.4,13,0.11,+11.1,+10.7,14287,18815,75.9,294616,104422,4821,5802,83.1,6767,8055,84.0,2445,4115,59.4,30.1,+8.1,320,1158,297,85,16513,2206,530,34,245,734,1072,231,127,63,7,96,353,747,19.66,522,78,49,36,43,19,109,2.87,71,11,6,8,10,3,613,393,234,297,82,198,539,36.7,341,372,92,280,479,1092,732,10,22824,1920,7163,10499,5404,738,22817,552,319,57.8,232,42.0,11190,62476,32501,380,128,662,395,14188,1609,0,492,460,96,7,4,2,2025,701,688,50.5,2018,2019
Metz,25,26.5,56.3,38,418,"3,420",38.0,60,36,96,48,12,12,62,3,54.6,45.1,34.2,79.3,708,1666,1.58,0.95,2.53,1.26,2.21,1.44,0.90,2.33,1.19,2.09,38,38,"3,420",23,0.61,94,72,78.7,24,9,5,19,50.0,4,3,1,0,25.0,0,1,2,24.0,0.21,+3.0,+0.08,257,717,35.8,873,140,56.1,46.2,251,90.4,62.1,457,32,7.0,53,1.39,,460,147,32.0,12.11,3.87,0.10,0.33,19.7,25,0.10,+5.4,+2.9,16663,20869,79.8,310078,107826,7063,7983,88.5,7101,8331,85.2,2078,3569,58.2,27.3,+1.8,347,1340,234,67,18901,1915,414,23,205,610,997,192,70,81,6,53,334,814,21.42,558,78,64,40,57,17,108,2.84,69,8,10,6,15,0,692,437,296,322,74,196,466,42.1,270,372,90,282,464,1156,732,3,25247,1749,6789,13283,5425,645,25235,715,409,57.2,305,42.7,13182,69629,34419,580,164,625,413,16515,1647,1,533,405,53,10,4,2,2289,805,696,53.6,2018,2019
