squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Augsburg,30,26.5,46.4,34,374,"3,060",34.0,50,33,83,45,5,5,55,1,45.3,41.8,32.0,73.9,515,1158,1.47,0.97,2.44,1.32,2.29,1.33,0.94,2.28,1.23,2.17,34,34,"3,060",71,2.09,190,120,63.2,8,8,18,5,14.7,2,1,1,0,50.0,2,8,2,60.8,0.32,-8.2,-0.24,178,491,36.3,848,143,41.2,36.9,276,51.4,42.4,470,16,3.4,26,0.76,13.7,450,156,34.7,13.24,4.59,0.10,0.29,18.7,19,0.09,+4.7,+3.2,10999,15066,73.0,201057,82127,4694,5561,84.4,4346,5391,80.6,1453,2889,50.3,31.0,+1.0,330,788,246,85,13300,1681,411,22,146,603,750,142,37,79,10,85,380,766,22.53,540,75,37,54,42,18,81,2.38,54,4,3,12,6,2,591,376,280,262,49,238,515,46.2,277,404,130,274,467,1058,754,15,18950,2152,6550,8752,3877,593,18945,407,217,53.3,190,46.7,9631,52308,26312,364,80,504,336,10914,1143,0,458,349,85,2,2,2,1875,654,699,48.3,2018,2019
Bayern Munich,24,27.4,65.7,34,374,"3,060",34.0,86,62,148,83,3,4,42,2,85.6,82.4,66.1,148.5,960,2192,2.53,1.82,4.35,2.44,4.26,2.52,1.94,4.46,2.42,4.37,34,34,"3,060",32,0.94,79,48,65.8,24,6,4,12,35.3,6,5,0,1,0.0,1,3,1,29.7,0.32,-1.3,-0.04,110,261,42.1,1012,170,23.1,26.6,165,16.4,30.9,249,10,4.0,52,1.53,17.5,633,252,39.8,18.62,7.41,0.13,0.33,16.1,28,0.13,+0.4,+0.6,20441,23944,85.4,364171,112358,8740,9555,91.5,8799,9768,90.1,2223,3234,68.7,74.4,-4.1,472,1576,448,75,22241,1615,385,47,209,777,712,287,112,125,2,88,396,1135,33.38,794,103,84,88,54,12,147,4.32,98,10,13,19,4,3,465,294,172,210,83,165,410,40.2,245,313,61,252,336,801,368,10,27295,1572,6398,13813,7296,1226,27291,683,426,62.4,257,37.6,16384,90227,49369,728,243,469,315,20325,2174,2,312,342,88,4,6,1,1979,522,444,54.0,2018,2019
Dortmund,23,24.8,58.1,34,374,"3,060",34.0,80,60,140,76,4,4,40,3,61.5,58.4,46.0,104.4,784,1637,2.35,1.76,4.12,2.24,4.00,1.81,1.35,3.16,1.72,3.07,34,34,"3,060",44,1.29,134,90,70.1,23,7,4,10,29.4,5,4,0,1,0.0,1,7,0,41.5,0.29,-2.5,-0.07,146,447,32.7,903,177,32.9,31.0,235,63.8,48.4,458,19,4.1,38,1.12,12.0,444,176,39.6,13.06,5.18,0.17,0.43,16.9,17,0.14,+18.5,+17.6,18779,22172,84.7,321433,102680,8942,9896,90.4,7550,8454,89.3,1786,2686,66.5,47.6,+14.0,336,1358,268,41,20416,1690,457,63,139,458,752,168,54,77,1,66,390,796,23.41,583,57,50,46,48,12,142,4.18,105,6,7,11,10,3,497,319,242,194,61,181,402,45.0,221,334,79,255,384,881,659,17,25919,1845,6539,13672,5943,829,25915,737,440,59.7,297,40.3,15941,85698,43630,610,207,530,381,18684,1626,0,292,385,66,3,5,0,1784,461,472,49.4,2018,2019
Düsseldorf,24,26.9,43.2,34,374,"3,060",34.0,48,35,83,43,5,7,67,1,47.1,41.6,32.2,73.8,553,1202,1.41,1.03,2.44,1.26,2.29,1.39,0.95,2.33,1.22,2.17,34,34,"3,060",65,1.91,179,114,67.6,13,5,16,5,14.7,7,7,0,0,0.0,1,7,0,56.9,0.30,-8.1,-0.24,233,582,40.0,715,152,43.5,36.7,328,82.6,54.5,553,30,5.4,6,0.18,9.2,410,153,37.3,12.06,4.50,0.10,0.28,18.4,15,0.10,+0.9,+1.4,11056,14623,75.6,215151,84981,4513,5328,84.7,4477,5457,82.0,1747,2983,58.6,31.6,+2.8,306,875,218,68,12897,1677,457,26,218,544,649,144,34,91,3,49,301,731,21.50,511,78,38,50,39,15,85,2.50,57,4,9,6,4,5,625,384,345,233,47,250,621,40.3,371,374,107,267,419,1044,760,14,18363,2081,6608,8212,3744,572,18356,435,232,53.3,203,46.7,9580,52985,27987,346,125,466,257,10988,1199,0,432,404,49,3,7,0,1725,609,608,50.0,2018,2019
Eint Frankfurt,30,26.4,47.2,34,374,"3,060",34.0,60,42,102,56,4,4,58,3,57.2,54.4,42.9,97.3,625,1247,1.76,1.24,3.00,1.65,2.88,1.68,1.26,2.95,1.60,2.86,34,34,"3,060",48,1.41,165,118,71.5,15,9,10,9,26.5,1,1,0,0,0.0,1,5,1,44.1,0.27,-2.9,-0.09,350,745,47.0,1023,107,53.6,44.6,236,83.5,56.8,457,20,4.4,37,1.09,9.0,416,148,35.6,12.24,4.35,0.13,0.38,16.9,11,0.13,+2.8,+1.6,10568,14928,70.8,203665,90955,4348,5357,81.2,4481,5764,77.7,1487,2856,52.1,38.7,-0.9,303,959,216,77,13127,1720,454,52,109,678,769,179,65,64,0,81,379,710,20.88,481,83,57,38,40,11,97,2.85,70,7,7,10,2,1,598,371,291,246,61,233,539,43.2,306,465,102,363,360,958,708,4,18899,1922,5739,9079,4331,700,18895,522,293,56.1,229,43.9,9030,54681,30101,406,175,528,365,10463,1235,2,420,346,81,1,1,1,2032,819,712,53.5,2018,2019
Freiburg,28,25.8,44.0,34,374,"3,060",34.0,44,25,69,39,5,6,54,3,40.9,36.2,26.5,62.6,507,1064,1.29,0.74,2.03,1.15,1.88,1.20,0.78,1.98,1.06,1.84,34,34,"3,060",61,1.79,175,114,69.1,8,12,14,5,14.7,7,7,0,0,0.0,0,11,0,58.1,0.31,-2.9,-0.09,263,647,40.6,964,143,39.7,36.7,335,78.8,59.2,552,13,2.4,29,0.85,14.8,419,154,36.8,12.32,4.53,0.09,0.25,19.6,17,0.09,+3.1,+2.8,11389,14903,76.4,224099,84304,4258,4977,85.6,5063,5971,84.8,1692,2999,56.4,25.1,-1.5,301,756,201,71,13145,1707,449,19,175,528,679,150,90,38,1,51,322,734,21.59,515,71,42,47,46,13,71,2.09,44,6,0,10,9,2,570,357,301,211,58,213,503,42.3,290,401,121,280,374,944,882,12,18724,2188,6576,8638,3667,531,18719,441,236,53.5,205,46.5,8730,53596,28408,369,118,464,300,11288,1056,3,412,408,51,4,7,0,1649,553,669,45.3,2018,2019
Hertha BSC,26,25.9,47.9,34,374,"3,060",34.0,49,32,81,45,4,4,64,5,51.0,48.0,36.8,84.8,562,1241,1.44,0.94,2.38,1.32,2.26,1.50,1.08,2.58,1.41,2.49,34,34,"3,060",57,1.68,159,103,66.7,11,10,13,9,26.5,6,4,1,1,20.0,1,6,2,52.1,0.30,-2.9,-0.08,369,836,44.1,967,104,58.1,40.8,309,88.7,57.5,536,33,6.2,30,0.88,14.2,400,143,35.8,11.76,4.21,0.11,0.31,16.7,15,0.12,-2.0,-3.0,12348,16140,76.5,224985,90720,5628,6555,85.9,4809,5819,82.6,1535,2810,54.6,33.8,-4.8,307,837,226,70,14358,1707,447,25,131,554,714,146,34,98,1,75,325,711,20.91,496,66,52,51,37,9,83,2.44,51,4,9,10,7,2,538,352,251,235,52,178,451,39.5,273,423,117,306,381,919,823,7,20051,2083,6050,10251,3961,611,20047,515,305,59.2,209,40.6,11616,56652,27835,450,135,554,332,12228,1229,3,447,374,75,3,6,2,1746,693,640,52.0,2018,2019
Hoffenheim,29,25.5,53.8,34,374,"3,060",34.0,69,49,118,63,6,7,67,2,75.9,70.6,56.8,127.3,950,1589,2.03,1.44,3.47,1.85,3.29,2.23,1.67,3.90,2.08,3.74,34,34,"3,060",52,1.53,173,122,74.0,13,12,9,5,14.7,7,7,0,0,0.0,1,4,1,49.1,0.25,-1.9,-0.06,178,424,42.0,1073,194,29.8,44.6,253,41.1,39.8,462,15,3.2,60,1.76,15.5,605,215,35.5,17.79,6.32,0.10,0.29,17.0,15,0.12,-6.9,-7.6,14436,18031,80.1,255965,97949,6457,7333,88.1,5920,6919,85.6,1572,2667,58.9,56.0,-7.8,470,1136,346,91,16338,1627,413,32,113,667,695,182,76,84,0,66,378,1081,31.79,786,80,80,69,44,22,118,3.47,84,6,8,12,8,0,571,363,260,237,74,206,528,39.0,322,419,104,315,399,970,638,13,21996,1995,6560,10363,5317,940,21989,596,356,59.7,240,40.3,12546,73337,41580,613,194,499,361,14348,1583,2,471,348,66,5,7,1,1847,521,531,49.5,2018,2019
Leverkusen,21,25.3,59.8,34,374,"3,060",34.0,68,51,119,64,4,5,50,1,58.3,54.4,43.8,98.2,719,1791,2.00,1.50,3.50,1.88,3.38,1.71,1.29,3.00,1.60,2.89,34,34,"3,060",52,1.53,139,88,65.5,18,4,12,9,26.5,6,4,2,0,33.3,2,10,3,43.0,0.27,-6.0,-0.18,211,476,44.3,1214,169,30.1,40.5,207,53.1,42.0,424,11,2.6,53,1.56,10.9,513,188,36.6,15.09,5.53,0.12,0.34,17.6,25,0.11,+9.7,+9.6,18245,22081,82.6,314578,108444,8254,9224,89.5,7291,8289,88.0,1870,2924,64.0,49.7,+7.2,381,1266,356,78,20354,1662,453,30,169,633,728,189,94,78,1,65,429,894,26.29,683,55,44,57,40,15,117,3.44,94,5,1,11,6,0,583,368,298,217,68,230,543,42.4,313,416,96,320,358,941,687,7,25994,1974,6954,13384,5848,864,25989,555,326,58.7,229,41.3,13049,71263,37329,484,162,581,394,18139,1775,0,367,383,65,3,6,3,2020,541,554,49.4,2018,2019
M'Gladbach,22,26.5,53.1,34,374,"3,060",34.0,53,43,96,49,4,7,43,0,52.2,46.7,36.7,83.4,775,1532,1.56,1.26,2.82,1.44,2.71,1.54,1.08,2.62,1.37,2.45,34,34,"3,060",42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0,0,3,0,48.2,0.30,+6.2,+0.18,174,465,37.4,1338,190,26.3,30.5,264,42.8,40.0,458,26,5.7,33,0.97,13.8,452,149,33.0,13.29,4.38,0.11,0.33,17.8,16,0.11,+0.8,+2.3,15736,19093,82.4,294502,95475,6089,6877,88.5,7411,8275,89.6,1842,2946,62.5,36.0,+6.3,346,1108,285,64,17411,1612,421,27,174,565,666,189,67,91,2,70,329,804,23.65,596,63,41,63,32,9,97,2.85,73,5,9,7,3,0,498,292,258,192,48,198,466,42.5,268,382,102,280,310,808,648,18,22515,2107,7022,10979,4688,718,22508,488,280,57.4,207,42.4,12727,78751,45660,517,130,473,300,15624,1520,0,333,357,70,5,3,0,1680,426,549,43.7,2018,2019
