squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Atalanta,30,27.2,57.2,38,418,"3,420",38.0,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2.53,1.79,4.32,2.34,4.13,2.20,1.55,3.75,1.99,3.54,38,38,"3,420",48,1.26,139,94,69.8,23,9,6,10,26.3,6,6,0,0,0.0,2,4,3,41.9,0.26,-3.1,-0.08,175,410,42.7,892,194,29.4,34.0,235,63.0,48.7,366,8,2.2,67,1.76,18.1,700,256,36.6,18.42,6.74,0.13,0.35,17.3,31,0.11,+12.5,+13.4,17945,21860,82.1,301978,102774,8671,9684,89.5,6817,7927,86.0,1732,2818,61.5,46.2,+9.1,535,1291,440,99,19949,1861,577,40,163,767,715,248,83,132,0,50,354,1242,32.68,938,91,67,75,51,20,170,4.47,120,8,10,16,12,4,627,351,252,278,97,263,643,40.9,380,396,111,285,418,1045,532,12,26093,1876,6557,12183,7584,1117,26083,616,347,56.3,267,43.3,16491,84807,43655,780,256,595,358,17836,1854,1,534,518,50,9,6,3,2145,624,500,55.5,2019,2020
Bologna,31,27.2,52.6,38,418,"3,420",38.0,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,1.26,0.82,2.08,1.13,1.95,1.50,1.09,2.58,1.37,2.46,38,38,"3,420",65,1.71,189,124,68.8,12,11,15,2,5.3,8,6,1,1,14.3,2,6,1,54.1,0.26,-9.9,-0.26,161,366,44.0,869,222,29.2,27.0,296,37.8,33.3,482,44,9.1,30,0.79,33.0,549,160,29.1,14.45,4.21,0.08,0.27,18.8,29,0.10,-8.9,-9.2,14608,18465,79.1,251345,95729,6955,7886,88.2,5859,6959,84.2,1377,2513,54.8,30.8,-10.3,418,1201,293,67,16401,1979,618,28,134,733,736,228,155,21,2,85,329,967,25.45,726,68,62,47,50,14,85,2.24,54,4,10,10,7,0,575,338,270,238,67,226,619,36.5,393,390,125,265,412,987,667,13,22738,2314,6600,10533,5822,794,22732,628,349,55.6,278,44.3,13270,75441,38917,556,203,617,331,14486,1649,3,595,567,85,6,8,1,1903,644,666,49.2,2019,2020
Cagliari,33,27.4,45.7,38,418,"3,420",38.0,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,1.32,0.89,2.21,1.21,2.11,1.10,0.84,1.94,0.98,1.82,38,38,"3,418",56,1.47,195,141,74.9,11,12,15,7,18.4,9,7,1,1,12.5,0,3,3,52.3,0.23,-0.7,-0.02,188,541,34.8,750,154,48.1,40.2,362,49.7,40.0,665,23,3.5,15,0.39,10.1,438,136,31.1,11.53,3.58,0.11,0.34,19.5,16,0.09,+8.2,+8.9,13131,16868,77.8,245291,89789,5524,6270,88.1,5722,6815,84.0,1629,2973,54.8,26.6,+2.0,344,984,246,87,14891,1921,562,24,167,762,749,154,63,67,1,56,289,771,20.29,574,71,50,32,32,12,82,2.16,61,5,3,6,4,3,560,338,300,203,57,231,619,37.3,388,445,174,271,337,897,855,13,21020,2568,7154,9248,4843,586,21015,538,324,60.2,214,39.8,11102,64793,34422,564,100,543,337,13049,1278,3,534,449,56,3,9,3,1836,516,691,42.8,2019,2020
Fiorentina,33,25.1,47.4,38,418,"3,420",38.0,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,1.26,0.79,2.05,1.03,1.82,1.41,0.91,2.32,1.19,2.10,38,38,"3,420",48,1.26,162,112,75.9,12,13,13,11,28.9,11,9,2,0,18.2,2,5,0,50.2,0.25,+2.2,+0.06,128,417,30.7,828,232,35.5,24.0,281,43.8,38.3,543,19,3.5,35,0.92,18.0,538,170,31.6,14.16,4.47,0.07,0.23,18.2,23,0.09,-5.6,-6.4,13589,17172,79.1,245422,91397,5835,6615,88.2,5843,6843,85.4,1535,2737,56.1,32.9,-4.5,420,1124,298,81,15265,1857,576,41,173,726,705,209,70,112,0,50,313,970,25.53,676,93,61,59,69,12,83,2.18,48,9,6,11,9,0,571,333,300,205,66,213,628,33.9,415,346,98,248,347,918,719,9,21343,2205,6723,9390,5490,845,21332,670,428,63.9,242,36.1,12273,71566,39481,545,195,595,388,13488,1432,3,546,500,50,8,11,0,1926,458,491,48.3,2019,2020
Genoa,34,26.8,49.5,38,418,"3,420",38.0,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,1.21,0.74,1.95,0.92,1.66,1.28,0.73,2.01,0.95,1.68,38,38,"3,420",73,1.92,201,130,67.2,10,9,19,7,18.4,9,7,0,2,0.0,3,7,2,65.8,0.29,-5.2,-0.14,190,542,35.1,1042,180,40.5,,341,35.2,34.7,593,26,4.4,19,0.50,,420,140,33.3,11.05,3.68,0.08,0.25,19.2,24,0.09,-2.7,-1.2,14305,18157,78.8,249032,93026,6586,7416,88.8,5724,6778,84.4,1490,2775,53.7,26.7,+0.4,301,937,292,103,16145,1955,555,13,142,723,782,166,51,71,0,57,329,754,19.84,540,59,41,51,48,15,80,2.11,53,4,5,6,10,2,551,335,268,210,73,212,589,36.0,377,410,150,260,385,936,775,16,22193,2703,7647,9844,4922,653,22178,565,335,59.3,230,40.7,12672,64976,33616,434,103,558,349,14203,1269,5,571,514,57,12,9,2,1828,600,583,50.7,2019,2020
Hellas Verona,30,26.1,49.8,38,418,"3,420",38.0,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,1.18,0.71,1.89,0.97,1.68,1.33,0.91,2.24,1.15,2.06,38,38,"3,420",51,1.34,174,124,75.9,12,13,13,10,26.3,9,9,0,0,0.0,2,7,1,51.1,0.25,+1.1,+0.03,194,720,26.9,697,84,61.7,43.7,344,84.3,55.7,570,17,3.0,16,0.42,11.0,435,146,33.6,11.45,3.84,0.09,0.25,17.4,12,0.10,-5.5,-6.6,13348,17641,75.7,234676,89110,5993,6965,86.0,5423,6571,82.5,1411,2861,49.3,29.7,-7.5,332,1084,319,70,15621,1929,555,29,94,750,734,207,83,112,0,91,310,766,20.16,562,70,42,56,31,5,77,2.03,51,5,7,6,7,1,488,290,237,187,64,203,463,43.8,260,361,173,188,398,886,825,10,21661,2367,6427,10342,5111,744,21652,546,328,60.1,217,39.7,11821,64502,33903,553,146,536,307,13229,1554,2,555,490,91,7,9,1,2146,718,783,47.8,2019,2020
Inter,29,27.7,54.2,38,418,"3,420",38.0,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2.11,1.50,3.61,1.84,3.34,1.83,1.16,2.98,1.60,2.76,38,38,"3,420",36,0.95,118,82,72.0,24,10,4,14,36.8,4,3,1,0,25.0,0,5,1,33.0,0.25,-2.0,-0.05,114,239,47.7,922,203,18.3,29.9,291,24.1,28.6,545,26,4.8,21,0.55,12.2,607,216,35.6,15.97,5.68,0.12,0.32,17.6,22,0.10,+10.6,+9.2,17232,20842,82.7,312663,106571,7232,8059,89.7,7508,8587,87.4,1989,2948,67.5,41.2,+13.0,449,1301,400,98,18974,1772,469,20,243,790,704,235,92,65,1,96,348,1078,28.37,786,79,65,81,50,17,137,3.61,98,6,9,11,12,1,524,287,228,212,84,196,575,34.1,379,371,120,251,370,894,657,12,24766,2441,7448,11450,6087,1024,24755,498,311,62.4,187,37.6,13950,76296,41980,520,190,515,292,17092,1806,3,563,450,96,10,4,1,1862,515,470,52.3,2019,2020
Juventus,30,28.6,58.1,38,418,"3,420",38.0,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,1.92,1.24,3.16,1.58,2.82,1.87,1.20,3.07,1.58,2.78,38,38,"3,420",43,1.13,162,118,79.0,26,5,7,12,31.6,12,9,1,2,10.0,1,3,0,44.7,0.22,+1.7,+0.04,94,191,49.2,715,197,21.3,25.1,251,15.5,24.8,464,14,3.0,44,1.16,13.6,665,224,33.7,17.50,5.89,0.09,0.27,19.0,40,0.09,+1.9,-0.1,20149,23408,86.1,332903,110593,9684,10473,92.5,7782,8664,89.8,1816,2715,66.9,38.0,+1.5,501,1629,336,70,21548,1787,509,54,209,698,713,235,74,105,1,73,299,1209,31.82,901,79,75,69,69,16,125,3.29,82,7,13,10,12,1,539,318,225,219,95,224,582,38.5,358,374,120,254,370,909,590,14,27421,2020,6575,13503,7570,863,27407,689,434,63.0,254,36.9,17726,83654,42833,767,211,510,293,20049,1734,2,508,486,73,10,12,0,1811,432,338,56.1,2019,2020
Lazio,27,27.9,50.4,38,418,"3,420",38.0,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2.03,1.18,3.21,1.63,2.82,1.79,1.12,2.91,1.42,2.54,38,38,"3,420",42,1.11,154,112,77.3,24,6,8,11,28.9,9,7,1,1,12.5,1,7,1,44.4,0.24,+3.4,+0.09,148,368,40.2,936,143,32.1,31.2,293,23.2,25.9,474,10,2.1,18,0.47,13.6,562,204,36.3,14.79,5.37,0.11,0.30,18.2,21,0.10,+9.0,+8.1,15875,19415,81.8,281345,100800,7130,8009,89.0,6201,7132,86.9,1924,2976,64.7,35.9,+2.5,434,1334,393,103,17695,1649,449,63,186,741,610,218,72,102,0,71,327,1038,27.32,770,76,71,60,44,17,135,3.55,98,2,10,9,13,3,547,311,270,205,72,224,612,36.6,388,404,142,262,378,925,642,9,23332,2356,7008,10481,6081,950,23314,580,360,62.1,217,37.4,13144,80519,45995,658,212,503,270,15748,1658,1,462,399,71,12,9,1,1921,450,515,46.6,2019,2020
Milan,32,24.6,54.9,38,418,"3,420",38.0,60,38,98,52,8,9,97,6,62.8,56.0,46.0,101.9,816,1717,1.58,1.00,2.58,1.37,2.37,1.65,1.21,2.86,1.47,2.68,38,38,"3,420",46,1.21,154,104,73.4,19,9,10,12,31.6,10,5,5,0,50.0,1,4,1,45.6,0.24,+0.6,+0.02,188,430,43.7,932,189,32.2,34.9,278,46.8,36.9,506,29,5.7,39,1.03,12.0,610,186,30.5,16.05,4.89,0.09,0.28,19.0,24,0.09,-2.8,-4.0,17070,20701,82.5,294450,103334,8007,8954,89.4,6904,7872,87.7,1657,2775,59.7,38.9,-8.0,476,1346,377,83,18774,1864,548,41,178,713,746,208,85,78,0,63,300,1089,28.66,817,77,75,60,47,13,102,2.68,67,6,8,10,10,1,581,345,270,237,74,234,620,37.7,386,353,106,247,419,1000,652,19,24800,2257,6836,11724,6509,936,24791,656,402,61.3,254,38.7,15448,81062,42849,704,219,598,342,16958,1702,2,545,460,63,4,10,1,1928,538,507,51.5,2019,2020
