squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season_start_year,season_end_year
Athletic Club,26,26.9,48.1,38,418,"3,420",38.0,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15,38,38,"3,420",36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0.0,0,2,1,36.9,0.26,+1.9,+0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2,460,150,32.6,12.11,3.95,0.08,0.25,16.8,11,0.10,-9.6,-7.0,12947,17283,74.9,229197,91473,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8,36.0,-3.5,351,1056,306,82,15195,1999,552,42,184,798,880,224,52,102,0,89,332,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3,508,292,217,216,75,224,582,38.5,358,411,128,283,339,847,788,8,21254,2066,6214,9532,5722,799,21247,530,297,56.0,232,43.8,10777,57778,30509,461,146,569,341,12839,1559,3,487,483,89,5,3,1,2098,585,572,50.6,2021,2022
Atlético Madrid,26,28.1,50.6,38,418,"3,420",38.0,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39,38,38,"3,420",43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5,2,4,3,32.3,0.23,-7.7,-0.20,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,458,152,33.2,12.05,4.00,0.13,0.39,17.5,8,0.11,+8.6,+8.4,15076,19098,78.9,253140,88718,7378,8289,89.0,5269,6266,84.1,1640,3060,53.6,39.6,+4.8,347,989,325,66,17082,1931,534,80,228,703,832,201,72,83,0,85,298,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3,636,346,290,279,67,293,619,47.3,326,372,98,274,365,1001,649,14,23038,2006,6787,10729,5702,868,23033,600,383,63.8,217,36.2,12629,65613,34800,531,164,555,353,14978,1456,3,473,503,85,4,8,3,2002,559,539,50.9,2021,2022
Barcelona,38,26.2,64.2,38,418,"3,420",38.0,68,52,120,62,6,7,97,5,63.4,57.9,47.6,105.5,961,2079,1.79,1.37,3.16,1.63,3.00,1.67,1.25,2.92,1.52,2.78,38,38,"3,420",38,1.00,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3,1,7,0,34.1,0.26,-3.9,-0.10,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1.00,15.3,511,177,34.6,13.45,4.66,0.12,0.35,17.1,15,0.12,+4.6,+4.1,21489,25006,85.9,359280,114923,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9,54.7,+4.4,402,1698,390,99,23093,1814,567,90,193,798,712,219,70,82,0,99,309,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2,587,331,236,270,81,244,493,49.5,249,346,85,261,325,912,467,17,28778,2236,7093,14319,7567,1055,28771,747,474,63.5,273,36.5,18228,93372,52508,704,280,623,358,21334,2059,3,499,489,99,6,3,0,2066,454,410,52.5,2021,2022
Betis,31,28.9,53.7,38,418,"3,420",38.0,60,45,105,54,6,6,87,6,53.5,48.8,37.7,86.5,666,1518,1.58,1.18,2.76,1.42,2.61,1.41,0.99,2.40,1.29,2.28,38,38,"3,420",40,1.05,132,94,72.0,19,8,11,13,34.2,3,3,0,0,0.0,0,3,2,39.1,0.27,+1.1,+0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7,509,182,35.8,13.39,4.79,0.11,0.30,18.4,21,0.10,+6.5,+5.2,15702,19444,80.8,273534,99419,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1,35.1,+7.3,395,1136,294,51,17513,1860,586,66,181,547,749,174,56,78,0,71,310,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1,662,392,322,261,79,324,695,46.6,371,386,112,274,361,1023,777,11,23691,2299,7311,10969,5603,826,23685,655,372,56.8,283,43.2,13042,66497,33876,482,187,588,364,15573,1501,1,485,470,71,4,3,2,1908,505,511,49.7,2021,2022
Cádiz,33,28.5,41.3,38,418,"3,420",38.0,35,21,56,32,3,6,105,3,39.5,34.8,24.6,59.4,571,1080,0.92,0.55,1.47,0.84,1.39,1.04,0.65,1.69,0.91,1.56,38,38,"3,420",51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4,0,10,0,52.8,0.24,+1.8,+0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1,405,118,29.1,10.66,3.11,0.08,0.27,17.9,14,0.09,-4.5,-2.8,10136,14415,70.3,195586,77863,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1,28.9,-3.6,277,829,233,120,12460,1886,511,37,183,865,795,181,79,63,1,69,312,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2,647,380,346,238,63,301,711,42.3,410,390,106,284,413,1060,768,5,18574,2215,6501,7898,4374,646,18568,519,281,54.1,238,45.9,9062,51953,26751,382,106,576,291,10039,1063,3,488,449,69,5,13,0,2077,601,693,46.4,2021,2022
Celta Vigo,25,28.4,55.2,38,418,"3,420",38.0,43,29,72,40,3,6,87,3,43.1,38.3,28.8,67.2,665,1447,1.13,0.76,1.89,1.05,1.82,1.13,0.76,1.89,1.01,1.77,38,38,"3,420",43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0,0,1,2,43.3,0.27,+2.3,+0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,405,135,33.3,10.66,3.55,0.10,0.30,18.3,14,0.10,-0.1,+1.7,16007,20591,77.7,286771,95793,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6,31.6,+0.2,286,1105,285,84,18578,1930,501,60,169,768,898,167,81,60,1,83,360,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1,696,409,324,279,93,286,762,37.5,476,423,91,332,376,1072,634,11,24789,2272,7479,11772,5737,719,24783,591,346,58.5,244,41.3,13606,72693,38568,544,125,572,310,15869,1434,1,507,463,83,3,8,2,2144,603,696,46.4,2021,2022
Elche,28,29.1,48.4,38,418,"3,420",38.0,39,29,68,38,1,1,104,6,33.7,32.9,27.6,60.5,531,1102,1.03,0.76,1.79,1.00,1.76,0.89,0.73,1.61,0.86,1.59,38,38,"3,420",52,1.37,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5,0,6,0,54.5,0.27,+2.5,+0.07,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,1.47,15.2,334,106,31.7,8.79,2.79,0.11,0.36,18.0,8,0.10,+5.3,+5.1,12948,16836,76.9,237191,93098,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6,24.8,+1.4,261,861,204,78,14819,1943,591,34,180,720,763,155,63,70,1,74,335,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2,589,325,335,191,63,268,622,43.1,354,367,126,241,305,894,769,14,20889,2493,7657,9086,4313,498,20888,597,339,56.8,258,43.2,11059,55476,26247,403,89,650,330,12844,1087,1,518,471,74,1,10,0,1982,527,515,50.6,2021,2022
Espanyol,34,27.7,46.9,38,418,"3,420",38.0,39,25,64,34,5,5,99,7,36.7,32.9,25.8,58.7,610,1212,1.03,0.66,1.68,0.89,1.55,0.97,0.68,1.65,0.87,1.55,38,38,"3,420",53,1.39,169,118,71.0,10,12,16,10,26.3,5,4,0,1,0.0,0,4,2,53.6,0.30,+2.6,+0.07,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,1.26,13.7,403,128,31.8,10.61,3.37,0.08,0.27,19.5,24,0.08,+2.3,+1.1,13360,16919,79.0,237866,88599,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4,24.8,-0.8,300,993,212,59,15003,1846,590,29,196,627,659,172,65,67,1,70,287,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2,557,338,308,196,53,275,646,42.6,371,360,114,246,326,883,892,20,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,468,119,563,331,13239,1196,3,440,516,70,3,5,2,1736,447,574,43.8,2021,2022
Getafe,31,26.6,41.5,38,418,"3,420",38.0,31,26,57,28,3,5,121,8,29.3,25.3,19.4,44.7,399,917,0.82,0.68,1.50,0.74,1.42,0.77,0.51,1.28,0.67,1.18,38,38,"3,420",41,1.08,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3,0,5,1,40.9,0.29,+0.9,+0.02,366,869,42.1,892,101,69.5,61.0,294,84.7,54.2,576,26,4.5,45,1.18,5.0,404,111,27.5,10.63,2.92,0.07,0.25,20.6,29,0.06,+1.7,+2.7,10278,14607,70.4,196813,82509,4550,5489,82.9,3938,5092,77.3,1516,3176,47.7,19.7,+6.6,288,808,166,73,12625,1929,579,17,194,621,842,136,65,58,0,53,299,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2,587,360,266,243,78,248,594,41.8,346,400,96,304,401,988,719,8,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,328,92,603,301,10197,910,1,559,481,53,1,4,1,1924,721,717,50.1,2021,2022
Mallorca,33,27.9,45.3,38,418,"3,420",38.0,33,23,56,27,6,7,114,7,38.8,33.3,25.7,59.0,575,1129,0.87,0.61,1.47,0.71,1.32,1.02,0.68,1.70,0.88,1.55,38,38,"3,420",63,1.66,152,91,62.5,10,9,19,9,23.7,8,6,2,0,25.0,1,5,4,53.8,0.30,-5.2,-0.14,244,595,41.0,787,130,52.4,39.4,312,58.7,43.5,576,17,3.0,20,0.53,12.6,440,131,29.8,11.58,3.45,0.06,0.21,19.5,23,0.08,-5.8,-6.3,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,28.3,-2.7,303,806,235,64,13022,1934,575,44,113,597,788,159,64,34,5,67,311,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2,607,332,301,235,71,248,551,45.0,303,374,119,255,344,951,826,9,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,449,112,613,404,10923,1110,4,554,535,67,6,8,4,2007,651,703,48.1,2021,2022
