squad,season_end_year,minutes_90s,country,squad_size,foreigners,squad_value_avg,squad_value,players_used,gd_per90,pens_made_per90,pens_att_per90,cards_yellow_per90,cards_red_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,own_goals_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net_per90,gk_passes_pct_launched,gk_pct_passes_launched,gk_goal_kick_length_avg,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area_per90,gk_shots_on_target_against_per90,gk_pens_saved_per90,gk_pens_missed_per90,gk_free_kick_goals_against_per90,gk_corner_kick_goals_against_per90,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,npxg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_xg_assist_per90,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,npxg_per_shot,passes_pct,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance_per90,progressive_passes_per90,passes_progressive_distance_per90,pass_xa_per90,xg_assist_net_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,sca_per90,gca_per90,sca_passes_live_per90,sca_passes_dead_per90,sca_take_ons_per90,sca_shots_per90,sca_fouled_per90,sca_defense_per90,gca_passes_live_per90,gca_passes_dead_per90,gca_take_ons_per90,gca_shots_per90,gca_fouled_per90,gca_defense_per90,take_ons_won_pct,take_ons_tackled_pct,possession,touches_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_per90,carries_per90,carries_distance_per90,progressive_carries_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,challenge_tackles_pct,aerials_won_pct,tackles_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenges_lost_per90,blocks_per90,blocked_shots_per90,blocked_passes_per90,interceptions_per90,tackles_interceptions_per90,clearances_per90,errors_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90
Arsenal,2019,38.0,ENG,42,28,15690000.0,659050000.0,28,0.48,0.10526315789473684,0.13157894736842105,1.9210526315789473,0.05263157894736842,0.02631578947368421,10.842105263157896,11.973684210526315,2.3421052631578947,0.02631578947368421,1.3421052631578947,75.8,21.1,53.5,0.26,0.09210526315789473,33.3,29.2,45.5,3.3,1.26,4.7894736842105265,0.0,0.0,0.02631578947368421,0.07894736842105263,1.82,1.37,3.18,1.71,3.08,1.58,1.47,1.23,2.81,2.7,34.4,12.16,4.18,0.14,0.41,16.7,0.12,81.7,89.1,87.4,59.5,8247.368421052632,49.31578947368421,2764.315789473684,1.1552631578947368,0.1394736842105263,9.552631578947368,32.10526315789474,10.973684210526315,1.6578947368421053,539.9473684210526,51.10526315789474,14.289473684210526,1.7105263157894737,4.0,15.921052631578947,21.657894736842106,5.5,1.5526315789473684,1.7105263157894737,0.05263157894736842,21.87,3.05,17.236842105263158,1.5263157894736843,1.3157894736842106,0.8947368421052632,0.5789473684210527,0.3157894736842105,2.3947368421052633,0.15789473684210525,0.13157894736842105,0.15789473684210525,0.18421052631578946,0.02631578947368421,56.7,43.3,58.1,701.8421052631579,64.65789473684211,210.42105263157896,325.8157894736842,170.8421052631579,25.894736842105264,701.7105263157895,14.105263157894736,391.8157894736842,2180.3947368421054,22.842105263157894,1169.7631578947369,15.552631578947368,5.342105263157895,14.842105263157896,10.763157894736842,42.6,46.6,16.026315789473685,9.631578947368421,7.7368421052631575,6.2105263157894735,2.0789473684210527,6.0,14.078947368421053,8.078947368421053,11.157894736842104,3.1052631578947367,8.052631578947368,10.842105263157896,26.86842105263158,21.0,0.7368421052631579,52.63157894736842,14.605263157894736,16.763157894736842
Bournemouth,2019,38.0,ENG,37,17,8380000.000000001,310000000.0,28,-0.3900000000000001,0.18421052631578946,0.23684210526315788,1.5789473684210527,0.02631578947368421,0.0,8.947368421052632,11.605263157894736,1.5,0.07894736842105263,1.8421052631578947,62.4,26.3,55.2,0.3,-0.3105263157894737,37.3,40.9,48.7,4.7,0.79,4.552631578947368,0.0,0.0,0.05263157894736842,0.15789473684210525,1.45,1.13,2.58,1.26,2.39,1.4,1.22,1.02,2.42,2.24,35.0,11.5,4.03,0.11,0.31,17.4,0.11,76.5,85.7,82.1,50.7,6084.289473684211,37.76315789473684,2396.7105263157896,0.8947368421052632,0.1105263157894737,8.68421052631579,25.763157894736842,8.68421052631579,2.0,411.36842105263156,51.60526315789474,13.473684210526315,1.5,2.210526315789474,16.13157894736842,21.894736842105264,5.026315789473684,1.9473684210526316,1.5263157894736843,0.05263157894736842,20.74,2.61,14.68421052631579,2.1842105263157894,1.2105263157894737,1.0263157894736843,1.236842105263158,0.39473684210526316,1.6842105263157894,0.23684210526315788,0.21052631578947367,0.15789473684210525,0.23684210526315788,0.07894736842105263,50.3,49.7,46.9,581.0263157894736,64.13157894736842,198.97368421052633,250.18421052631578,138.3421052631579,22.289473684210527,580.8157894736842,15.210526315789474,347.63157894736844,1822.6315789473683,19.42105263157895,961.4736842105264,14.0,4.526315789473684,14.868421052631579,9.368421052631579,43.7,48.8,13.81578947368421,7.868421052631579,7.5,4.868421052631579,1.4473684210526316,5.684210526315789,13.0,7.315789473684211,10.657894736842104,4.0,6.657894736842105,9.763157894736842,23.57894736842105,28.894736842105264,0.5526315789473685,50.26315789473684,18.44736842105263,19.36842105263158
Brighton,2019,38.0,ENG,41,29,4740000.0,194350000.0,21,-0.66,0.13157894736842105,0.15789473684210525,1.605263157894737,0.10526315789473684,0.02631578947368421,12.18421052631579,7.921052631578948,2.3684210526315788,0.0,1.5789473684210527,70.6,18.4,55.9,0.28,-0.10789473684210525,39.9,62.8,59.4,3.6,0.34,4.473684210526316,0.0,0.0,0.02631578947368421,0.13157894736842105,0.92,0.63,1.55,0.79,1.42,0.93,0.81,0.64,1.57,1.45,27.2,9.58,2.61,0.08,0.3,17.9,0.09,72.6,84.2,79.5,51.2,5726.394736842105,30.263157894736842,2264.8947368421054,0.6078947368421053,-0.013157894736842105,7.394736842105263,23.342105263157894,5.868421052631579,2.1315789473684212,366.10526315789474,47.94736842105263,8.68421052631579,0.39473684210526316,4.947368421052632,16.736842105263158,23.157894736842106,4.105263157894737,2.3684210526315788,1.1578947368421053,0.10526315789473684,17.03,1.45,11.236842105263158,2.289473684210526,1.0526315789473684,0.9210526315789473,1.1842105263157894,0.34210526315789475,0.7631578947368421,0.23684210526315788,0.02631578947368421,0.18421052631578946,0.21052631578947367,0.02631578947368421,52.1,47.9,42.4,533.0,64.84210526315789,185.0,238.28947368421052,114.89473684210526,15.289473684210526,532.8684210526316,13.578947368421053,266.36842105263156,1424.2631578947369,12.5,698.3421052631579,9.842105263157896,2.5789473684210527,15.526315789473685,8.842105263157896,45.4,51.4,17.86842105263158,10.289473684210526,9.552631578947368,6.2631578947368425,2.0526315789473686,6.947368421052632,15.31578947368421,8.368421052631579,10.921052631578947,4.473684210526316,6.447368421052632,12.18421052631579,30.05263157894737,26.342105263157894,0.4473684210526316,52.078947368421055,21.68421052631579,20.526315789473685
Burnley,2019,38.0,ENG,33,14,5980000.0,197250000.0,23,-0.6600000000000001,0.05263157894736842,0.05263157894736842,1.9736842105263157,0.02631578947368421,0.0,9.473684210526315,9.368421052631579,2.789473684210526,0.10526315789473684,1.7894736842105263,66.8,21.1,58.0,0.28,-0.15789473684210525,39.8,74.6,63.0,2.2,1.13,5.2368421052631575,0.02631578947368421,0.0,0.05263157894736842,0.21052631578947367,1.13,0.84,1.97,1.08,1.92,1.17,1.13,0.82,1.99,1.95,31.3,9.42,2.95,0.11,0.37,15.8,0.12,68.5,82.2,76.1,46.1,5107.3421052631575,27.157894736842106,2237.2105263157896,0.7263157894736842,0.021052631578947368,6.684210526315789,23.13157894736842,6.2894736842105265,2.1578947368421053,336.94736842105266,49.55263157894737,10.394736842105264,0.9210526315789473,2.8421052631578947,18.210526315789473,23.44736842105263,3.6578947368421053,2.5789473684210527,0.5789473684210527,0.23684210526315788,16.42,1.82,10.973684210526315,2.1315789473684212,0.3684210526315789,1.4473684210526316,1.368421052631579,0.13157894736842105,1.1842105263157894,0.21052631578947367,0.0,0.34210526315789475,0.07894736842105263,0.0,55.9,44.1,41.2,504.9736842105263,66.89473684210526,160.6315789473684,233.55263157894737,115.65789473684211,16.68421052631579,504.89473684210526,9.736842105263158,208.8421052631579,1131.921052631579,11.078947368421053,562.3684210526316,8.842105263157896,1.894736842105263,13.81578947368421,8.263157894736842,44.0,49.8,15.368421052631579,8.18421052631579,7.368421052631579,6.473684210526316,1.5263157894736843,6.2368421052631575,14.18421052631579,7.947368421052632,13.578947368421053,5.842105263157895,7.7368421052631575,9.657894736842104,25.026315789473685,30.42105263157895,0.5,51.44736842105263,26.736842105263158,26.973684210526315
Chelsea,2019,38.0,ENG,54,40,21600000.0,1170000000.0,24,0.5800000000000001,0.13157894736842105,0.13157894736842105,1.2894736842105263,0.0,0.0,8.921052631578947,11.157894736842104,2.1842105263157894,0.0,1.0263157894736843,69.4,42.1,36.8,0.28,-0.05789473684210527,49.2,15.9,37.1,4.1,0.92,3.263157894736842,0.02631578947368421,0.0,0.0,0.15789473684210525,1.61,1.37,2.97,1.47,2.84,1.54,1.44,1.18,2.72,2.62,31.9,15.84,5.05,0.09,0.29,17.8,0.09,85.8,91.7,88.5,66.4,9404.078947368422,56.71052631578947,3067.6052631578946,1.2078947368421051,0.1868421052631579,12.68421052631579,43.1578947368421,10.921052631578947,1.7105263157894737,655.1052631578947,47.28947368421053,12.394736842105264,3.8421052631578947,5.684210526315789,18.210526315789473,20.05263157894737,5.657894736842105,1.9473684210526316,2.263157894736842,0.5,29.76,3.0,23.473684210526315,1.5263157894736843,1.605263157894737,1.1842105263157894,1.4210526315789473,0.5526315789473685,2.1578947368421053,0.13157894736842105,0.34210526315789475,0.18421052631578946,0.15789473684210525,0.02631578947368421,63.9,36.0,62.9,809.8421052631579,55.39473684210526,200.3421052631579,379.8421052631579,236.0,27.07894736842105,809.7105263157895,18.5,483.89473684210526,2721.157894736842,27.842105263157894,1534.421052631579,23.605263157894736,6.605263157894737,13.473684210526315,12.052631578947368,44.5,50.9,16.263157894736842,9.605263157894736,7.368421052631579,6.447368421052632,2.4473684210526314,6.342105263157895,14.236842105263158,7.894736842105263,9.394736842105264,1.9210526315789473,7.473684210526316,9.289473684210526,25.55263157894737,16.973684210526315,0.42105263157894735,57.13157894736842,13.763157894736842,13.263157894736842
Crystal Palace,2019,38.0,ENG,36,21,8029999.999999999,289000000.0,26,-0.1299999999999999,0.2631578947368421,0.2894736842105263,1.5263157894736843,0.05263157894736842,0.02631578947368421,10.157894736842104,10.289473684210526,2.0526315789473686,0.02631578947368421,1.394736842105263,69.9,31.6,46.7,0.26,-0.1394736842105263,31.9,58.6,60.4,4.3,0.66,4.2894736842105265,0.02631578947368421,0.0,0.02631578947368421,0.18421052631578946,1.26,0.87,2.13,1.0,1.87,1.25,1.03,0.78,2.03,1.81,28.0,12.68,3.55,0.08,0.28,18.4,0.08,75.3,86.7,81.9,47.9,5850.105263157895,38.36842105263158,2368.184210526316,0.7131578947368421,0.09210526315789473,9.421052631578947,26.394736842105264,7.2368421052631575,1.6578947368421053,392.05263157894734,49.8421052631579,11.447368421052632,0.6842105263157895,2.6578947368421053,15.18421052631579,21.473684210526315,5.394736842105263,2.3421052631578947,0.7894736842105263,1.631578947368421,22.63,2.26,15.947368421052632,1.894736842105263,1.4473684210526316,1.6578947368421053,1.3157894736842106,0.3684210526315789,1.3421052631578947,0.15789473684210525,0.18421052631578946,0.21052631578947367,0.34210526315789475,0.02631578947368421,56.5,43.5,45.2,570.5,61.13157894736842,186.28947368421052,256.39473684210526,134.52631578947367,23.394736842105264,570.2105263157895,17.55263157894737,277.7105263157895,1649.2894736842106,20.289473684210527,861.4736842105264,13.052631578947368,5.973684210526316,15.157894736842104,12.447368421052632,47.6,49.1,19.289473684210527,11.736842105263158,10.473684210526315,7.105263157894737,1.7105263157894737,7.394736842105263,15.526315789473685,8.131578947368421,11.605263157894736,3.710526315789474,7.894736842105263,11.710526315789474,31.0,26.605263157894736,0.4473684210526316,52.526315789473685,17.894736842105264,18.57894736842105
Everton,2019,38.0,ENG,40,28,13230000.0,529100000.0,23,0.17999999999999994,0.05263157894736842,0.13157894736842105,1.4736842105263157,0.10526315789473684,0.02631578947368421,11.368421052631579,11.0,1.8157894736842106,0.05263157894736842,1.2105263157894737,67.6,36.8,45.3,0.3,0.034210526315789476,34.9,54.0,53.7,3.2,1.05,3.5789473684210527,0.07894736842105263,0.0,0.05263157894736842,0.23684210526315788,1.39,0.89,2.29,1.34,2.24,1.31,1.2,0.89,2.19,2.09,33.1,12.97,4.29,0.1,0.31,16.9,0.1,75.1,84.9,81.0,52.2,6392.315789473684,41.60526315789474,2444.5789473684213,0.7999999999999999,0.007894736842105263,9.289473684210526,29.0,7.842105263157895,2.473684210526316,430.94736842105266,53.473684210526315,13.026315789473685,1.1578947368421053,3.6842105263157894,21.42105263157895,24.92105263157895,5.657894736842105,2.0789473684210527,3.0,0.10526315789473684,22.24,2.45,15.078947368421053,2.3157894736842106,1.5,1.605263157894737,1.4736842105263157,0.2631578947368421,1.7105263157894737,0.13157894736842105,0.21052631578947367,0.3157894736842105,0.07894736842105263,0.0,55.9,44.0,51.5,605.6578947368421,57.23684210526316,181.23684210526315,275.92105263157896,154.55263157894737,22.526315789473685,605.5526315789474,15.447368421052632,333.8157894736842,1743.5526315789473,18.342105263157894,895.5263157894736,13.736842105263158,4.368421052631579,18.236842105263158,12.342105263157896,43.1,49.9,18.394736842105264,11.605263157894736,8.578947368421053,7.631578947368421,2.1842105263157894,5.7894736842105265,13.447368421052632,7.657894736842105,10.894736842105264,2.236842105263158,8.657894736842104,11.921052631578947,30.31578947368421,23.07894736842105,0.5526315789473685,56.76315789473684,22.94736842105263,23.07894736842105
Leicester,2019,38.0,ENG,37,27,11730000.0,434100000.0,25,0.0,0.13157894736842105,0.18421052631578946,1.5789473684210527,0.13157894736842105,0.07894736842105263,9.236842105263158,9.947368421052632,1.894736842105263,0.0,1.263157894736842,68.8,26.3,40.0,0.26,-0.21052631578947367,44.1,44.3,52.3,2.2,0.66,3.6315789473684212,0.0,0.0,0.0,0.10526315789473684,1.26,0.89,2.16,1.13,2.03,1.38,1.24,0.99,2.37,2.23,34.1,13.37,4.55,0.08,0.25,18.6,0.1,76.8,86.3,81.2,56.2,6831.710526315789,40.44736842105263,2501.3684210526317,0.8289473684210527,-0.09473684210526316,10.026315789473685,31.07894736842105,6.947368421052632,1.736842105263158,449.07894736842104,50.81578947368421,11.921052631578947,2.3157894736842106,4.894736842105263,20.5,22.94736842105263,5.526315789473684,2.1578947368421053,2.263157894736842,0.3684210526315789,23.63,2.24,16.44736842105263,2.289473684210526,1.6842105263157894,1.4736842105263157,1.3157894736842106,0.42105263157894735,1.5526315789473684,0.07894736842105263,0.18421052631578946,0.18421052631578946,0.23684210526315788,0.0,59.0,41.0,50.9,622.5526315789474,59.0,186.42105263157896,289.39473684210526,153.26315789473685,21.157894736842106,622.3684210526316,17.473684210526315,361.7631578947368,1899.157894736842,19.789473684210527,1009.0263157894736,15.052631578947368,5.184210526315789,15.31578947368421,9.394736842105264,43.2,54.4,17.763157894736842,10.342105263157896,9.052631578947368,7.2894736842105265,1.4210526315789473,6.2368421052631575,14.447368421052632,8.210526315789474,11.289473684210526,2.526315789473684,8.763157894736842,11.526315789473685,29.289473684210527,27.210526315789473,0.631578947368421,54.921052631578945,21.342105263157894,17.86842105263158
Liverpool,2019,38.0,ENG,39,25,30060000.0,1170000000.0,23,1.6799999999999997,0.18421052631578946,0.18421052631578946,1.0263157894736843,0.05263157894736842,0.05263157894736842,8.289473684210526,9.131578947368421,2.026315789473684,0.0,0.5789473684210527,77.1,55.3,27.2,0.29,0.1368421052631579,41.5,20.1,41.3,4.2,1.55,2.526315789473684,0.0,0.02631578947368421,0.0,0.13157894736842105,2.26,1.45,3.71,2.08,3.53,1.94,1.8,1.31,3.25,3.11,37.1,14.95,5.55,0.14,0.37,17.0,0.12,82.7,89.5,87.8,60.4,9589.421052631578,52.8421052631579,3120.8684210526317,1.3842105263157896,0.1368421052631579,11.105263157894736,40.0,13.026315789473685,1.9736842105263157,620.6052631578947,50.28947368421053,12.18421052631579,2.5789473684210527,4.868421052631579,18.973684210526315,24.289473684210527,6.552631578947368,2.1578947368421053,2.6842105263157894,0.13157894736842105,26.66,3.92,19.657894736842106,1.9473684210526316,2.026315789473684,1.4736842105263157,1.1842105263157894,0.3684210526315789,2.736842105263158,0.2631578947368421,0.3684210526315789,0.2631578947368421,0.2631578947368421,0.02631578947368421,57.5,42.5,61.8,777.0526315789474,51.0,181.57894736842104,403.86842105263156,197.3684210526316,29.57894736842105,776.8684210526316,16.289473684210527,508.2105263157895,2412.4210526315787,22.55263157894737,1285.7368421052631,20.13157894736842,5.815789473684211,15.868421052631579,11.157894736842104,45.1,50.3,16.13157894736842,9.921052631578947,6.7631578947368425,7.368421052631579,2.0,6.605263157894737,14.631578947368421,8.026315789473685,9.5,2.0526315789473686,7.447368421052632,8.263157894736842,24.394736842105264,17.63157894736842,0.42105263157894735,55.55263157894737,15.605263157894736,15.447368421052632
Manchester City,2019,38.0,ENG,46,35,26160000.0,1200000000.0,21,1.7800000000000002,0.07894736842105263,0.10526315789473684,1.1578947368421053,0.02631578947368421,0.0,8.631578947368421,7.921052631578948,2.5789473684210527,0.0,0.6052631578947368,76.5,52.6,23.3,0.25,0.007894736842105263,41.0,17.1,42.9,6.7,1.08,2.1315789473684212,0.0,0.0,0.02631578947368421,0.13157894736842105,2.39,1.87,4.26,2.32,4.18,2.22,2.14,1.72,3.94,3.86,37.1,17.87,6.63,0.13,0.35,16.9,0.12,86.9,92.9,89.8,67.3,10395.815789473685,63.921052631578945,2988.1315789473683,1.6736842105263159,0.14473684210526316,13.578947368421053,51.26315789473684,14.578947368421053,1.631578947368421,701.578947368421,42.921052631578945,9.052631578947368,2.9473684210526314,5.947368421052632,20.605263157894736,19.44736842105263,7.842105263157895,2.236842105263158,3.1842105263157894,0.02631578947368421,32.0,4.42,24.394736842105264,1.868421052631579,2.4210526315789473,1.868421052631579,1.1578947368421053,0.2894736842105263,3.6578947368421053,0.15789473684210525,0.23684210526315788,0.13157894736842105,0.21052631578947367,0.02631578947368421,59.5,40.3,67.9,848.3684210526316,48.026315789473685,160.47368421052633,436.39473684210526,257.89473684210526,38.36842105263158,848.2631578947369,19.31578947368421,590.9736842105264,3131.315789473684,34.86842105263158,1794.657894736842,26.763157894736842,9.631578947368421,13.394736842105264,10.342105263157896,41.3,50.8,13.631578947368421,8.605263157894736,5.631578947368421,5.657894736842105,2.3421052631578947,5.078947368421052,12.289473684210526,7.2105263157894735,8.394736842105264,1.6578947368421053,6.7368421052631575,9.526315789473685,23.157894736842106,15.0,0.39473684210526316,52.63157894736842,14.210526315789474,13.736842105263158
